,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.020303946549732922,,,,,,,-0.016113798428192834,,,,
BMP1,0.010018554556345939,0.014513032297718362,-0.026306356657532757,0.005411702995290784,-0.037970969714113394,-0.08106473169042894,0.06222013951102712,-0.09805113105643228,-0.10055062669767867,-0.0320726333312731,-0.09590129410437118,-0.23753111837409083,-0.04541930177871203,-0.06219389686129617,-0.03489207243900814,-0.016996737463233203,-0.04159075505614471,0.027150825306716624,0.006242623052101159
NDP,0.015349508357468627,0.00987140316339184,0.01940379314208507,-0.011729526879374971,-0.040175873360313426,0.16605080611164988,0.06340563042693532,-0.009798813440598172,0.012867515293057357,0.008609559450709311,-0.024437181511052807,-0.021635886969625602,0.044578127225306,0.09212476841628828,-0.04755307810477039,0.007600915659148183,-0.004182360363958274,0.06118758880554701,0.038886920982103196
TNFSF18,-0.03121399596972349,-0.04567489965221175,-0.014489758378622165,,,,-0.02356400779625145,-0.030150751085174697,-0.03347082866752704,,,,,,-0.016617875893750127,,0.023979529695290196,-0.07302924406380384,
IL36G,,,,,,,,,,,,-0.03717798099529625,,,,,,,
RTN4,0.22717004538215643,0.002715515756154135,0.008169821892009646,0.016578679760602854,0.015578789071589135,0.17603514268621337,0.07520462086144765,0.16303543104279028,0.13762785556308113,0.1437441829966486,0.27174483794211646,0.3311751126564118,0.04071076824505737,0.01579009966890168,0.0477694811059647,0.10578320014620428,-0.11113943569954157,0.19999632852254817,-0.006649545155431422
HEBP1,-0.026954528899698273,0.02765024494110203,0.0043402073425879715,-0.051183049263404896,0.022211131638630355,-0.013352062418224403,0.011413884035167285,-0.03839761041854337,-0.0031898399894473694,-0.03911333959305774,-0.0975389743315268,0.009232883420310305,0.06655334120829366,0.016850945819224358,0.024908953888282327,0.04499782609987286,0.06897000646994733,-0.055807769668014706,-0.02692940565518627
WNT7B,0.21647873542393914,0.0259347813813978,-0.0216780930596278,0.023523814168209173,0.07080225019254838,0.06729277931561861,0.06553697535555807,0.09990561848232392,-0.02717184975589047,0.06216727974453501,,0.14515024427161377,-0.007262182169822241,-0.007385526285356188,0.02598170947298361,-0.041989265570205714,-0.013033404840527249,0.011059211257945798,0.058391160907689255
PTMA,-0.08355691701065404,-0.004701505635398899,-0.022774551240932663,0.04274894471738023,-0.005736711941604674,-0.1241520754586274,-0.028756565228208093,0.011349595322830572,0.08265308290295775,-0.08359967550126708,-0.29909075534499563,-0.3342388255924643,-0.05305587244804537,-0.06729196370423812,0.011905163527477468,0.011364484201792589,-0.028068583795533338,-0.14429091811280817,-0.1910747248303417
CEACAM1,,0.04428325632074591,0.023415886152725388,,0.01932855554227555,0.022988847480250617,,-0.03967667116971214,-0.012848113695827574,,,,-0.026732817591224232,-0.013477323606651026,-0.023878152729593437,-0.02307171382503277,,,
PDAP1,-0.06832916192588581,-0.028737969329300485,0.0002535027032181353,-0.052793586768983304,0.03382992854614924,-0.08784335074980117,-0.03635038383983343,-0.03512299902746633,0.008335605525286652,0.012092375393370167,0.011056403155650965,-0.17186618214633767,0.007957973628343669,-0.008504019217981372,-0.05099941172767561,0.07253757881811776,-0.008600622946257751,0.02375522118777269,0.061989007062355814
QDPR,0.1546428720177348,0.04036329149391482,0.03320683301363558,0.007471688551259776,0.0033545807912605512,0.15280556526856306,0.06369721592705746,0.0394783621824184,0.08906262439039765,0.014019791240152893,-0.1871125280400115,0.07730935614976475,0.011013389236954434,0.0759518374562215,0.03680615752624696,-0.05805470120678044,-0.013673087626617862,0.16151687876073575,0.034044590306944476
POMC,0.06414966207295199,0.03257401170143272,-0.029560641832002486,,0.071390583873063,0.09223728614437873,0.03970534844030667,0.049504112204170184,-0.023610627985902265,-0.0033646612310755963,-0.07067387367462628,0.07333420000607957,0.06377305263384836,-0.060406300563870974,-0.029385242893813716,-0.007672422914984383,,-0.0004909692272838658,-0.010604976261553486
CCL18,0.014971359550220305,-0.042558539244828546,,,,,,,,,-0.10463938658338122,,0.10477519152871112,-0.0017873459531334353,,0.00021229164422346765,,,
CCL17,,,,,-0.007554097239713293,,,,-0.027038856543617713,0.03263771939941503,,-0.02259669310697251,-0.027327296937865994,0.07590470232482721,-0.021245112413698277,,,,
VEGFD,0.01816909628194535,0.11728631892568546,-0.010390474418622182,,0.02599598871717064,0.042272516295284765,,-0.03401455687786255,-0.002963944307152996,0.02696413323293154,0.06050486400353611,0.0035364293174959737,,0.02866152956434544,4.591537894524345e-05,,,,
TNFSF13,,0.031822282384643505,,,-0.014710415849265251,,0.004115763112935101,,,,,,0.04999692948008242,-0.025286042433957358,-0.022782635579674283,-0.027093965048986902,,-0.07293127167492361,
WNT5A,-0.019678989863307836,0.02179649776895539,-0.06050110266751479,-0.005259913388718488,-0.006365134833606471,-0.10153050740543902,0.01857354994564676,-0.07941348680905191,0.05005582281196201,-0.021089006398391553,0.07746546306812951,-0.09266406659321996,0.027441064770968332,0.012371891728464781,0.018948330303925905,0.07373497872661182,0.010765887919790336,-0.12369689958882961,0.03620234600440253
CXCL8,-0.14055633271077075,-0.05583497205406236,-0.022311724596424453,-0.05510231162226225,-0.013803054931981423,-0.058618204873726855,-0.0014453433282224353,-0.06763404706966915,-0.04091234797986462,-0.008352641998164432,-0.08230015832818433,-0.09660091205025774,-0.06059193264753373,-0.08968059499614071,0.003922643133255486,-0.07441461031087351,-0.008670021070246869,-0.18681786566156802,0.013583471952930927
GRN,-0.005199620780293617,-0.007795698193400491,-0.06833205313436916,-0.0024884740271105877,-0.012016073373459484,-0.09574946207032684,0.023965111068726414,-0.14685672658384058,0.023009000175499585,-0.026104650038385368,-0.23276403559002568,0.05944531821011561,0.01832655101850203,0.011498552067339896,-0.07960057128438694,-0.10682794894246636,0.10184728989434894,0.013559614152579537,-0.09580667691271853
MIA,0.002066648937117328,0.014945214622184988,-0.021191524557754006,-0.023347223393890202,-0.003214680374104315,-0.02307299310161279,0.08749085600528,-0.058000097238499006,-0.023847955309527415,-0.04546522809050098,,-0.03516284452117977,0.11442274668346204,0.07692394921082076,-0.03337877175418092,-0.12966626684941665,,-0.11547363765153315,
