,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,,,-0.022874904199581336,,,,,-0.008187718786510296
BMP1,0.011593522660358837,0.033438451434218724,0.034434800906225034,0.022414459848127077,-0.013640595879483425,-0.049823650709097896,0.07761613117314507,-0.029765221286264437,-0.10235603600121163,0.12410537891245628,0.004154315941999831,0.13802708346316178
NDP,-0.044670950784966246,0.03745848869271305,0.05024057627305077,-0.018116065139609207,0.02053490843259431,0.02594275535818641,-0.016680819702405744,0.0027506142208757393,-0.04387212474946284,0.05869736192904776,0.060394349743760845,0.0015787481766928548
TNFSF18,-0.01958115322186589,0.017421395523094726,0.03207548003505515,,,,0.04618894338870797,,0.07351050870337453,,,-0.027669881488425533
RTN4,-0.003099381176220659,0.07499379055152974,-0.03298784061754881,0.023653461022731342,0.010757304197964949,0.03000498746602097,-0.14503465297451318,-0.00013655237033132324,-0.04862891868780682,-0.031132844943505177,-0.02871159765228688,-0.06671646401620307
HEBP1,0.0048333377478500155,-0.0287168488271215,0.05947483212180182,-0.04421270948690524,-0.045610633972866535,-0.02166357906024275,0.022133767208773913,-0.019935462588996884,-0.012578987789876551,-0.015297887853548887,0.07315218793463107,-0.01778320974096221
WNT7B,-0.03280532561807186,-0.006586827305520019,-0.01211481318618406,-0.030100992861275253,0.003366334265348175,-0.002064191189686529,-0.04071502969837518,-0.010749564784697995,,0.0880111491496743,-0.033141955563704396,-0.01273081100913513
PTMA,0.11280828608742462,0.009006035642851089,0.008693029885248406,0.05352387418273234,-0.000624942413944027,-0.04927406064185581,-0.0468481679907504,-0.006397908550885893,-0.020416922859741865,-0.12561431234283135,-0.038497374518838154,-0.05779771635006169
CEACAM1,,0.03768642615174771,0.051327736559312054,,0.07623450168482694,-0.014343782285972643,0.062028666071568594,,0.008706479645322467,0.000752236515948218,-0.01605573450554456,-0.011504088568607773
PDAP1,-0.03351595883855398,0.014328753726101321,0.05197424180480367,0.029371104175694305,0.0045958958662721565,-0.0006441922482938191,0.13902577774963168,-0.002123825266488002,0.11714212424445401,0.03345731576554364,0.05507559463274331,0.027293588535652898
QDPR,-0.03920728007882214,0.04571847543643929,-6.77635764613691e-05,-0.017477813058087256,-0.024783684481341443,0.09558466731538419,-0.10311432617975237,0.014859892227035097,-0.042333435963149056,-0.09744897160651922,0.06936349938506274,0.037531880110455114
POMC,-0.0030332166922357783,0.021390958842715673,-0.013763875234117266,,-0.010941834368799107,-0.0034939384465900785,-0.04966796266670757,-0.007513626742758928,0.0035682353390883484,0.06673252098641559,0.04345748975376109,0.007031177709627544
CCL18,-0.026259936515701125,-0.03299638060433291,,,,,,,,-0.047005873637035143,0.04991945965368442,
CCL17,,,,,-0.016596225865522594,,,-0.01330494779991055,,,-0.02317746072867656,-0.03537454163539612
VEGFD,0.1329902140427005,0.009770849429414854,0.012172449163336591,,0.07373817675917953,-0.01372331877267909,0.0974845434609015,-0.009759340113629961,-0.0844236375998411,,-0.01605573450554456,0.018535283637032614
TNFSF13,,0.030749865031040522,,,-0.023232923315576606,,,,,,-0.025193107399899793,0.08488350106187921
