,UKF260,UKF269,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,0.10274885924870261,,,,,
BMP1,-0.010203472912686418,0.02182058915633146,0.009928530525265707,0.03566514021488958,0.06647756539876054,0.07925547515314212,0.06504878616513808
NDP,-0.027857554982568623,-0.04725489510099262,-0.0661930760388389,0.019880450527615116,0.04492030121472764,-0.055755099329868954,0.06342030691449858
TNFSF18,,-0.01399852369171056,,,,,0.04647514591594322
RTN4,-0.010902097607327316,0.046968174413988345,0.13773347016942641,-0.04829860896893548,0.013263753089642944,-0.015134549315269455,-0.07606639316896037
HEBP1,0.035607181971839444,0.06688632148328187,0.08866289600762672,-0.01007470466586255,0.07339705724006092,0.026673744075910825,0.02693539222310061
WNT7B,-0.004099976432089629,0.04581425015864411,-0.03264153641893418,-0.02404706010026967,0.041090820911546866,-0.025623811439099094,0.0645124278731741
PTMA,0.06407309558525398,-0.04208978457016221,0.12671722770619104,-0.017459813422580503,-0.04012075948356595,0.04395831116055534,0.02387493761595351
CEACAM1,-0.01640271695448205,0.04988406020086182,,-0.025323616383377618,-0.006470032124173511,-0.017006896317167952,
PDAP1,0.01533175864475328,0.01132598046611519,-0.03399271840246166,0.07567958625079696,-0.006811223316497744,-0.023631026891463337,0.01267110737587082
QDPR,-0.00637138263741339,-0.04941421098041151,0.13992381552191763,-0.012879033803914476,0.01397706100720315,-0.06892716336214083,-0.02737763157885006
POMC,0.0012855451286213602,-0.039559004211204236,-0.06055418779305947,0.07599519771191811,0.08048496740694683,-0.027821048253211713,-0.006582321915965031
CCL18,,,0.07279935242907674,0.014497194195790947,-0.034879341919159756,0.038378878699020035,
CCL17,,,,-0.017965880126519975,0.06188618194856871,,
VEGFD,-0.015693190890419408,-0.007794038687855422,-0.040912857082355335,,-0.02349195858984897,,
TNFSF13,,,,-0.02167991644929916,-0.02597252594364029,-0.01909760471887167,-0.014493122581458457
WNT5A,0.007103478894006987,0.06154368625170513,0.026748128314159812,0.03846312992962284,0.04060417632740177,-0.024203599822128316,0.06711144439303461
CXCL8,0.07289527157430392,0.06995669147816222,-0.0486887616021626,-0.04935407824814028,-0.1328136623538592,-0.004310442698685445,0.016688062821198307
GRN,0.01946844368475868,-0.043572215111310306,-0.06303059661514838,0.1093930426414694,0.11598751713605181,0.047466849043459255,0.05179194406596579
MIA,0.004001313256938716,-0.004949721109706502,0.031070632234097076,-0.017181136380790493,-0.027014840938418043,-0.009578470543436675,0.09495283088649659
COL4A4,-0.0022048666767617866,-0.018561434230749883,,-0.00674165886965461,-0.037614298879449885,-0.001514698969521775,-0.034350263366682295
TAC1,-0.033082971903638986,0.043961738733696284,,,,-0.0293417411141251,-0.010838352120676267
RARRES2,0.05226188290489156,0.008155538658336814,-0.1504170107698706,-0.0016390599514455719,-0.060301717492476814,0.038279150193399634,-0.005351822546156166
FGF7,-0.017501630618641812,-0.020022259090264456,0.07290245875644714,-0.015073933972681015,0.045905128774287145,0.004190744283615969,0.042346952349326145
EFNA2,,,,,0.014452879848193765,,
HBEGF,0.07663225155840599,0.03392412590536263,0.029513139320710494,0.04578961628375677,-0.039849373251773686,-0.02492247357135659,0.053667009780626815
CSF3,0.040615736507177626,0.05832424302337838,-0.06146445871735938,-0.027210201059392307,-0.0794670602779367,0.039555489786878804,0.03891559836099892
PI3,0.026462331945764996,0.06508418271052831,,-0.007694771567919671,-0.04180449913933152,0.04676047132413479,-0.014490736496837443
PCSK1N,-0.0110262202439667,0.027324402291879518,0.058579397040406996,-0.009842525870527382,0.06259726448062926,0.002207034109509686,-0.05926255282192586
NTS,0.07405608590588994,-0.024137021986435185,,-0.041912528155973836,0.003229246182836542,-0.026707956270557304,
SFRP1,0.04384002916077022,-0.0187281404733203,0.027418149039041058,0.03802714138987843,-0.01843655608906802,0.010988973925288607,-0.021582484547898493
CXCL13,-0.017742312825445146,,0.07234090625343477,-0.0403550502856986,-0.02018762643234378,0.007398747264210876,-0.029308403698300102
MICA,-0.009991798411915446,-0.006905178534309245,-0.016984537893778618,-0.02890925644468012,0.06373934084616208,-0.016929842117492547,0.03321175497094586
TG,-0.019075983644029536,-0.02370087472463075,0.06733803750331809,-0.02387216296068433,-0.020395438722528744,-0.02006652116227833,0.03014087761301598
ADA,0.05785384005481666,0.011172731422021498,-0.030202676571478702,0.043842927536075015,0.024950589414890586,-0.003640992768958493,0.006627597115374846
LAMC3,0.06295375029404171,0.05503882766238709,-0.039980168090484616,0.01721331180789701,0.08402321698200702,0.06842807995112511,0.07348603718480093
CCL7,-0.023523031094649444,,,0.005228649262629425,,,0.01796982767668617
NGF,0.03570575443453725,,0.023048670704890944,-0.03109819805701852,-0.02202741485848878,-0.04185806622859495,0.05873157415340027
TNFSF15,-0.017416372398893362,,-0.01927790949177682,-0.026250521724923755,,-0.015140622700498641,0.012877630543875116
HMGB1,-0.010684257873370588,-0.052034205922574434,-0.043658659357605614,0.08549264638399945,0.06542858730776278,0.011612210604385165,-0.00861900133707984
ITGB3BP,-0.028059103937654043,-0.008477257874523152,0.05311113979477898,0.03522622419597226,0.030883392779590187,0.02397850312074495,0.02768036337492403
AANAT,-0.01569319313071085,0.024855297850448307,,-0.023622325218109523,0.06635909744930636,,-0.02206248860153238
RELN,-0.005439209476280239,0.010945052365117103,,,,-0.018288231397673466,-0.01306165796107706
