,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.10429342392484045,,,,,,,,,,,,-0.02305937605061639,
BMP1,-0.011684728249996088,0.06405224958591375,0.017692662759122527,-0.00011248050631534831,0.030499306883900373,0.06364919605828506,0.014261641163043876,0.01754934149865453,-0.011628423712593618,-0.0705180949263201,0.07911054328763414,0.0066236938345881295,0.014326175808851463,-0.1455348704645544,0.06879712710117378,0.03571208167437555,-0.04180790483785591,0.02354550056390138,0.006106361933079152
NDP,0.03764959044387101,0.0038565775599429686,0.002990670024838668,-0.029294509934548213,0.028364716815480404,-0.004204154219705998,0.08109982777460573,-0.0017752880465673954,0.027638688913254928,-0.04437288703486217,0.06350929561962373,0.012629253836518568,-0.031031594018735013,0.02163479182073134,0.06906556165528678,0.021524083665682935,0.05551950252082101,0.01718797175011054,0.02610017991022962
TNFSF18,-0.02072416180225606,0.03695487968276552,0.08116331583292774,,,-0.01964879188308212,0.005655792563761883,,,,,-0.03097602448410984,,0.0413342209380076,,,,-0.027108954892981076,0.08267287047905239
IL36G,,,,,,,,,,,0.05927651239011697,,,,,,,,
RTN4,0.16410167593182684,-0.022510353135179278,0.052000873996596066,0.011715949977995114,0.06702788249183801,-0.0012945766526069485,0.02468900995528754,-0.016756472093805402,-0.03944860403149074,0.005431185480859093,0.004530582558976891,-0.045418437423085926,0.03545889202852432,0.11371800610572146,-0.0783038469536938,-0.02154232400011537,0.032661591555299574,0.0428287070395886,0.0010494638630430416
HEBP1,0.001107859197764158,0.04735846591958448,0.02866517898917153,0.011741722435601778,-0.03939184959261254,-0.01986682819366312,-0.009494071699711183,-0.014695258781967806,0.07052223012506258,0.024638189928160276,0.025714237127106774,0.10649557207894629,0.04351407905269141,0.024299228404917772,0.0197962883384748,0.011160624250891175,-0.022415586582995483,0.015778722039718206,-0.00848122544364658
WNT7B,0.03459956639670604,-0.022383408755922925,-0.01993682067463199,-0.038213869913625076,-0.019246030489529806,-0.006887216889324735,0.029987305631018663,-0.014137971819613737,,0.07118202390246457,-0.0012842253861971003,0.008192468043882233,-0.014811585445538138,,-0.042176516745224504,0.08642357779455384,0.07312177101146286,0.009120479203433252,-0.060247635400962854
PTMA,-0.14714163623822876,-0.00742698136034651,-0.027082978481304337,-0.012328052416425189,0.0016988646619540899,-0.0026731107468164783,0.0022178749131602257,-0.01659560916744268,0.1674595310903136,-0.05081630076266106,0.009768410846359087,-0.041165393275350674,0.057746617953522233,-0.017210292033994445,-0.10617577347480105,-0.047406515228041055,0.035804852464204624,0.013128410173501963,-0.04143375174056777
FASLG,,,,,,,,,,,,,,,,,,-0.01999938898187978,
CEACAM1,,0.07009911016817578,0.06763345567894109,0.043304241633564215,-0.023376155596024503,0.004563814302551581,-0.015875651288430506,,,,,,0.0940084406757606,-0.031932055431662276,-0.03782457577307319,-0.021606669228297896,0.17264359884168876,-0.02782621239271152,
PDAP1,-0.0324320483452587,0.04320293857291574,0.0010075170611453517,-0.03245829762996884,-0.07087610485762885,0.00014914515333764862,0.03397361265234756,-0.0012367334131497482,0.05050559326315567,-0.026003045378150597,-0.021510866728753866,-0.0017617718570869,-0.04145962281835016,-0.028366187136720945,0.03419468318502197,-0.0056881462919776,-0.0096097224307915,0.009119668544522128,-0.005064838783150225
QDPR,0.118975598201935,-0.019151227953389832,0.08601552177115965,0.009885717732967824,0.0165070859471909,0.01892745265059445,0.06469910177578748,0.005396458004347325,0.15128086074197006,-0.007083747841656635,-0.005858945717399837,-0.045244502330781415,0.07794449288110047,0.03741354472269046,-0.033559642555252726,0.01666967660701178,-0.0648704574669565,-0.022068902548923814,0.059588006326942444
POMC,0.058969237027033584,0.04129625162355279,-0.014579129871433883,-0.010477146154161997,0.06757246892762173,0.07649703497508936,-0.024118075862583,0.08438425275096387,0.002164340447443351,-0.022595477010827206,0.0013188821726357058,0.021277016591965507,0.09007913052580148,0.026472254844979025,0.06916205516280942,0.017632351988058587,-0.025680889179521434,0.04532686761616694,0.02540965777741725
CCL18,0.09878216898440102,-0.014922192789146065,,,,,,,0.11908114184098692,-0.0545422092132412,,,-0.06067570738170481,,-0.02681824611879068,0.08865441545679036,0.04984179681594691,,
CCL17,,,,-0.025576012465324014,,,-0.004774480584136932,0.07890135840903838,,,-0.01594695007066762,,,,,0.07650577529462703,,-0.018127199788324905,
VEGFD,0.023840311844408213,-0.015307690326224536,0.07990662028856649,0.035210348391740885,-0.022364982159392654,-0.0221667761177933,-0.007639073004557299,0.031419538670305294,-0.026686281078323944,-0.015266417655717877,0.0022753087137998835,,-0.06835796677894808,-0.043410929605780385,,0.01810912053087503,,,
TNFSF13,,0.04229139998793895,,-0.017641760990519225,,,,,,,,,,,,-0.033903097876627264,-0.017628504358135795,0.02627996786577435,-0.02458924899055724
WNT5A,0.05872763298631913,-0.07438361803860928,-0.0018172554037192696,0.008282481292256895,-0.005158635658320065,0.03095151454847985,0.012734605836177668,0.02546793517020783,-0.07281435397869991,-0.005085781561132791,0.009621759752468559,0.0005542733637637471,0.10911406710339754,0.05949452816782525,0.0210224026914275,0.06736539930034871,0.06330466717716544,-0.007501039633289963,-0.061687968612072513
CXCL8,-0.06670820504623029,-0.01688952684336166,0.012120823825122515,-0.02163480710768489,-0.04598640843804281,0.11439026070482197,0.026467772889257234,-0.01195308284332714,0.07157640890820181,-0.06460589277073178,-0.020808541800812933,,0.006681126472641669,0.059972386221544834,-0.04721774464350933,-0.0237371155171273,-0.017411299162891705,0.02382119153975531,-0.04784772668332744
GRN,-0.022291241624763442,0.018382006072805827,0.0058724667874929725,-0.07015398449834963,-0.032541382874966884,0.0385798530250032,0.04006692291936002,-0.05330432861375502,0.11618875473776748,-0.005147640686630043,0.03031667608868676,0.025103557427916628,-0.016667939618240847,0.04040431292177173,0.07613435787353183,-0.022952936229355382,-0.03223387040132444,-0.014271525046289342,-0.009322809136521979
MIA,0.017656212050063725,-0.00421329373101723,-0.019489335328891497,0.07865794494974579,-0.027698029425063154,-0.037797792718940154,0.0033714449392103223,-0.01459780896117001,,-0.020704004997652233,-0.02340668905110944,0.027322886590954422,0.06274331216397931,0.011787243398923888,0.1042859869887544,0.08269725237415314,-0.035358865660793506,0.02655060184837283,0.014398597931498908
COL4A4,-0.031523376231996594,-0.012549049436061511,-0.011247173716053853,-0.05637138426929419,-0.008299344664341447,-0.013038934279764101,-0.027065257104426574,0.07921252317367652,,,-0.022705356746636655,,,-0.03399161282622005,-0.03390664254288661,-0.03459565582981197,-0.031638156479203344,-0.03637997128284634,-0.030469793684980442
TAC1,0.06958413324329385,0.01642608089139616,0.038033569227071407,-0.0431148811928631,0.05707779066488932,-0.03871355936666456,0.009341231805149047,0.007488127607227605,-0.02611907606500576,,0.004132905258562868,,,,,,0.03037349593519285,0.012546395691819676,0.008556667948168523
RARRES2,-0.037183330865431505,-0.03482420190147376,-0.02526755616206846,0.06226980723544073,-0.07986853537150983,0.052142673913219466,-0.006148570119355069,-0.043622559515178023,-0.004484060601767065,-0.0240368534155511,0.041566462434522305,-0.025625358278811697,0.03857462332068395,0.03472363548194966,0.07408771933795234,0.017043052624998955,-0.06633185202822779,0.022879557469573326,-0.04092168121582964
FGF7,0.04820095044947163,,-0.024734707015120105,-0.039071430498162134,0.0032396487657583226,-0.025296125314712474,-0.028055114203536208,-0.03872978285174186,0.0883901451732073,-0.03326261627231498,0.03545429805492688,0.13586132737469878,0.12038593148246164,-0.006967847943923157,0.007955944734891467,0.020632180162434614,-0.019841012374831237,0.04683828783293041,0.025649026733241456
EFNA2,,,,,,,,,,,,,,,,-0.020535693116704837,,,
HBEGF,0.067747663365933,0.0245342000542471,0.030849667788414647,-0.010152161439198483,-0.015554579507749666,0.028361103908798212,-0.020515171987799456,-0.004650298256331278,0.07476271667399771,-0.01117056764500426,0.024221969264994845,0.07209747464133351,0.1387411772248391,-0.010682060438051135,0.05019194358271965,-0.027403660924406287,-0.006280934132612725,0.007878620258333574,-0.03761098305458214
CSF3,0.004841165103439253,,,-0.030484376808455987,-0.0697817052351432,0.12576231719765518,,,,0.08095063119485227,,,,,,-0.019362935235374475,0.043969580122593964,-0.019085144926477084,-0.04434539541931464
PI3,-0.005055403938058023,0.00602660620676185,,-0.020056154452273604,-0.04165158381422602,0.1345413769698373,,,,,,,0.13585130969209155,,,-0.0476678262027178,0.002718752875379107,0.03908637386418198,-0.011869858527530766
