,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.0303935254308863,,,,,,,,,,,,,,0.08181856486489057,,
BMP1,0.018616640527793254,0.04738741393919533,0.002772572517636525,-0.057463499831436844,-0.04110626480072555,-0.02801274551496843,-0.22098431378226477,-0.07780877092257456,0.045733725198103134,-0.04045661015222136,0.11784214846284218,-0.21032299940342597,0.1300875781447854,-0.016201482779931244,0.03385239875445965,0.010910324743074079,-0.01758162315354799,0.012574771990450886,-0.030097110770984554,-0.06228821268539957,0.35686272674742237,-0.013390011953010157,-0.02597795705464983
NDP,-0.05147623296879062,0.034541130954350144,-0.025499477375376504,-0.045454567922332545,0.17431452293147884,0.03336441937770478,-0.060048054827803794,0.0629761003143933,0.01909454338189515,-0.035065192711061136,0.10078517785487211,-0.05764971746995899,0.07721579925363596,0.007588508872340349,-0.03769569395914142,-0.07705611204721392,0.026024363911515476,0.08838171183324152,0.023926576338385085,-0.03798102224171869,-0.07959886600992237,-0.01840795123772724,-0.032169978913861745
TNFSF18,-0.021812079067427555,-0.034564104611958225,-0.006206338872049602,,,0.0033130427946867894,-0.05914365047316158,-0.03944730961333012,,,,,0.05496996986281156,,0.09977545053823435,,,,,0.01572838945803587,0.1032073195188488,0.01977290422243951,
IL36G,,,,,,,,,,,,-0.03742945505884432,,,,,,,,,,,
RTN4,0.1422213194831864,0.06863624828016908,0.023407987806571807,0.01462119025102053,0.19127897890744952,0.2062027030312553,0.3355427178072669,0.12708878885149416,0.06946232116928593,0.14600505290414398,-0.061472007641564415,0.283558860676368,-0.017455365257596823,0.002759594931895629,0.02803682945852581,0.0143415608294947,0.047392018089558965,-0.09052900307993357,0.056553574896423625,0.10783498250011889,-0.08264616663950404,0.21278889713460789,-0.07436817109811361
HEBP1,-0.018822596301111837,0.016911725662143474,0.02089283864112698,0.009199031781836802,0.0045724561208489445,-0.036728601608740266,-0.10714022860060135,-0.03821497188777612,-0.0549718044281385,-0.14097450689250662,-0.022891050040169503,-0.021520659174808512,0.10628352413158179,0.005614065305359349,-0.060067545832285976,0.06421559277211726,0.08049914755326748,0.005607059359903933,-0.025383511121188536,-0.005769428115229387,0.015171161506437516,-0.026991865564892956,-0.009310797318143955
WNT7B,0.15193104145943637,-0.05104869120701566,0.003508320901232125,0.0020682545611064853,0.07436562995606749,0.020346486818838445,0.2642361051393851,0.014231437508620336,-0.0036776151098002704,,0.07839176134930828,-0.0058692237353095665,0.14854453196020165,-0.05640694182480174,,-0.03693322318608532,0.009185512394739652,0.056671568162562545,-0.049630598634784355,-0.00553669675880735,0.10690176783716898,0.03373361229275843,0.1106269006658058
PTMA,0.000314358527934492,0.01153376210434053,-0.061058657216249035,-0.04318478099267407,-0.10030610666827955,-0.2449747548528835,0.06029615371804074,0.1114817764510764,-0.06801465107240282,-0.30231549813321873,0.11488868660744937,-0.30979917650423955,0.07268271293283894,0.04936762143592576,0.04163659206182336,0.0272386233687344,-0.027795532400767323,-0.07186631413279507,0.02148836010847489,-0.01644387056179346,0.3082147635446777,-0.08305750859417299,-0.1847361702255943
FASLG,,,,,,,,,,,,,,,,,,,,,0.06296286528367447,,
CEACAM1,,-0.025647103481653492,0.05245040505637481,0.06222594167410454,0.022549273051961215,,-0.06790831351075988,-0.0487442549033675,,,,,,-0.04247584170209852,0.08324354336818857,-0.03312230612557836,0.03255710696657832,0.022115645742702108,0.024106150516032168,,0.006044945746600373,,
PDAP1,-0.07044904763476598,0.052883684086112784,0.008651322563042265,0.012800358014261947,-0.07317839850403825,-0.07088842838438845,-0.1805613797472354,0.01807765901770133,-0.021089017453770273,0.023018239731374745,0.11201768256769636,-0.14556909359393663,0.10639926292967573,-0.0657173895332592,-0.030133123263283403,0.012830349497002052,-0.04581776714100319,0.0008328548939798166,0.1000090993888327,-0.10408585097405909,0.009149295698968657,-0.014665817873201134,-0.046555380520331126
QDPR,0.009060445998575433,-0.03808236457823106,0.03395610178641906,0.032715982447937164,0.1693823060111613,0.10956820305421085,0.045955317703886625,0.12290154798321677,0.07714749105822831,-0.1986634323526637,0.053401187274308246,0.077742753640792,-0.03968223750054449,0.010894767366735723,0.010678144337883022,-0.029084512645350745,0.09802159605924464,0.04334727024371568,0.006493808003067264,-0.05182511907209192,-0.07106436126552684,0.0664412348070955,-0.1108762396779648
POMC,0.0031947269563439937,0.008727073597164209,0.09226230560314658,0.056702875623810836,0.1307674459747632,0.03730595957395341,0.012947661022841821,-0.027149629626087277,-0.052510770389337005,0.019944319546602758,0.01892940047713101,0.06470253329576146,0.0590253568768299,-0.0597854928839687,0.07807277592911867,-0.022912869021918594,0.14321315650082195,0.10944008330580812,0.03691084211375987,,0.17765355712095182,0.05505131987464341,-0.06352267228512104
CCL18,0.0486245772525839,-0.0440421091966241,,,,,,,,-0.08293613697138934,0.10523366867508382,,,-0.03642081362801213,,-0.023484259625987523,-0.07581352086701271,0.008123247973752166,-0.0871481356274431,,,,
CCL17,,,,-0.010496468320971593,,,,0.008386705454523812,0.03322501854526837,,,0.00911296838572031,,,,,-0.05222824151789511,-0.011094700343254682,,,0.04319448919514915,,
VEGFD,0.018643255608496046,0.011446455355418701,-0.026793919226914722,-0.023474912504411544,0.10166575898216743,,-0.06672288386119056,-0.02317825622197136,0.0077057014560319185,0.045011698427365174,-0.03195737993759321,0.020723412328253574,,-0.012769609538473487,-0.003917928124051311,,,-0.05199537099364201,,,,,
TNFSF13,,0.12337634139365439,,-0.011941435250316608,,0.01418690846299808,,,,,,,,,,,0.11211760538316906,0.04574746022049828,-0.03774058130516647,,0.10356386090719583,0.01872315414222677,
WNT5A,-0.03215167986163397,-0.017771731517894514,-0.038625468061686374,0.07394273768869329,-0.10317347788830146,-0.17805038208417798,-0.22540693535631642,-0.010737976772554048,-0.03430427875209463,0.019104251452651343,0.08372613873434571,-0.06004487272404315,0.07029919304844769,0.06970049390900938,-0.04175617401137492,-0.04278867805554736,0.019040387030447855,0.11207419565013756,-0.017025192983347173,-0.04853371606032712,0.18629749704315554,0.0017299259141412473,0.07778902269487947
