,UKF251,UKF259,UKF260,UKF269,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.017553690659218416,,,,,,,-0.014777143303846534,,0.013987064449923543,
BMP1,0.08961449048312609,0.0210656734079831,0.020521306261870025,0.10527777190853606,0.07220973850235639,0.01815547948628027,-0.07193457968787738,0.009098513599649954,-0.032568459522852686,-0.019640063106325305,0.06729488904040627,0.034843324838153306,0.0036897218323827512,0.021485931213336352
NDP,0.003175065057895352,0.03505368209813605,-0.03901653906963545,0.02143319305096904,0.02592682168558307,-0.04879087105015282,0.049908571569919624,0.02400554646152565,0.041314596591121494,0.03876311689168286,0.12965646582596885,-0.031117247630034334,0.04791102281805223,-0.03439304887048919
TNFSF18,-0.03924174845139553,,,-0.026066703652705008,-0.0206195838881869,,0.054704400961337905,,,,-0.0018840309137512414,,-0.0061654540899607965,-0.03174722315477716
RTN4,-0.06655128910302018,0.02231640969308517,-0.034133063245528124,-0.13394814162836993,0.00795086395910423,0.024493475337479406,-0.02512208757155507,-0.01012043276289111,-0.011086790883521581,-0.0618926583509393,-0.06119691155512062,-0.02085912263308651,0.002472849288319595,-0.04496155166831923
HEBP1,-0.011713100715531657,0.024642046978890643,-0.012233311843426624,0.07077955353573814,0.036580416338492225,-0.03240791361669511,-0.11409208598887223,0.016759476335579487,-0.007203434601900307,-0.006534881327545501,0.04874204567713486,0.01412777258536224,0.0795937961896688,0.020283710293224885
WNT7B,0.07127412571629448,-0.01331804416575525,-0.03920875751377039,-0.07265418349696691,0.028232466323003705,-0.033914353334980434,,-0.030467306195434984,0.05953604252716013,0.05154812834209692,-0.0004736465555047261,-0.028125671410003737,0.06273414394019897,-0.05288206753938149
PTMA,-0.00044037244176673617,-0.054873966246324526,0.029072987532428953,-0.11105804218879219,0.019497172809523407,0.02778479837376185,-0.02895490252040927,-0.014120947654415936,-0.06263051565882888,-0.062338833782056444,-0.07816694212413859,-0.045924905852306325,-0.06337446165552926,0.030869159750146466
FASLG,,,,,,,,,,,,,-0.030279919943424195,
CEACAM1,0.01733841182436471,0.02722796574684867,-0.015199079875448277,0.16335363465946165,0.002086566896473067,,-0.05002727564877264,-0.027323568201519068,0.06428323954007983,-0.007367747253653716,0.006821592204954341,-0.018667417166159342,0.009961613926682102,
PDAP1,-0.04479554222084828,-0.023055706841313903,0.042083686945560826,0.11854631991148681,0.0200170432133391,0.00966752441774309,0.030502783898863513,0.06369657377024998,-0.08101045181436421,-0.004367660844391888,0.0441314140240104,0.04017175744561423,0.07834168352336982,-0.036416866019302316
QDPR,0.07672153740966033,-0.03205712575022269,-0.011369697031528986,-0.11916392188220963,0.005978305205992495,0.02850471650267561,0.050885862518862734,0.03745738570628143,-0.008054492175098212,0.037592337309618584,-0.0782709048989967,0.01731413695692867,0.07527461333250011,0.02812060099214704
