,UKF243,UKF259,UKF260,UKF266,UKF304,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.012846566751420254,,,-0.02405655855663592,
BMP1,0.018786211221565145,0.0354711678544289,0.04744210439743635,0.08086145956045936,0.13441838511326082,0.10377615468811198,-0.07563132509297243,-0.01535708953576737,0.04158424127383257,0.038956592402019354,-0.023185633761765075,-0.023749306205919744,-0.005530082463524076,-0.00045542463979108346
NDP,0.08972764852559946,-0.013196682042250104,-0.006241591633164047,0.037080287642055725,-0.013567957149604223,-0.015245605407583972,-0.019702740100743535,0.06329725852549059,0.04990281269460335,-0.04189854714674887,-0.004516673293820198,0.09993317633257229,-0.023036181317078727,0.05387468440323087
TNFSF18,-0.02207642314764056,,,0.01601669175802372,,,0.04232976095117936,,,-0.026848161763100103,,-0.036426737924797246,0.04700871679658368,-0.02359244118152511
RTN4,-0.04700746834864214,-0.01048900563769815,0.0006602138302542343,-0.07076792386271548,-0.07784132543032643,0.04263432038376915,0.135376219278998,0.01447467789024113,-0.04657689035715785,-0.03104523224214612,0.023619530699395208,-0.0666209860085711,0.01155650911478823,0.01267153474839423
HEBP1,-0.04020692190229495,0.0535575592761273,-0.07192999501893434,0.02978543867369846,0.1174859600734468,0.03496620703776489,-0.015395823372897962,-0.04789047806046298,0.02797097167584667,0.013038740792127947,-0.06336033517084094,-0.029973700360515203,-0.03408463915729432,0.0014881657546548604
WNT7B,-0.016728008727195317,-0.0105906438610893,0.05876873851898819,-0.020637861919911387,,-0.015774714771176004,,0.003869983339445837,-0.013943278565498766,0.00776172068547515,0.004725508162107139,-0.036426700153006385,-0.023611798325546524,0.052272754908623424
PTMA,-0.07486977569528054,0.03489015793214651,0.0005963211829216037,0.08398123994511583,0.12943970731992507,-0.006141544276408148,-0.013033523723015984,0.017518824780077644,-0.08392925258480939,-0.014470814478568171,-0.026520524050558103,0.018390145933508645,0.016976373104383817,-0.08367002405683782
FASLG,,,,,,,,,,,,,-0.02086424502915679,
CEACAM1,,0.008478861425330749,-0.015610030376448187,,,0.007899656584841581,-0.03721344639694453,-0.016696887673082313,0.021337469452861593,-0.0385780054675485,-0.027661418783473776,,0.08997402309950683,
