,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01755368684702161,,,,,,,,,,-0.02925847964991205,,0.04707840659679981,
BMP1,-0.019868107775465136,0.019269397617430826,0.022640228827347855,-0.03505870937905865,-0.015468439722801793,-0.019532443903816178,0.09714624058423003,-0.00477516179527591,0.016962089927735492,0.017629223858823647,-0.045019644588121,-0.01917639200301507,-0.04080333801994379,0.04779475405457369,-0.025499529438870617,-0.0026588835390298896,0.026734754796170417,0.007479962717361747,0.08224155828800965,0.04839112943655617
NDP,-0.012568066289884453,-0.009949526234684222,-0.06796719176331896,0.05201049022528721,-0.015009334037909964,0.0157901837195928,0.0054969893936158976,0.001308412982785593,-0.06701641863452888,0.051736864397079176,0.022317718437442416,0.011022091727885269,0.04683958056879474,-0.005915138424208535,0.07861418197912703,0.07944484129513249,-0.011467095626861103,0.059232296667133574,0.027312173386463412,0.002799791388425202
TNFSF18,-0.033076404983090876,-0.025517630805207216,-0.034801039303654836,,,-0.017643349620774455,0.04717897194525388,0.023918260394733434,,,0.06200159255895802,,0.051810795576091986,,,,-0.03017375362046037,,0.08654237098112864,-0.028252161686508622
IL36G,,,,,,,,,,0.12950313924427523,,,,,,,,,,
RTN4,0.026576627812344173,0.04053782763964087,0.03191816365369722,0.012819490789454649,0.013451490903145662,-0.007009244552225101,-0.12882578941775982,-0.001787505412566482,-0.04017497645587788,-0.04816179534070609,-0.05394362883004615,0.012753971560875243,0.0920426170078798,-0.030112397026492668,-0.004873399872107737,0.03337944106977732,-0.06124652990428385,0.03208728906330376,0.026740088238195587,-0.030895047956930002
HEBP1,-0.09206424495305025,-0.0030083723577400668,0.02134759863853492,0.00459442011069229,-0.02563154503278552,-0.009271042884198106,0.05429644994638633,-0.037041690616834676,0.014708277466465499,0.05296006628755607,-0.031230735796721254,0.007149464736186173,-0.013573114399687308,0.012627643745486281,0.07258343756081827,0.03497284023898723,-0.015082521616992037,0.0064770137318831125,0.03914330031328429,-0.03343114904831569
WNT7B,-0.012334492254160402,0.09031445704957046,0.0069180236469662945,0.02293365351436337,-0.019809243561982673,-0.05744881808944924,-0.050400597034741486,-0.027288416424557392,-0.023495585203280597,-0.0177399853884205,-0.0347763479244831,0.1367451267642771,,0.0733373641589165,-0.017937295933271608,0.01690956856867916,-0.022905602522133646,-0.017321054144259756,-0.011123121455247317,0.07643435150508653
PTMA,0.05682683375880497,-0.07842548267758102,0.02591403746036227,0.0008442727083970672,-0.05995534725096051,0.046634378727991796,-0.06506043411582128,-0.05213235377883594,0.031074118040435694,0.06689212866688708,-0.028272931321741,-0.09919048340897416,-0.04278326388248671,-0.1267674580976558,-0.04814754764877304,0.04031302350340529,-0.02701736979379744,-0.03139388258080238,0.05332182339574403,-0.05396209553895326
FASLG,-0.01197126462912533,,,,,,,,,,,,,,,,,,-0.024422854716559396,
CEACAM1,0.05055790766029295,,-0.006535360275752942,-0.01743838951232164,0.001912960643490411,,0.022232366386564482,-0.02255207939271557,,,,-0.02983054936772108,-0.03292904203981731,-0.014264418609149163,-0.013386622983431786,-0.015526318053121314,-0.03173885582647309,-0.019932164182897998,-0.009098849554732268,
PDAP1,-0.040504504389812034,-0.011703692278578428,-0.023913492601032853,0.00882888848146024,0.007327617607517299,0.018729066382850355,0.1469225198015789,0.04926465235083975,-0.006701032631115893,0.02656718016864262,0.009057461485035535,-0.03245474190320792,0.05836271093454789,0.01478188446397593,-0.06505394643560529,-0.026646310836935246,-0.00029294128661685575,0.02753313608483512,0.00855212360276628,-0.03302336322429879
QDPR,0.03184161146383812,0.10138958871730504,0.05491651556308442,-0.014765580448116477,-0.0797466921985368,-0.01149072010020214,-0.1189107249253774,0.015660882706181767,-0.020758682371936593,0.03172507056511096,0.0205288165458908,-0.07555849766604668,0.14452273606335583,-0.0871143504981319,0.026081031330063176,0.0028668441522641855,-0.008551045821811041,0.01892015732085936,0.008493477164796386,0.0026484358603589267
POMC,0.08420068890092525,0.11470925252017045,-0.046075592463738796,-0.0030585484328962556,0.009153683709373658,-0.046546714794059134,-0.03509644246110226,-0.016638024980764964,-0.016742601887822863,-0.034580640321051404,-0.012152464163811643,-0.0270643891603185,0.09252200474740423,-0.016955686404087594,0.053402730230170406,0.02214096690557134,-0.058244690603110945,0.026715735319545936,0.0009018575318147781,0.08785948856720405
CCL18,,0.020273333324755474,0.022388016908169772,,,,,,,,,-0.06825021343879631,,-0.02447660533191353,-0.05341750371472143,0.05386776069065766,,-0.039772684631999004,,
CCL17,,,,-0.016084697648190628,,,,-0.017883721722147132,-0.018959456460547978,-0.014744568794898829,,,,,-0.02070895488201306,0.01910965472525297,0.0010961946191298266,,-0.022136574634826343,
VEGFD,,0.023430954210532356,-0.027641000861827122,-0.01792012940874952,-0.025642331094851173,,0.07974562524948695,-0.019053592868953306,0.035270590327176304,0.02650554004734193,,0.06136956347765305,-0.029502908103905105,,,0.08376489952992955,-0.04068536780598546,,,
TNFSF13,,,0.0608036024112644,-0.011094864451558705,,-0.017110368521797058,,,,,,,,,0.03588496880004751,-0.00990838887120443,0.02101357876219491,-0.022382484473217862,0.07065177553747286,0.001306572505942004
WNT5A,0.050691051213815695,0.08949772772971722,0.01707147407337947,-0.011938377682985593,0.029302319422705128,0.02647377364961145,0.07594849296232639,-0.014178280753060988,0.00917199430802863,0.040770023902733724,-0.025335020971371174,-0.07281096507908716,-0.040442061948965775,0.06550711611169813,0.0428510330625339,-0.0193158131804731,-0.05674408267179104,-0.022554201771374138,0.059777590583944135,-0.03047712847282671
CXCL8,,-0.05908323228158168,0.015320999594593637,0.014880009567309904,0.01949266854032354,0.0055692287315594596,0.058970956449306326,0.014198137039522427,-0.01986456614644301,0.00986710427768711,,0.024359755661415558,0.04077841378795746,-0.043094917362715576,-0.0891186418189955,-0.050382928129357775,0.11679951535106115,-0.07874556250648634,0.042395897414940466,0.016747699287677335
GRN,-0.033482509912499875,-0.0097498705149558,0.03470392065070276,-0.06832322266821292,0.03563459078514714,0.03810658369500871,0.09171282059251228,0.011515286641078119,0.015509463120002799,-0.03121972264336265,-0.00658846467253956,0.11867238484118908,0.049710754825267885,0.05497565843220241,0.050477890299957334,0.007929103152235316,0.0669909445440032,-0.03238152897391495,0.08038737951563804,-0.008032102781616281
MIA,-0.03814081079898623,0.005769190049426637,-0.00023528801502387058,0.020367437959872222,0.011891995359771415,0.006960770233552449,0.002712712135864504,0.021716674995161715,0.0247306952122019,-0.021641852231649952,0.026197732227800127,-0.06314760169763892,-0.023202816581360666,0.03451905170719801,0.10209069760434261,0.05894634119587384,0.01999996957453613,-0.06386405096188666,-0.02510490146934797,0.03564917158061295
COL4A4,0.05326155650476482,-0.03881468809677819,0.02097250715698415,-0.03876629353403096,-0.0017572374920146727,-0.01627975970529316,-0.01729785546239981,-0.01867115877651312,0.004982001443760482,0.20343463795247388,,,0.06456646354067686,-0.030946076934949406,0.0048355191613159735,0.027256296781652922,-0.03257613277683824,-0.002952205671040555,0.01714608566001646,-0.034350258599489356
TAC1,-0.02913926919240336,0.0534621712215346,-0.03322379138615044,-0.035008164086368546,-0.018668167029148815,0.008983877769812708,-0.09035725293438063,-0.01515207113090185,0.002942867010619046,-0.03720469756259914,,,,,,,,-0.013141855726960942,-0.029100778299130423,0.04975099483384798
RARRES2,-0.0028123200483260837,0.04762412757285053,0.00429731220981335,-0.0058219365796541925,0.10847588252494594,-0.03343803970821871,0.12333074713690102,-0.014549415818533822,0.02724312864156778,0.07420816961134943,0.11493129241090982,0.0678767309007212,-0.047916826051517626,0.014522326146408023,-0.07637243905693915,0.08038039801571281,-0.010467015177899984,-0.004459351443790915,0.01963535891831336,-0.026281814315750256
FGF7,0.016661887773204934,0.0834643782407575,,-0.02851161896558145,0.0030679463553432806,0.005365773741737554,0.04631132024887953,-0.020165777634358582,0.005279463513592291,0.0204762871456818,-0.006997616508584988,0.04708547285868359,0.013861935882213466,0.03077339124030774,0.012664100496517049,-0.015513421328365423,-0.061660677425196306,0.044625401740896624,-0.014732413132746243,0.04067153989504367
EFNA2,,,,,,,,,,,,,,,,-0.02816231492066069,,,,
HBEGF,-0.008058712555806787,-0.023706626071809258,-0.004127228759572349,0.01016600724229158,0.02326029968273653,-0.016791053829091143,0.030548885660039313,0.0319760857962113,-0.0384599617953058,0.15315023335399947,0.04487401522959724,-0.05965373159988637,0.02833106780143709,0.1220034094460045,0.0070109438263224735,0.03491580228296686,-0.024444286960310653,-0.035071542578394295,0.06006538305616691,0.04422032671354174
CSF3,,-0.03881465736707368,,0.08760452328804921,0.05688809489089008,,0.06391959049765747,,,,,,,,-0.008741738724151035,-0.05832750132602351,,-0.028575480063219902,0.04866443866883286,-0.036132541831405546
PI3,,-0.04598174973117261,-0.029079489065626594,0.020148968744238795,0.05843416116519062,,-0.020606940246478193,,,,,0.004740034901283609,,,-0.1250467320504914,-0.06635216967291195,0.015178267268116715,-0.04590708229236201,0.00026951382093763426,0.03685692431400929
PCSK1N,-0.0008184277633903756,0.14769650693819772,-0.008176566902417937,-0.025886601947990976,0.000992020108530188,-0.018281152135952234,-0.008750460625345208,-0.0315082776756362,-0.03469623392966978,-0.02054276629037888,0.11071377213385562,-0.008816511417002282,-0.029894728734557712,0.04473262142381747,0.0220187585940681,0.03583365824930592,0.0033735796619113506,0.004498678273693224,0.01385259922053847,-0.017681665864731654
NTS,,,,,0.037654171382097104,-0.019873887705625953,0.01189710946790049,-0.021329628519001297,0.014676060918937608,,,,,,0.008867149339525104,0.043618709084439766,,-0.021333607174760665,-0.034513597528037364,
SFRP1,0.05514817382933031,0.036603293200687226,-0.013366394365996168,0.027442247622721384,0.020756090870488676,0.016273847375510436,0.029245229703860693,-0.010577011685496315,-0.02908094830510817,0.04832584630698624,-0.005169347861827776,0.005973689032742157,0.018168104987323172,0.10019044937469017,0.0062191132086098395,0.0490241814222502,0.017638463666917018,-0.022213316919911283,0.08142823631382268,-0.011379341803997705
CXCL13,,,,,0.0222798200192249,,,,,,,,,,0.05925630822178982,0.03138569232435134,,-0.029039630056228144,,-0.012271203355528275
MICA,0.07493096478738998,-0.020745906085939823,-0.0011842403691006745,-0.032402006099842465,-0.003881782657273872,-0.02493800360552287,0.023152116157133102,0.056245250507930646,-0.037525104175410336,0.06660757835009527,-0.016029314849251654,-0.0030428513992887133,0.009655058299393829,0.02966155163578198,0.028358326188976556,-0.043272774979469394,-0.0008864353347831745,-0.017569617436061398,0.05741217031554665,-0.04062391217377877
TG,0.0499126792708985,0.005606760857926318,0.006564556288847381,-0.015145471091909855,-0.026913286065019432,-0.02293970543291494,-0.022087426015815197,-0.01801717285255937,-0.021045755788918187,0.07033954319012446,0.2893053826206936,0.11963792982154295,-0.03753058892178558,0.0704003022871795,-0.027517023502740864,0.005650866800078262,,0.040196160735198536,0.05542501947870185,0.09208686231719423
ADA,-0.060811329485005415,-0.007266295262778739,-0.03848974511092337,-0.003688063494862302,-0.06338267892565101,-0.0030046128206348667,0.034794151370414306,-0.005351705368142596,0.10533202608832998,0.03380050587566669,-0.03870451868563639,-0.006040950019141207,0.019361985529666975,-0.024635532369188064,0.015929796880114165,0.01967194429250165,0.093260695097739,-0.012566728901632112,0.11763287929871095,0.05361367877165661
LAMC3,-0.037077208721082375,0.08178318416118802,0.03593429967433901,-0.048577565597696375,0.011861899135196008,0.022132896108088742,0.10389067749977988,0.06235303444367738,0.053045763795306726,-0.027613514212089685,-0.014975449566583969,-0.011900014938570175,0.01840894475591399,0.11993303664580253,0.024349200245957697,0.03303507994382394,0.0024085925393764057,0.024920693904723682,0.06230222085586365,-0.032487651702111944
CCL7,,,-0.017582006014993014,0.09300530569002066,0.030991437837577105,,,,,,,,,,-0.03103794994115918,,,,-0.024422846032083775,0.027725514916594717
NGF,,-0.022362227473969456,-0.03018743122139014,-0.0020489999819592437,0.02241544698335087,-0.0218906318025178,,,,,,,0.027051864713880394,-0.016934461263189402,0.03586859072323392,0.0020600669214177873,,-0.01697170388604921,0.012915244883905485,-0.0007094601701568142
TNFSF15,,-0.027664866267461827,,-0.012193529150155803,-0.0146720680873282,0.002709981482538387,,,,,0.0024236774722966588,,0.05190993525793381,0.07891798500021106,0.025468613404187188,,,0.003401567445094884,0.041549023067125934,-0.0399895418098812
