,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.010898985247747722,,,,,,,,,,0.05364013298468703,,
BMP1,0.022708436725767684,-0.053096096703972556,-0.017016893510194746,0.03403614877838401,-0.06747773942970928,-0.0026348369508154227,-0.0032008702311731078,-0.0032172695370459017,-0.09155334441118651,0.039068859525593344,-0.07272678526216841,0.09821685767797075,0.06304617983442475,0.018306887226029668,0.1321932723258903,-0.0024750153837349758,0.03976676042335915
NDP,0.027408783202047277,0.01959020240449591,0.04458994786152599,0.0012240689294738393,0.006810331108795836,-0.003696694058203683,0.024584248582062658,-0.004668457426573568,7.193922914393991e-05,0.005999749752003247,0.012115572250440285,-0.13092983998414284,0.03263697431985791,-0.036417319576711786,-0.01501178568609863,0.021121451581473136,-0.06989645809364466
TNFSF18,-0.039721860059555775,,,-0.027613034574609664,-0.009745996164721936,-0.013987921606984362,,,,0.08397371274463226,,-0.06061991706942202,,,0.06225067092974139,-0.04756365745361216,
IL36G,,,,,,,,,-0.016140235412801022,,,,,,,,
RTN4,0.061783270311584114,0.00488598276114221,0.10727212172790516,0.06904704333988772,0.12993663763397645,0.051739919777771815,0.11106288398818887,0.18824280507613175,0.13526081315597255,-0.015297809297388556,-0.07846163706516994,0.08323816728811531,-0.044067141549062,0.012337759574898122,-0.018904619759641528,0.11813173227393928,0.0789860169432813
HEBP1,0.03326094634959443,0.013855321204753569,0.02077901252189885,-0.0271110573241371,-0.06272829445917456,-0.025179636453874707,-0.010084160923546429,-0.08320636748479784,0.047726576190676426,0.04011542160081203,0.10223241846260961,0.03350776725999756,0.024992091937722786,-0.020179166213591584,0.028791143906655377,0.009803349834413664,-0.02120161233474356
WNT7B,-0.020877806876649467,-0.022423415115116918,-0.012040613554585829,0.042621555129370346,0.06995398819618105,-0.011911120024083089,0.14368168498790193,,-0.017739978741985313,0.09699037768066936,0.07227293579855557,,0.036948242640129046,-0.010891019856836912,0.0360148869303406,0.1032771277149162,0.16367405695262519
PTMA,0.036515872132388646,-0.027940044693256193,-0.10593918416657144,-0.07938655539143982,-0.009525759882823231,-0.005527522059345736,-0.05273508524486461,-0.22763579450441562,-0.12824826905676714,0.0814620131642995,0.0463788508352803,0.13194547645624616,-0.004755513125094446,-0.013166904415470566,0.026007183944419032,-0.07085365946397952,-0.18006601881195772
FASLG,,,,,,,,,,,,,,,-0.01053447732448399,,
CEACAM1,0.0028546994862870202,0.04034765550482441,-0.01659530655092744,,-0.035226839972813506,-0.02199966828874686,,,,,-0.02783418553064514,-0.042626089770970294,-0.00010039127511853399,-0.02239197243396528,-0.003349735064564423,,
PDAP1,0.030167735811032343,0.028323572841008574,-0.05319539607009327,0.004542525171843358,-0.07203801610679599,-0.019642868364951972,-0.019305667922295516,-0.057393154124558976,-0.06705327149322023,0.08275714721342055,-0.052847090453352216,-0.04814269477629706,-0.02025900824827372,-0.0440814840372953,-0.016707068056405056,0.004173238469399045,0.09150272397974002
QDPR,0.039711754801942986,-0.009779920655561028,0.06335774713203941,0.006295581580471624,-0.014951173300895218,0.03525645045018691,0.005264785265907857,-0.19498722027713092,-0.04722604982783779,-0.0776041019410761,-0.05229505459067191,-0.005882363038869106,-0.015097802354887635,0.002649510338997066,0.034440571586450267,0.013421328325568874,-0.034454506625659014
POMC,0.008661548331719962,-0.024112254353713277,-9.61466833705581e-05,-0.006258272721454234,-0.0042880694902108114,0.017151629268395415,0.037459830763486836,-0.0357807808618575,-0.034580627365122775,0.04829590557593088,-0.05087572175895123,0.03689381282986099,0.06930106703329211,0.03509114818935642,0.020950737996016967,-0.023970434253188424,0.01577262225233775
CCL18,-0.031549391669265056,,,,,,,-0.007241241223699855,,,0.05873281295624463,,-0.037670430680804834,-0.021630559433607206,,,
CCL17,,-0.01500768034736216,,,,0.0787661589052582,-0.02825230129505563,,-0.014744563270721739,,,,-0.014604112792709826,,0.043712971443514624,,
VEGFD,-0.008995956963653445,0.017920840076295453,0.030237920430496994,,0.0320712263851728,0.1483656774665847,0.03517871185676369,0.03152288718883813,-0.015802205145556057,,-0.04784360998067314,-0.022369627557743476,,,,,
TNFSF13,0.03501699563494847,-0.010351962021806186,,0.045031421399429804,,,,,,,,,0.08141492236626097,0.1578933364644926,0.10805508002687454,-0.0013235335323102998,
WNT5A,0.00845191897255412,-0.002160815692098663,-0.10242753505201513,0.026541253906895133,-0.03672091240742613,0.030770935169769243,-0.10409184628533631,0.0500274780262204,-0.0766114985655676,0.058180521947793086,-0.07880252005150384,-0.018590788088315092,0.024560427247541972,0.06270882569550441,0.06633506470988015,0.026127443851645043,0.03126082435587529
CXCL8,0.002019408434659293,0.018782768479029356,-0.023409967412274354,-0.017713291117194354,-0.05338370378883425,0.00919611819163129,-0.01929853550952578,-0.08293733183169726,-0.04751118437955164,,-0.118701613559776,-0.02693887079506866,-0.028959280357114505,0.01651734887327779,-0.001729827596790635,-0.028885982807995467,0.049720159507739684
GRN,-0.05235402198611092,-0.0491581256691605,0.013663242076903248,-0.051593716141665094,-0.07321845921462587,0.00877396880300393,-0.055724714811137235,-0.15703726527213807,-0.03608797563034322,0.062434634128084886,0.07936514125161592,0.12665474372960264,0.01366043192163661,0.07126364134377158,0.10204790510648139,0.053161508264863204,-0.04938262449830456
