,MGH258,UKF243,UKF248,UKF255,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01951542566002168,,,,,,,,,,-0.03467268821150977,
BMP1,0.022233806776989926,0.14386872010144552,0.0012452442395855783,0.008394160592385371,0.03152215596501912,0.07587778329611654,-0.01347745471319125,0.1069555984039735,0.026676249554545298,0.023066314046499642,0.00548280689216949,-0.09470122644071292,0.006892330420858922,0.004079619029843797,-0.017674319966699794,0.015608643779447439,0.08644214025222198
NDP,0.002097816713721307,0.1001322267626801,-0.008195047976822745,0.008454264450638923,-0.05946853232209967,0.01359761650717797,0.03343290892826066,0.019984027319726448,0.00806822850099861,0.059603634754127,-0.010249574914598948,0.0827605164115081,0.0378329238626253,0.02097665616463394,-0.02531252963337026,0.04752920988991617,0.011176415647336025
TNFSF18,-0.026244038783512138,0.026439006704806707,-0.043082085571882964,,,0.01048050416412199,-0.013506325325882383,,,-0.04156198979418715,,-0.046026216382423116,,,,0.016285163305251364,-0.04019321913035613
IL36G,,,,,,,,,-0.017771280162449686,,,,,,,,
RTN4,0.008537387716036432,-0.07773458979866442,0.004451999038427769,-0.023111466185442183,0.0613777697755174,-0.090379673574575,-0.014778391786146788,-0.02781767981123571,0.019915585767294026,-0.023247603799009173,-0.005504347016709461,-0.045372572559910423,-0.012125390267696816,-0.03277244950844784,0.04104236215817011,0.027307769252750295,-0.017268711434606152
HEBP1,-0.0227152427595736,-0.06187900926080956,-0.009492098936651797,0.017804740943643878,0.01730363428784935,0.052439084456664314,-0.001300375592277534,0.03420405725272189,-0.04491781870963432,0.08278202160579315,0.009775913637436384,-0.0007827474229423687,0.017088076407788016,0.06438792398774029,0.01878691361907693,0.05831553008390318,0.009831901532178732
WNT7B,-0.023120176182121758,-0.020680195443668063,0.02368266550656386,0.0011617189528200275,0.0003979924933748481,-0.0194276307244671,-0.023078566774537772,0.08163682788682236,-0.019532684885728766,-0.0296858920766623,-0.03226074093968223,,-0.02632133517318033,-0.015439459452401168,-0.003095122013176399,0.011048727083563907,-0.08036761085486042
PTMA,-0.02981497790324811,-0.14963665986772962,0.014781607326613306,0.0380747084507385,-0.037073190299332044,-0.06258588886483595,0.019792380462374207,0.12568569372016822,0.027213570460281195,-0.007785279744422727,-0.019115807017913985,0.027531934953590756,-0.008661274384851128,-0.03127846525046833,0.004219743127228699,-0.0030624356064232862,0.01800570508220466
FASLG,0.12335395563197983,,,,,,,,,,,,,,,0.07385761861242902,
CEACAM1,0.028634319441749864,,-0.014095205469870436,,-0.019101152174540115,0.03351553733332358,-0.021242232071199903,,,,-0.05524313309459814,-0.004052732458672441,0.006917327950396842,-0.02938121588112066,-0.023947031218531152,-8.551635928419147e-05,
PDAP1,0.05536171736209551,0.019195187349332725,0.03207015895474592,0.12600847839908308,0.014155030669055886,0.05678779624178583,0.003365177692233241,0.1056777618116437,0.01872541580134375,0.02196937075516354,-0.11498500985112829,0.024068735108810385,-0.021777237501938062,-0.02509370532682484,0.02717201920369723,-0.02716782684507684,0.0286542628110587
QDPR,-0.06460540806412947,-0.010121726457160541,-0.0013906688321688192,-0.06769678965981912,0.05469305031012996,-0.09605955765630997,0.044100975105871895,0.08600090751820344,0.029802037864499233,-0.024505024928443232,-0.021821611396154256,-0.039199913771839096,0.06513463190741713,0.0326401611928152,-0.00345941305641964,-0.005796909490448461,-0.026984759967214375
POMC,0.022131431761071577,0.1365885791256186,-0.019807564209112352,,-0.01886029395198186,-0.01045717409715463,-0.015671671853105917,0.021384454776403945,0.0014382379357037196,0.03727138458490666,0.02378154802884951,-0.037404225981583224,0.044711160731777146,-0.0006459450712591519,0.030381340086560047,0.030090745742095748,-0.022977209989375323
CCL18,,-0.03165771738226214,-0.0342182765257778,,,,,-0.0001085315721688445,,,0.1411033707399167,,-0.0058018885360456175,0.019100519053208313,-0.007141571963215554,,
CCL17,,,,,,,-0.016845017282145363,,0.06628803302841169,,,,-0.02316775257753365,-0.03218381521711242,,0.005502848319416364,
VEGFD,,-0.035668994421675905,-0.03421828739168329,,-0.01827490092853787,-0.032693572871784246,-0.017946941142961692,-0.020552164439731534,0.13539095587842423,,0.0551071218532506,-0.0439984769959464,,-0.02938121588112066,,,
TNFSF13,,,-0.025822217724165597,,,,,,,,,,-0.025396878119586443,0.06807428569819113,0.02899708503537601,-0.0055326100368921554,-0.008725542192281112
WNT5A,0.06643729097286966,-0.013081657607089757,-0.013179292614492378,-0.035173765402387744,-0.03513962110798592,0.020222990551729565,-0.013705187622309559,0.003961166992325027,-0.015873403749260436,0.05761644365988106,-0.012339975977977157,0.0012371469467786194,-0.023920057483936955,0.03862431822868647,0.00444411525873114,0.014377360555592472,0.04302122164117934
CXCL8,,-0.07317801626307043,-0.010101075766254618,-0.034593483389456496,0.012222020267156514,0.03927357040404145,0.04358783964954386,0.04656853492972956,-0.004444674615595173,,0.010814653255238385,-0.04534294285859154,-0.041598551508015294,-0.03774716740654117,-0.04220654979142339,-0.06135705084139003,0.03632457199535401
GRN,-0.03078267830096168,0.05063674657923181,-0.00825689964005595,-0.03348810102893816,0.05745744836068311,0.0966542535194868,-0.024552753707082757,-0.006094830804338943,0.00465431124365424,0.12445780666133273,-0.054945925997020265,0.07187845598658917,0.05385145928077092,-0.046432191572704014,0.02377111054751491,-0.0016429437414051198,0.03724553446858411
MIA,0.14097358892964396,0.005451468900021082,-0.021622536640175914,-0.0185234296419618,-0.014507812715056186,0.012824907994332883,0.03724480790364701,-0.027872427236615076,0.07554168790094508,0.04466883306091383,-0.024447878206334085,0.06474691538862748,0.11109177372205645,0.11511300991423887,-0.03100715783744652,0.0796951044929943,0.1014572519408985
COL4A4,-0.026775988766860034,0.11241155259622114,-0.014153532435063725,-0.03301212480256105,0.0023017930030464154,0.022092787254505468,-0.017586719205015824,,-0.023114870123423916,,,-0.03445167400401431,0.016579776628053412,-0.02068685731440471,0.05558747339132386,0.1089935708357283,-0.028758701256021483
TAC1,-0.023120170139396226,-0.04497080316088896,0.00545970142546027,-0.00936829553733476,-0.0036686928405321798,-0.0840664380723884,0.044882113865652426,,0.0019662406403825393,,,,,,-0.04131545094190474,0.0461448826902282,-0.015787972882678275
RARRES2,0.12712572703220812,-0.0320220931481725,-0.03115416768790386,0.036877719911239976,0.004415528529911564,0.09425022930313594,-0.003232788465000542,-0.04817455318339361,0.019211843167781115,0.04811969781143938,0.05599350173894522,0.02464929121142579,0.0013566916929699008,0.0230374284970257,-0.04452776417684937,0.007254088492908463,-0.04248205230145924
FGF7,-0.011209228982659592,-0.011906562890177578,,-0.0392572105634955,0.0419630101042274,-0.012133570919434185,-0.04009117496788933,-0.04477925173678614,-0.007504900955357725,0.03204991123412781,-0.04323325727855628,0.0040338891617159815,-0.03671628346803657,0.050142516612053184,0.010233883806105923,0.049236340006466206,0.017645564735280252
EFNA2,,,,,,,,,,,,,,-0.027924879413627212,,,
HBEGF,-0.02276453674464892,0.098014071260714,-0.0006131484230640784,0.018491940958519984,0.03272415499777625,0.07773937733369846,0.030082125027821382,0.07748880984638018,-0.059689188214945677,0.05020216459283788,-0.04657775034661608,0.005686503872328846,-0.02695203165349135,0.021314863145857732,0.04113858569930018,0.021153846636888685,0.028866380604692727
CSF3,,-0.018460234267671672,,-0.023107232486168486,-0.036051269118639456,-0.020346031501596723,,0.008128312081773783,,,,,-0.026309827743562046,0.012359581042568336,-0.022652211864170265,-0.028696929095335562,0.036578538793223536
PI3,,-0.04253724271559318,0.021571130021223347,-0.04407538186684395,-0.004824914565718681,0.04702710520751568,,,,,-0.04700530675335206,,-0.0656145049219845,-0.04299560278602893,-0.05917296709697108,-0.03291663046314903,0.07454378519595344
PCSK1N,0.05502596749326703,0.039201013237558695,-0.03216571262168908,-0.010616978259775606,-0.027440731003379744,-0.0504267714629293,-0.027412432204395203,0.05342569242956507,-0.0020342611084085927,-0.01574867021490409,0.09601771603933541,0.021724664038626253,-0.050329561772324956,-0.05344157031087711,0.06563294595383411,0.02234278634619017,0.0009861599096062277
NTS,,,,,0.13779648031613467,-0.01001321600807833,-0.020090782366590076,,,,,,-0.03673541196539553,0.002806472153332925,0.058118131316859535,0.030592784395201845,
SFRP1,-0.03364043156339337,0.02239570536899716,0.0815495489546002,,0.1546243590825488,-0.0033546765661166254,-0.020833247304785665,0.015817639733085056,-0.03759768995085159,0.06117591833675366,-0.03732198872131078,-0.01866714365140797,-0.006585200716128229,0.04397846169759243,0.02670352898229619,-0.030791967320704654,-0.023542846481113745
CXCL13,,,,0.014025969126069083,0.014468338795784502,,,0.016714418272701554,,,,,0.0005910643998078739,0.016282100070210397,-0.000647413807504341,,0.048125960176692406
MICA,0.023691357886029954,0.010522311671718704,0.03379305199038051,-0.05408782499247467,-0.016081534337009405,0.08974131495805095,0.017846673145432364,0.047477818942284755,-0.013292892331930426,0.0030911232579026765,-0.014419050911346341,-0.03610964568219302,-0.02426213180370167,0.09262823841824354,0.07745475911810455,0.0420033108824985,0.043822812702443086
