,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.036391740038947,,,,,,,,,,0.038280201409790486,,,,
BMP1,-0.06558378476825853,-0.05010489998497532,-0.047790598761185875,-0.015069206786652908,0.052160296988756835,0.008043754050036378,-0.02041362922431676,-0.023627956413376425,-0.13962695987497586,-0.06341938138450995,0.011009968887361485,0.1870931842156988,-0.022550011359261338,-0.07919711378772579,0.04340545043840158,0.05180334638126484,-0.04406393211735607,-0.08784811685483239,-0.10533779064351488,-0.057345602182299435,0.012239398219497228,0.026312170137994993,0.21356513155530799
NDP,0.0176140502169849,-0.010711170879079959,0.03405558184690681,0.02509882276243779,-0.014423636855561766,-0.027847641822562497,0.045880950859963396,-0.043947554195642884,0.017580102569355542,0.008130095394568392,-0.01804213896261944,0.10588009220618885,0.021945372865810726,-0.037498049317373466,-0.0433515779899088,0.0245061647045189,0.02973892879242118,0.06112673688437614,-0.06123269781135152,0.03673779034534125,-0.04474204498595466,0.05915534270841427,0.08796598610797678
TNFSF18,0.07260814125588146,-0.024578327628502584,-0.024242115585604178,-0.02676432966524879,,,,0.06833994655167296,-0.05789813143598054,-0.027575259748567494,,,,-0.08159190480462951,-0.042876859638254265,,,,-0.041762580860580746,,0.07954033484614234,-0.00887988056931079,
IL36G,,,,,,,,,,,,,-0.037302097317118296,,,,,,,,,,
RTN4,0.11178754401970113,0.15158586661182938,0.02365988445219872,-0.034274215350576086,-0.010032370914517034,-0.001735828465886203,0.08777059429190298,-0.09876797166090073,0.10952141129558064,0.010966506481917618,0.04386993762242398,-0.12428875168920533,0.06534944289915742,0.02412376087439957,-0.021866163921058647,0.0434451953746981,-0.018800972212612562,-0.0011259423192616419,0.18512841240755426,0.06951994462733187,-0.06723024931956595,0.0955529487132851,0.024238571208194015
HEBP1,-0.029949492904781255,-0.058532544846602766,-0.12556428690077928,0.0367808734091244,-0.006345720140527927,-0.010981985556128976,0.034052120242149715,0.05427284705210456,-0.004220632242116842,0.015333425449670078,-0.011945828809148363,0.1139355576006466,0.030711092211965135,-0.03885206203976282,-0.08132868310631222,0.0734337478018326,0.050371709426172466,0.03274988033933679,-0.013300304426508184,0.08633302462261037,-0.014844545624416535,-0.014642895696709984,0.15793440044499935
WNT7B,3.2764467435810755e-05,0.1944311961404661,-0.010593423835546133,-0.006842247889687903,0.03575619470294086,0.041708584032528764,0.022190764519245027,-0.05204276985233992,-0.03501553506264055,-0.007169058472795859,0.026676501137322447,,0.050587579100412144,-0.06508272762494861,,-0.0008635605070206688,0.029815901473489042,0.057691444637517623,0.04497231586482789,0.07035201144683742,0.015599429406515677,0.0026700523899433424,0.03234887104338315
PTMA,0.07196644294741715,0.026101712026042494,0.030086891639604332,-0.01858182215970342,0.07502072790320008,-0.01891881877882675,-0.06080840220858427,0.14940782018249246,0.2579972356881775,0.0007506069074641515,0.11585610777156442,0.3211336806170108,0.014415950378039421,0.009769340783393107,-0.02194373453742701,-0.020698015668284376,-0.042142467521337205,-0.0042992419048547385,0.2680140244215819,-0.036983266030614526,-0.03617212896509372,-0.0806414095861199,0.21505921341489073
FASLG,-0.0008577994463450669,,,,,,,,,,,,,,,,,,,,,,
