,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.06848364835461392,,,,,,,,-0.029258476784355957,,,-0.01710444626981138,,
BMP1,0.020521536644874105,0.03320200218223855,0.01654980945288216,-0.009624341689621617,0.12091583885802099,0.025537429393179364,-0.13378065549348714,-0.2072014197528099,-0.5175489789295612,-0.1475016201346506,-0.043512311161881985,-0.2128224064541627,0.11047018077940353,-0.3564261075468389,-0.19091630136423635,-0.14823899517471825,0.03725967040983798,-0.17586896272692984,-0.02136784731028281,0.08410298219543237,-0.18319529216966055,-0.019362666264539266
NDP,-0.004090548343419392,-0.08568425149636502,0.060439218748304366,0.11116117954761663,0.04295932369494681,0.0422209910560298,0.17588272995698997,0.04299767671092352,-0.08256238965320675,0.0803111159440424,0.01622350676209373,-0.12686379371969947,0.024337339945080326,-0.07429879180691448,-0.09291695492184449,0.052835376120939526,0.04057233158300788,0.01570118170385999,-0.05849526093987593,-0.05716205983125654,0.0594873031736931,0.031235969699219813
TNFSF18,-0.03324901370167118,-0.06363754465586273,0.023985466130436343,-0.010252651763566158,,,,-0.0500492637603428,-0.10529034906849094,-0.018709696724249256,,,,,,,0.0707594547814428,,-0.014044406752725624,0.08563093565196625,-0.1088702788448582,
IL36G,,,,,,,,,,,,,,-0.057833320930630525,,,,,,,,
RTN4,-0.07280180737963324,0.3431304635366879,0.12292144170357817,-0.004541539124031504,-0.015777516854812327,0.08939579006830328,0.264802015825427,0.4522089178485987,0.659695916243323,0.2642240252508135,0.2473912077147336,0.5842419728785158,0.08162752849566718,0.5522535489555226,0.18270954218270308,0.149315908915177,-0.042992520628082655,0.4011303374497908,0.053256518987642644,-0.05854063049999332,0.48306426240654543,0.04245570827995676
HEBP1,-0.009263572597242774,-0.11456093139603883,0.023798105308818655,0.023591642599797197,-0.02324798734362639,-0.004895993783636764,-0.013005815400730434,-0.1644132090077238,-0.2255934770487016,-0.026082841396982987,-0.041441015089750975,-0.2219871522788565,0.02595129437444247,-0.032384725504308355,0.08373300697344728,0.06527814621562827,-0.03672921321075428,0.0745078795193513,-0.08453129762239887,-0.00792717583882939,-0.022098539603727485,-0.02553521998861139
WNT7B,0.03784997844751017,0.35175445167529185,0.05839421219031255,0.000631630197829833,0.057037558873780765,0.008480090406778506,0.11036061274736823,0.10189357660500195,0.3652947936342445,0.012551055060009217,0.0735520281517677,,0.007302566859870258,0.14875288434521922,-0.012107720718416247,0.017538629508978075,0.009920143880329548,0.07911145910863115,-0.05035579933592616,-0.003134152036656469,0.010990896811985517,0.05472158415295117
PTMA,-0.0578940228893776,0.0033600173153934443,-0.011723796608343847,0.06120756581046246,0.34130158888323087,-0.014879856852109186,-0.20519522575251015,-0.5258848997347773,0.07724953840929609,0.1781361098897054,-0.16767197560782632,-0.734790362806154,0.07871243363408872,-0.572699723404001,0.012218192393368695,0.049062762573774094,-0.03191473119144475,-0.004164196592648868,-0.18564065885072162,0.09032985689248756,-0.23266741494578083,-0.29308942887997036
FASLG,-0.029291347963691015,,,,,,,,,,,,,,,,,,,0.012997013272988921,,
