,UKF248,UKF260,UKF266,UKF269,UKF304,UKF334,ZH916bulk
IGFL3,,,,-0.01664925942776294,,,
BMP1,0.03502359701265544,-0.03677664309758865,0.031892687038741825,-0.12646931645285192,-0.00577724430693071,-0.06627264632788264,-0.011269094094408379
NDP,-0.06781748750297215,0.09485814083769621,0.04507814269167917,-0.06726798480702227,-0.030502646186283497,-0.03690408881372219,-0.009853993017295502
TNFSF18,0.09513234713979025,,-0.013291556647470235,-0.02472365042576324,,,-0.028252159943892408
IL36G,,,,,,-0.011835995130809598,
RTN4,0.050603168602290735,0.08468646465772317,-0.018849988539802222,0.16765188795102215,0.1040874232543205,0.12332403765232136,0.07143278871182722
HEBP1,0.04806244363266287,0.04423231427725614,-0.011408591531110245,-0.046456056922821544,-0.0767619194108624,-0.044393559338457136,0.017883536379492575
WNT7B,0.028909751444017688,0.02468588641039729,0.07904108273097259,0.08677320087013476,,0.09216727653499694,0.08550934818559064
PTMA,-0.05152879842385465,-0.07100183321913575,-0.011631993721073665,0.023760139742933672,-0.10021695270900727,-0.10998410366219591,-0.05035425099708258
CEACAM1,0.015374007302526258,-0.017160926469475403,,-0.03253491580646764,,,
PDAP1,0.03197244042037706,0.007558204310511534,0.033869672270509604,-0.08772167315202806,-0.036862607487075066,-0.10545703162701514,-0.007846653499922815
QDPR,-0.08277108942339464,0.12039482026830763,-0.013321834785635568,0.010826776036183185,-0.08747059071241853,0.0038780264230819073,-0.007442025034799683
POMC,0.08936065135592976,0.0174142004194483,0.04951973510213532,0.04853180420295723,-0.05894504068169905,-0.025358746427534534,0.061595879427735804
CCL18,0.032983082102714355,,,,-0.021313213801142438,,
CCL17,,,,,,-0.010812517575782398,
VEGFD,0.060065815539917605,-0.01641860282593852,,-0.02789197560153058,-0.018236494500693676,0.01797276080280501,
TNFSF13,-0.018544623186480702,,0.1576376871089688,,,,0.001598454096053873
WNT5A,0.000948288228700633,-0.008070568134988826,-0.0035772477633492115,-0.10199393803666351,0.024739107877600214,-0.03375308345204654,-0.013147526874199407
CXCL8,0.0013177853471607135,-0.05271470729858023,-0.0183352418415481,-0.011973653160878896,-0.04155487322550485,-0.024877246611998166,-0.014403088325761971
GRN,0.018308001494439268,-0.052507419863437335,-0.012209273727781298,-0.09880034665289547,-0.07453120917723256,0.03653617132307683,-0.004766219932151402
MIA,-0.012639112689535801,-0.017979673318848872,-0.007610242363031912,-0.047560146171284574,,-0.015870447680244034,0.03374656581266462
COL4A4,-0.029513633205569476,0.0007986028929571708,-0.01226430088282801,-0.01640660937199674,,-0.015394923029136968,-0.034350256480737584
TAC1,-0.052651725909808836,0.0703578932675846,0.08694718083275424,0.10258955644326331,0.034891343648476646,0.1465881721833762,0.1324168190084714
RARRES2,0.008012021115203216,-0.06472739999353058,-0.020504756725474405,-0.17181919329968123,-0.06301306935627382,-0.04328064491103986,0.07815725863771868
FGF7,,0.0032708371452697415,0.0512324183578893,-0.04675633866754787,0.051740738738169235,0.012744608928629653,0.040203661552846465
HBEGF,-0.002808803758244627,-0.07123299235030982,-0.022992869440549964,-0.029047522548127716,0.009763637034884616,-0.05621666207326301,0.0816111421584866
CSF3,,-0.02721340235492866,,-0.01735787692755581,,,-0.021090846734424695
PI3,-0.025853286037225177,-0.04324814757316305,,-0.019545198519605463,,,0.11522242963721349
PCSK1N,-0.012701821734125948,0.028607594208958507,0.026854870838950457,0.09437067159013945,0.11465642089466584,0.12237858617452363,0.02232454216711313
NTS,,-0.039105701240792615,-0.014971924828477924,-0.02133491874667167,-0.01641870310681312,,
