,MGH258,UKF243,UKF248,UKF255,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf
BMP1,-0.028526352126131416,-0.059241041018506836,0.05195562479584658,0.03826007007693154,-0.008533130064884152,-0.016247576984628212,0.053048740045135816,0.12261267838700686,0.061244304599911745
NDP,0.01674637541441208,0.08325341531088995,0.02580019102866295,0.09517115587700642,0.013960657789733079,-0.004626468595787351,0.13288954320998955,0.03748019626103379,-0.06331088747955332
TNFSF18,-0.027076446101837338,-0.036502260575527044,0.017232095062609306,,,-0.022941456992124073,,0.016283459483709243,
RTN4,0.0011787726485750264,-0.010011304899529378,0.017767954797884972,-0.03699201658232798,-0.026271186965061494,0.02830430074404699,-0.14708595140208677,-0.054661683890566824,-0.021608260115746396
HEBP1,-0.018407109031352578,0.08343002826836933,-0.01553534674426607,0.0902052291004141,0.002111415229653725,0.0373456337188326,-0.057029561640586784,-0.025768401085857796,0.03953092386764241
WNT7B,-0.02385350095784405,0.05818519500581,0.046521155508310576,0.07854072585157149,-0.03235086963015467,-0.025256304938016023,0.006836192931047314,,-0.01420242693291723
PTMA,-0.05438073358360897,0.01099414145578653,0.04805266328405862,-0.04309102945123413,0.011867503463265238,0.016869751072241708,-0.18777251512531584,-0.0785844190654198,-0.02661396978109002
FASLG,-0.023853507701167665,,,,,,,,
CEACAM1,-0.03312080420150951,,0.018065978898951247,,,,-0.014076585443889733,-0.04073931364477718,0.08004721163467468
PDAP1,0.06953727547246676,-0.013855498728301484,0.02996869985340968,-0.027330410669876015,-0.0061316318969604384,-0.01766459518645444,-0.014863382640801438,-0.08363369046579051,-0.010181965316130283
QDPR,-0.016652608340957883,0.03579314507952392,-0.05374205838235115,-0.023698259363959612,0.015912419031320967,0.010808030099180181,-0.04757627043677748,-0.026491922312597126,0.012086930630916148
POMC,0.04408573478656249,0.04130662667861385,0.07633685477493797,,0.018077453637821917,0.007581315568621271,-0.0770284679650677,-0.009183231320900327,-0.00044732855337034356
CCL18,,-0.048952532801925554,-0.02801288422134168,,,,0.022072779582138227,,-0.03874590509280917
CCL17,,,,,-0.002720924748747347,,,,
VEGFD,,-0.013076810238529047,0.009273169880502339,,-0.01877651647940083,,-0.05286635624946291,-0.02170238167179925,
TNFSF13,,,0.050874705255944015,,,,,,
WNT5A,0.035072650449865815,0.010929002584001007,0.04318502845336626,0.029935134607336284,0.045137980259702566,-0.021652820414409815,0.06546981971618018,-0.08036944194034017,0.036718830507161064
CXCL8,,0.0447702906085151,-0.003026407508330069,0.017524707096797647,-0.006534097311437434,,-0.08354079629747364,-0.036195516692550285,-0.027131685245917983
GRN,-0.023823602940723006,0.06418907885233191,0.006343473835186629,-0.00412536572269793,-0.014574934492764114,-0.002294823208618459,0.0033038451035218024,0.042689543670503136,-0.03154774662235513
MIA,0.12080135015605961,0.05594661744141632,0.04017996015975473,0.007932134230826074,-0.007669703536573549,0.044142458191992744,-0.009604970926160285,0.07778988193755708,0.17977680689278416
COL4A4,-0.010468629222447243,0.048303981773573555,-0.022738066421418502,0.0802443442546932,0.01028525996364793,,,-0.042188759252581795,-0.04898693032211353
TAC1,-0.023853494723455604,0.040459557218000465,-0.012576653827363277,-0.0446955223606948,-0.012597366791458326,,,,
RARRES2,0.06882877709389416,-0.039735094102168966,-0.05841218624359344,0.029196898176122775,0.027413878975617707,0.0033531880010980604,0.026314017197200334,-0.0963444998576725,-0.03410753947457161
FGF7,0.041364145364610444,0.05239817221864381,,-0.04308007548409863,0.039445923064266565,-0.04223962095226424,-0.013369194185603443,0.0002935130278986749,0.024248679616577094
HBEGF,0.008767045473829387,0.06532378033613039,0.06609882457118675,0.02745754834950719,0.022404678588880667,-0.017337983535339278,-0.0800359295109378,0.03325447443417085,0.048582867977921274
CSF3,,-0.01075151125222106,,-0.025357413464786878,,,,,
PI3,,-0.06577561307389969,0.009904744964595832,-0.06007525893478254,,,0.09113153074736331,,
PCSK1N,-0.0017180859401302365,0.04266991514692582,-0.012127074643347252,-0.04356783758514883,-0.04336818994686873,0.0253882816727164,-0.007570422628733966,-0.01424293807879288,-0.0380969494385107
NTS,,,,,0.026266183048107825,,,,
SFRP1,-0.03470743735682252,-0.0333869254103395,-0.012105631377254816,,0.026606834101659472,-0.015502380676574739,-0.11608783803717987,0.024460227108702836,0.128946945041176
CXCL13,,,,0.010223507844799438,,,,,
