,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.012644891025719666,,,,,-0.02242929874904945,,-0.01619049885198157
BMP1,0.06835021930816564,0.008334047512542457,0.01355320055460295,0.019655906983150468,-0.06500255582024234,0.04002287726036612,-0.022118017093237363,-0.008878943008653783,-0.02748412416945015,0.024634602493675446,0.03625562182096445,0.032087209806336565,-0.05755702745254529
NDP,0.0982295592629981,-0.026776874315281664,0.03761183722583396,-0.008146869985876312,-0.046946115881401955,-0.002069374113989712,0.02355388682243331,6.290131934178846e-05,-0.0337209000520031,0.085532960740569,0.011636310257795044,0.025075120855861013,0.008904922064669404
TNFSF18,0.0010455598466732983,0.052913401277629994,-0.0249219608413804,,,0.001255182883263041,,0.1154749817101679,,,-0.023130939899522515,,0.0044059766443877175
IL36G,,,,,,,0.01325091691717007,,,,,,
RTN4,-0.013319941917460089,-0.032740926374020374,-0.01939455306540012,0.013057029777246825,-0.002679727429007827,-0.07111717009456343,0.07032435321899147,0.008694704099368887,0.06007795401416147,0.011656831891926832,-0.09565159600565674,-0.045415282994643855,-0.09291116810493816
HEBP1,0.02630500418594048,0.01800666285586945,-0.038837943384306794,0.012219374052261237,0.0040564428815638804,0.042256586711916067,0.010093944456729767,0.11087923473214521,-0.008137143629716938,0.015912378220017266,-0.03624057379516825,-0.0035230880449760252,0.07217044446502198
WNT7B,-0.05451648206012605,0.016264673636095846,-0.01548074952487002,-0.006718231819639109,0.0023373793149709604,-0.052336813421018355,0.008432862038750504,,-0.03890237584895492,-0.03132424901485632,-0.028083967602035066,-0.020366673885378588,0.017676593313123233
PTMA,-0.04658221396359395,-0.016512495766164707,0.028470934398422274,-0.009677803259337061,0.07341620466661443,-0.005648962814979753,0.0030473920980464636,-0.04317813654034445,-0.02351280888903083,-0.08885021841801413,-0.06858840563337959,0.055875114670515535,-0.03151771833890901
FASLG,,,,,,,,,,,,,-0.014042014130855117
CEACAM1,,-0.017332501428056306,-0.01188054415595134,0.02336573913548158,-0.018242959858672154,0.03900359866412741,,-0.03486011873884111,-0.021798919925971855,0.09139090101590751,-0.018466985712342995,-0.01351765766452986,-0.019537400266610792
PDAP1,-0.02289278280419173,-0.03480915843142504,-0.05427385274509812,0.011012934362587394,0.023976648889670965,0.05598225098048128,-0.03593979891324439,-0.053522610941289184,0.03359736540127187,-0.0006531547439679998,-0.023443390841911275,0.06134891543818721,0.007657502482314913
QDPR,0.03810199901217484,0.017437316517130173,0.020500171315463955,0.008689572375752973,-0.04024420936159422,-0.04086586980546914,-0.021900042749229107,0.05319108162111345,-0.011738068081649757,0.050364046726491536,-0.047653074965247164,0.013438831940336042,-0.018619356045329005
POMC,-0.01654909200082311,0.038651268955032736,0.04148965326872706,0.010219424132814991,-0.015929321504511446,-0.03185234811785317,0.007098471001489264,-0.0038992903514218726,0.020377168894149422,0.023504177742362586,0.036383943770261246,-0.004675612057392448,-0.023514549941824475
CCL18,-0.03132422314176486,-0.021629324137678443,,,,,,,-0.029157523773429,0.08997836023480356,,-0.046551375588747355,
CCL17,,,,-0.01914449521306116,,,-8.426288204988378e-05,,-0.01546527859009457,0.051484224276023276,0.1585621208549462,,0.11667746629393123
VEGFD,0.06728907279476685,0.009413361743452262,0.07806975581119394,-0.021329081788605077,0.023887796656814828,-0.002578875281274318,0.05068654271859933,0.034907250161531296,,-0.015175140308222783,-0.013688394692468927,,
TNFSF13,,-0.01632218725828967,,-0.01320544433151478,,,,,-0.02967554669390922,0.0793659435517768,0.031995745933075845,-0.015179423569579693,0.04089445317672274
WNT5A,-0.034396237337567304,-0.004827709783014198,0.02614254548828329,-0.0005428460750301581,0.02497712079366455,0.06491104100803481,0.021301737265593004,-0.046672202529129014,-0.008321746883351426,0.05070278631287169,0.05873178904405221,0.027526309831876455,0.00602395592515273
CXCL8,-0.00569480554025178,0.011710412475370507,0.12405385606641546,-0.02456703683678723,0.02465337148022137,0.09054253694976266,-0.02907770804392651,-0.03817553110854223,-0.05660314186875751,-0.08454648818012671,0.08356399005265623,-0.02030578715417813,0.02223158872618459
GRN,0.001919694450889618,-0.011439180923351182,-0.027717347610344046,0.022290651316455024,0.01795479783477428,0.06635679668867181,0.0546625819743883,-0.0007582391816174757,0.01940657779593044,0.08034446388563207,0.059050931438577314,0.07276812127237944,0.02064947580237598
MIA,0.12725033710879508,-0.03451460009231592,-0.015133281457292274,-0.016316605516313774,0.02942833561971117,0.012678914697387763,-0.00217829959748833,0.07153414640015915,-0.06622669723171716,-0.07249863633467092,0.052369134889839915,0.06660660946080972,-0.03644885622467859
COL4A4,0.14335667416072,0.001038847844124836,0.029983510110037838,0.015650932173146993,0.04990056526687438,-0.01246060153669699,-0.02635882436506091,-0.037108530698334086,-0.016372482560891632,-0.02429777240190294,-0.02142495392949306,-0.0003584572674861548,-0.014332596745833709
TAC1,-0.044497063893347934,0.08762994275245659,0.0075877813505167545,0.02646979226777878,-0.0405874490618939,-0.04022955064674603,-0.0012144398269783878,,,,,-0.02332181041532054,-0.01673160426320704
RARRES2,-0.15394092632194842,0.04851624934233641,0.022638117729689784,0.0594872029342401,0.08655112558466874,0.08180937755483114,0.030188921341119827,0.050037200722391414,0.039160110567430496,-0.034271788166913314,-0.08229348308331386,0.06803767666286815,0.04866041304411941
FGF7,0.01962594830958027,,0.015479989107229279,0.0013708512578493068,-0.03341901051329461,0.0818565396893869,0.040175603727252436,-0.01335220677600914,-0.002696889098621484,-0.006523200314432235,-0.04551083904445025,0.12236940788150047,0.011840493150097449
EFNA2,,,,,,,,,,0.04217126129794657,,,
HBEGF,-0.0361829311623782,-0.0058760003556462825,0.003520397031247085,0.007948112898551163,0.07748337644162236,0.01163649429230437,0.0348363064421339,-0.06471077029141624,-0.026123130579661754,0.03602615226756934,0.0008964856149049758,0.045239677652561004,-0.046133129877377214
CSF3,-0.03552878125586188,,,-0.022818569027282676,-0.04384980171261902,0.01526775008851467,,,-0.03665956371048758,-0.035945697509594886,,-0.019379408756106446,-0.013400103122641492
PI3,-0.04208913948436546,0.0868826326365041,,-0.03937796100071732,0.011812662145403456,-0.014844318237022992,,,-0.008081142445214847,-0.015427078297328773,0.013976880512141238,-0.00481287026359101,-0.029113972337660828
PCSK1N,-0.021844658855612827,0.06255579734890306,0.028566093564806286,-0.01834386898396462,0.05452804224555078,-0.0066580287786557535,0.06390274278787005,-0.014674135176700387,0.03657188736644748,0.02363506793890164,-0.005524684464264196,0.0033114575941880103,0.041452409638222325
NTS,,,,,0.022573431360494972,-0.016203586938190635,,,0.026201811963935902,-0.017571634078650786,,-0.044807879953568976,-0.019843725470255813
SFRP1,-0.010513050440202313,0.027831401721600472,0.013781764657484846,-0.01670431207687394,-0.019911798697384974,0.007538362125888821,-0.027058312907944224,0.09935106921485157,0.045161182395077076,-0.00848428968792453,-0.047897995128230585,-0.022538532256648276,-0.019382607563252184
CXCL13,,,0.08895968258997669,,-0.019732846794393796,,,,-0.03473818653973698,0.006969543577355458,,0.016599259236973668,
MICA,-0.024404228346761838,-0.006698969225987165,-0.042524484815040585,0.04398526622178528,0.025539261351342803,-0.04143200769797288,-0.025288027297624822,-0.11534699960724211,-0.027412892453339822,0.08034923765438291,-0.03626661124359875,0.041892133559855174,0.03938549597130688
TG,0.052624375457169484,-0.013603324512907976,0.004161289961927634,0.030704612166353076,-0.042232160919318244,-0.015910793979785346,0.03396163518316626,0.0667367946021814,-0.020549488704989634,-0.003162303422016061,,0.007164895576082897,-0.009245296063903605
ADA,0.07579707890835959,0.026208566736640845,0.029850541438798527,0.06806650138571603,0.037277077517644384,0.0402085883579481,0.012134154972250793,-0.10917941714332736,0.018441981362231418,0.04569704621873964,0.02071619641798772,0.006502375574589863,-0.04356626032272154
LAMC3,-0.023200264663814547,-1.245397717164357e-05,0.017686089974550016,-0.030613516253896418,-0.0407451691544543,0.09214511171424432,0.0801317409273869,-0.02791464470818031,0.039324367196135676,0.041388858472775084,-0.00956942993895233,0.04500580851979931,-0.027805551039143298
CCL7,,-0.013758077348529948,,0.07395828028399795,-0.026162111630947022,,,,0.013767048283601695,,,,0.045788506311820874
NGF,-0.020469140840348087,-0.023621935593876455,,-0.029862395689678137,-0.02792533117875114,,,-0.024228618885311803,0.02333262799934242,-0.014229086511732504,,0.02885948217477158,-0.032152628093281184
TNFSF15,-0.025322881838011867,,,-0.014513108393538197,-0.01937033867245258,,,-0.017618519892324724,-0.022596812889339547,,,0.05025828829076539,0.020770487011474197
HMGB1,-0.034139123313099304,-0.00570845855385235,0.04908716630296807,0.019489758360760168,0.000883275691896024,0.08337113735626553,0.028418919979721863,-0.11290187641077933,0.010583160939140265,0.04094373128849075,-0.059166419973684256,0.02760216976404326,-0.0024811087510287566
ITGB3BP,0.04138066388769378,-0.0008020766730998555,0.01116112310393013,0.023087210295308275,0.029979498667361583,0.10385708398195562,-0.012213892844902772,0.08471952680179232,0.04962887448024135,-0.001747163385353109,-0.049826364540140416,0.05302541218842301,-0.011565740283110717
AANAT,0.046224930818663905,-0.01996087708738723,,0.008809953174046675,-0.017453833601616744,-0.0118914918426748,-0.02483333521172155,,-0.0203344249138461,0.001821729213291548,0.10093659682943297,,-0.01485703125003538
RELN,-0.035293225569263204,0.0161515262635869,0.00778384417446832,-0.022921696512117725,0.004214076674175605,0.008683415623832173,-0.027492645532447083,0.05366380537311021,,,-0.00031489606094950207,-0.014536106219093087,
IL15,-0.03599603942397805,-0.024713252602711656,0.011294408411646728,0.028937392814296546,-0.005271878243495284,-0.031017856458764717,0.03436955335788932,-0.05413357570831377,0.009844551102141854,0.02650422891496873,-0.04555286121118607,-0.029355313048465385,-0.010687167104034239
UTS2,,,,,,0.03856202430517162,,,-0.01731625104165888,,,,
BSG,0.051155564588024116,0.049144011256484925,0.010280728298368609,0.00339456397757324,0.07615460090725673,0.028642406440292242,-0.07018425962901967,0.005763474520060831,0.016308306132125486,0.014905760550930403,0.08747296845301926,0.022087876886217838,-0.013037972396385367
ADAMTS3,0.02403712428806823,-0.011812781178018627,0.06942107089263347,0.027798893061072163,-0.011722412722665297,0.061317406943589704,0.08308136694583704,,0.027472006451553368,0.10432300713313102,-0.008454829030519685,-0.050358329899070374,-0.02897965238583252
CD34,-0.014271149098863397,-0.027509568879449733,0.02865998157324638,0.02814179459129934,0.04452628160949923,0.022505641440263565,0.054335757166995284,0.0042167248482162046,0.035144050960352856,0.09079091627568082,0.049752774238982826,0.045301277401342106,-0.027058991810349667
CCL23,,,,,,-0.013530630066877412,,,,,,,
PLAT,-0.00803706322560471,0.026537184437919886,0.04424615751515379,-0.007119723628199723,-0.021757821053402973,0.09621701826305244,0.026589712509899253,0.048297788072366295,0.05751591469437792,0.028125066012028053,0.06432829793591724,-0.0252980250936956,-0.07851213846435717
NTF3,,,,,,,,,0.017268926056809453,-0.021026954640762693,,0.08316337214356496,
LTA,,,-0.011880545375107972,-0.01670431129541997,,,-0.023031773473841808,,,,,,-0.019995325054201856
CKLF,-0.03170338730190265,0.002366306527655517,-0.030338903996166466,0.02469096263568783,-0.028253678482647135,0.05818525109449298,-0.006756267331672743,-0.13379889543923343,0.02315316530950376,0.07718529235340099,-0.0037341725054878603,-0.035983088519936875,0.05237495101525207
CD24,-0.025780790655643954,-0.020063137475412402,0.035366445288326505,-0.024455393583444895,-0.01839263068713911,0.04724644655099878,0.0289187972815087,0.07167561616660595,0.032506535300054956,0.005504920598418854,0.023329525683493894,-0.01798778011794352,0.02276329276814654
HSP90AA1,-0.034753599163877553,0.005084295952501087,-0.017296208691192038,-0.011118475023324977,-0.03325541228552403,-0.03853967879216931,0.06284902653595031,-0.053223095601971526,-0.02403353720365744,-0.06683644850965288,-0.019565125838133475,-0.007445750900970346,-0.04733858974151442
BMP4,0.039291593412874394,0.03050113766850299,-0.01259407453525198,-0.009787895894527842,0.013399445169687,-0.004043736813895117,0.1891569267318722,0.035421587492871665,0.0002700579233751326,0.043219784865519195,0.03144531807130431,-0.03180519993607811,0.016487905637955498
SCGB3A1,,-0.013758075972740596,,,-0.02078536115070777,,-0.01607126694758108,0.06154749456684659,0.10880668081751402,-0.012441127199290282,,-0.02499140249341454,-0.02944233892453988
IGFBP4,0.005170694949619468,-0.04969121574523811,0.003674534248419503,-0.047559994505563384,-0.03817565008791839,0.01566495858820107,0.02751818869266899,0.03790759704291412,0.02293727247354896,0.056383506947662296,0.055749414189549575,0.08988576203650726,-0.05468571342589437
RSPO4,-0.025005154110074968,,0.015171022322611125,-0.025568875039698125,-0.023989685535686103,,0.02022467132902568,-0.046494966351661365,,,,0.07335425701124847,0.05506006811900684
LEFTY2,0.016002303175018436,0.011073907320939408,-0.01202645654824749,0.038526624079521794,-0.01718977482261386,0.05434380382681676,0.08224395303638916,,-0.019676250983067453,-0.01658380725892288,0.08542987556038334,-0.022888566634103626,-0.03595136964943495
PF4,,-0.014271795327482763,-0.010806970753663376,-0.011371212383658973,,,,,,-0.013219637076386726,,,-0.019995320427135324
ANGPTL2,0.002980387947039155,-0.06718035364394144,0.004069629325685517,-0.048192460184005935,0.04443170213194709,0.03760418701484634,-0.042794302283600635,0.011341031106403297,-0.0017251342188513278,0.08526998871740836,0.04685960879547002,-0.04710288080236603,0.034545109778286134
LRIG2,0.06702666685647901,0.04862118941181448,0.010786457046586225,0.04888268518331649,0.011601188350648852,0.04207640683773358,0.029277755630167098,0.03566976243929599,-0.017458736210362147,0.0439081667773575,0.03672033746282277,-0.006768248291454148,-0.0032537072006846267
