,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02168368406598001,,,,,,,,,,,,-0.008061448665737676,
BMP1,0.033617776014892915,-0.00204493858420395,0.06616011895515976,-0.0064756815619973485,0.05834426373711556,0.01943812779294221,0.11973273622432958,-0.010727295591664035,-0.009547232212836185,-0.02748957456619511,0.09490464449442876,0.16133661880843336,0.011024813307745598,0.0460049547619848,-0.025621519560815507,0.029003251319871557,-0.05608433582787257,0.08615357482346361,0.18554292203558853,0.0538846141958262
NDP,0.01153885444733518,0.0449039882614369,0.12502641865663022,-0.051413435986657284,0.005039055116078322,-0.060702634688859,0.02677578384491724,0.04027717784085017,-0.0033060302185494556,-0.03625474336980683,0.04964082577600461,-0.013721031328080219,0.062395069782600926,0.06153457477873104,0.03015700791252756,0.0483854732118791,0.049816140150563216,-0.03589639184342496,-0.04362329997811612,0.0008871537628653055
TNFSF18,0.0089098798181712,0.015501993699699403,,,,0.07644531393915471,0.04145846088737818,-0.014907369984808327,,,,0.060895634863227896,,0.021184614584129943,,,,,0.07152613977394827,-0.03691706008813767
RTN4,-0.03845081306096763,0.04797778926735937,0.039826998943676285,-0.04088531969877986,0.034121950716785136,-0.030161551838278924,-0.19672648185996328,-0.0184787311677852,0.02334275208291796,-0.014516367569558503,-0.05863084607415666,-0.0492890173823762,0.04112049201524357,0.06282235390472976,-0.020791987958020817,-0.03210103243932773,-0.08005041486763056,0.05964392794910585,-0.04864553464855824,-0.00782230843591936
HEBP1,-0.017686535678230884,-0.0009933404967976153,-0.02298182069076005,0.0046474091909378895,0.04894906760921515,0.042168730637482194,0.06304410048769592,0.04500259525913632,-0.006171926682761512,0.00806955584672522,0.015109509391491197,0.03263609318611434,0.04984561171714404,0.008064619877131373,0.031154271687394052,0.03239030760553429,0.06626524348027647,0.024176017773547522,0.045087923263260284,-0.028158582945520847
WNT7B,0.01975884880917357,0.05276635545185489,0.07632882320381427,-0.025544759578961025,0.024257467552057314,0.030969500609555563,-0.04094693573347102,-0.00748784842978612,-0.0171105793884475,,0.06620797561497704,0.04951937012201463,-0.03847171188774779,,0.02471057856436059,0.04479723441964289,0.02801704704179426,-0.015562368387490188,0.11834123305336322,-0.0028092238658950393
PTMA,0.08060160608480507,0.028899113095814145,0.014506682506714705,0.03320731073632045,-0.027452607897151704,0.08024559012158515,-0.09825143822424298,-0.05206587177139044,0.03692515994909507,0.0045204878006276945,0.21158155631841846,0.04263899246124705,0.011714967535400486,-0.14149705735954696,0.0034816512723038107,-0.10923093721363902,0.01409322989667398,0.034811637819547166,0.1686040409702489,0.060822236272771266
FASLG,,,,,,,,,,,,,,,,,,,-0.014173669331047786,
CEACAM1,0.028471219883606375,-0.013845181658518734,,-0.02949687374362032,-0.019925275312092934,,0.06285909524573623,0.0014024226650222005,,,,,0.03313537908427744,-0.05700222411953247,0.06716673316577983,0.04821710310021129,-0.0029164149421939786,-0.024178639713964205,0.05564876867964358,
PDAP1,-0.016775564319072074,0.0919189603758986,0.022859414107950542,0.008773073591701359,0.031095003258216965,0.08079897172555839,0.16065546546948611,-0.0208723402125471,-0.035430904938756155,0.03402200186667133,0.0778543408871696,0.03019684062135805,0.014728149517134683,0.019715298321300125,0.009914675857585436,-0.007782817437545163,-0.05269655095913012,-0.06626285913562359,-0.023034418377053306,0.0182212901996509
