,UKF260,UKF296,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.013957805150651703,
BMP1,-0.006765859849071422,0.08080281985592294,0.11175610378887026,0.14327088166993676,0.03914109848479422
NDP,0.0728105014027783,-0.05062316269914767,-0.04669925248017744,-0.03437818648789682,-0.004385900416884969
TNFSF18,,,,0.09542252641969495,-0.023953089948428947
RTN4,0.1336770445503844,-0.021304198583272867,-0.062452601079129186,-0.013795149807865972,0.03426232197440643
HEBP1,0.020985873258349462,-0.030144743263724537,-0.016670568346807562,0.06756075892137169,-0.028866491301135645
WNT7B,0.022205615817568806,-0.025103327878526437,0.016377751508381434,0.0052332797766485185,-0.0327126585735628
PTMA,-0.10665003215486597,0.05142289297696059,-0.011573352402526911,0.09703484823226666,-0.021484607844438723
FASLG,,,,-0.015260680940075166,
CEACAM1,0.027373719727165763,,-0.020604609211079893,0.008365512531106725,
PDAP1,-0.05906724054684597,0.031223259236373018,-0.05586440655604326,-0.004526472454986121,-0.015069811388977826
QDPR,0.09607362386703856,-0.0011848550794513817,-0.04610513057624295,-0.010065808243223586,0.011010872243612928
POMC,0.014690025189348099,0.029506122272221373,0.009965402510981136,0.06625635849803256,0.01566971093442063
CCL18,,,0.005673893348836849,,
CCL17,,0.08094021093024112,,-0.02716176035102482,
VEGFD,0.00674326771063217,-0.02279086824977829,,,
TNFSF13,,,0.04212665174606462,-0.006764073381827479,0.01379495685986877
WNT5A,-0.0907571994127016,0.040294920657536364,0.07690502262927247,0.14917089108796852,0.06064009847696479
CXCL8,-0.02182361018823156,-0.021223847494090443,-0.011672269050799213,0.06094092423385587,-0.05212094964678897
GRN,-0.02945879550065778,0.011886625652571134,0.09520559975981875,0.13648696908784735,0.09946937296610123
MIA,-0.0481776780983534,-0.025919812921960828,0.039068700673246,-0.01626562902991411,0.07956116586882292
COL4A4,-0.0764914253346999,-0.03646509737133337,0.012556270748088755,0.14998719167767885,-0.029123252341369556
TAC1,0.15224507124384606,-0.03548706502581265,-0.035548820781539266,0.035532463065327966,0.012578545604757744
RARRES2,-0.10288609130068556,0.0037115893609161723,0.05609957270823759,-0.0009549036505173896,-0.11149715712001913
FGF7,-0.017516869435691203,0.013842396553667355,-0.052956262291507024,0.017570934639686776,0.014035232272249308
HBEGF,-0.050802575803237306,0.018853071684228975,0.07379489935002172,-0.003991477449405014,0.07107520533284599
CSF3,0.03443744323572556,,-0.017225048922798206,-0.0285971434535312,-0.03063432930041343
PI3,-0.009461758220070953,,0.013964290127211662,-0.062132092254981425,-0.06861244165487283
PCSK1N,0.013182070817024452,-0.11632377712433563,-0.01759372137131566,-0.06526435698767911,0.03658686866445295
NTS,-0.02874682290784343,0.008373279375099732,-0.03436096533296556,-0.042348469913381766,
SFRP1,-0.018113424103723744,-0.031070883061881643,-0.004228963795754452,0.10292356764534903,-0.03821879234656582
CXCL13,-0.017950634605782844,,0.01949921957677469,,0.016699727844381743
MICA,-0.03353934390967304,0.08009894157369106,0.018926706731595952,0.09816227469138374,0.028471648614218192
TG,0.009337697063493241,0.10682539252216734,-0.0243114804173429,0.0272229191201945,-0.027383288431412967
ADA,0.0055977456282638735,-0.012181097785799106,0.13525047952119743,0.10546432338814495,0.09001812953969271
LAMC3,0.07880128243010154,0.06639634365953018,0.13743804004896773,0.18778569090352057,0.11619565175964733
CCL7,-0.008571691137397279,,,-0.029967034284057417,-0.05187390077542092
NGF,0.08779019049458436,,0.0902701440844105,0.21956646658084455,-0.03471809751126138
TNFSF15,0.0028852693293530923,,-0.01834353594790007,0.06529671670323524,-0.03390441774322571
HMGB1,-0.04198515995215869,0.03358107357215818,-0.0675259596515012,-0.15934612659168504,0.05134350295424899
ITGB3BP,0.018513199411314612,-0.01030262357261416,-0.0010510000539060566,0.01261387414664691,-0.03882421817680862
AANAT,-0.015877455124304173,-0.025919814363687,,0.009445350318514768,0.19331216947213087
RELN,0.07338802819396809,-0.0022715544873027392,0.06339858155004818,,-0.008225440281722887
IL15,0.002205133792909357,-0.0021054265616234353,-0.027363691437558867,0.13581522253056377,-0.010422934983060015
BSG,-0.039473077304307276,-0.035877197315482376,0.11307118714021706,0.044686047671540344,0.013225595038153596
