,MGH258,UKF243,UKF251,UKF255,UKF259,UKF296,UKF304,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.024544934804926647,,0.0483847477805158,
BMP1,-0.01642467754929553,0.027949957238757595,0.001136020013222906,-0.012136551940514597,-0.02129415038994052,0.004278421253855089,0.028078821286299443,-0.05286916757042428,0.09309222982035233,0.05692119830122824,0.014449775399264987,-0.07773658033541858,0.07290004692464587,0.028950134605954452,0.04646483727527906
NDP,-0.029703031507103458,-0.04946358813556318,-0.05631195567079112,0.054654212656553555,-0.021133857670971444,-0.004274543371208026,-0.001322577102281572,-0.07799320005331731,0.017016593205204746,-0.0222240614502593,0.09249176213401052,-0.03144427268749493,0.022639332921188696,-0.046375497492563436,-0.050937255613001435
TNFSF18,0.016921314217193492,-0.025747742669401382,0.0659548980460628,,,,,,,,,-0.0253127580207793,,-0.04619704581428379,-0.034673819131351626
RTN4,0.06629977540511754,-0.08691395063000142,0.04116684914265645,-0.0034159181682862716,0.04914962875503586,-0.02929485254148472,-0.001512470074150557,-0.09565531139600754,-0.0023813505705739275,-0.013261819800792597,-0.06233879901422134,-0.00948313267365111,0.04219851511491155,0.014422784140996727,0.02319993868055931
HEBP1,-0.06582787673247732,-0.03568772272142035,0.05207860558579537,-0.02522049437351812,0.032160069487806024,-0.03446558610964539,0.018333251420439498,0.06202120948321456,-0.06582351111344832,0.03184560849898659,-0.025011853647280275,-0.01573606427777018,-0.0014875558683026396,-0.02686581139756426,-0.022044227925868284
WNT7B,0.09355324810070181,-0.060095517606612255,-0.01615693327538794,0.013348800318819947,0.0605353270301175,-0.01333340202912025,,-0.0381574320461271,0.06780000145047635,0.025018002481193208,-0.00930472950364985,0.010465462219963194,0.03408833961822207,0.06632115143325103,-0.010546384288371655
PTMA,0.002014604505390672,-0.013871395998791277,0.006482905299516313,-0.10830785195114022,0.05404874028298665,0.0872578445020736,0.03910458652651616,-0.010671638427210419,-0.024116383807405547,-0.046036748106630276,0.045812353226046765,0.043046554027376886,0.06373471591751706,0.11629608570068682,0.01228555182294253
FASLG,0.0033232588140152306,,,,,,,,,,,,,0.03883275270146604,
CEACAM1,-0.02799386861411624,,-0.012399474514759817,,-0.02775078555234222,,,-0.05582852055112957,-0.03587407652331087,-0.03652915181532277,-0.03023992783200444,0.04740639962106421,0.10400341824882754,-0.01343476259576833,
PDAP1,-0.015229343212103818,0.04028322521209841,-0.01127438295096539,0.0300264643584908,0.045327243684851255,-0.046683321188975106,2.4210817332030642e-05,0.0018258436981480244,0.014480446138738182,0.03645071880412006,0.011206133550063922,0.011052033759865586,0.011398792965391414,0.08319574924312295,0.0063250248603850655
QDPR,0.06630603822756106,-0.009232357927370163,-0.0467688938370686,-0.09472091264015543,-0.024275563057003874,-0.03331145581957884,0.020823926893340467,-0.09273405059619823,-0.10784142992188395,0.07923454565569919,0.01321453154975543,0.07688223561349089,-0.02959505195808467,-0.0321691057676805,0.019424605998653952
POMC,-0.019388297425620298,-0.048616035115287407,-0.02203188796835554,,0.054608132943423766,-0.0358615610318871,0.0038463399373077963,0.04573872328342025,0.04839635769023987,-0.004596783515337224,-0.006991655229734547,-0.029132636741597107,-0.029011136920521728,0.06405139574207372,0.03809169202701817
CCL18,,0.03127356718078481,,,,,0.0014585286198980155,-0.04787003766472458,0.0316214733838805,-0.02468256228038172,0.047652223072241436,,0.054503506579349645,,
CCL17,,,,,-0.016084698539548446,0.10670184874132713,,,,0.13755722423469022,0.05717321973499083,0.046930190727527014,,0.03290013303381874,
VEGFD,,0.01895078648147835,-0.017759759543681364,,-0.017920130401820562,-0.012105160337205614,-0.024256528459815754,-0.0539309484075156,,,0.0948282193976885,0.10560910162328144,,,
TNFSF13,,,,,-0.011094865066397378,,,,,-0.013296430285087276,0.02443081449373344,0.02207613288879876,-0.011245960759078565,0.029072469167138515,-0.010721151681883926
