,UKF248,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02271836942874617,
BMP1,0.06329345876432955,0.042105174008352904,0.013432727585181183,0.09776648928147112,0.013127183194945649,-0.022962441327645876,0.012102642362035154,0.054944120030589134,0.08000310675008337
NDP,0.019458286332783344,0.012367053664500156,0.04757504971799775,0.010014143562495987,0.13934303865192996,0.04960493139788738,0.07805821088129818,-0.009184111345890414,-0.02133366500988193
TNFSF18,0.039500714159451125,-0.011674764661574738,,0.10021534540014376,,,,0.07364667583256193,0.0135466391457914
RTN4,-0.0637832960931096,-0.008814604590163935,-0.06774851251373186,0.009497229110476253,-0.033234420377613635,-0.012884559058580327,-0.05229313538238439,-0.0026454093107454407,-0.0823459056794196
HEBP1,0.036184810434174736,0.04453638994638581,0.010326497145612075,0.08424916070914723,-0.03684074918928421,-0.03159114845156744,-0.033076794942829536,0.04771361346821017,0.03041419482421698
WNT7B,-0.03981127760966807,-0.03346462612583523,0.008180951578947436,-0.026131458127389543,-0.0573118724363073,-0.020027835268025353,0.02596846617814386,0.04979812188179465,0.010766573161469674
PTMA,0.009770540976518903,-0.03329091687642601,0.004126087722212459,-0.021867544846560536,-0.016326639175266378,-0.017754799831042778,0.004639360847322316,-0.022369104985323122,0.07063258965344985
FASLG,,,,,,,,0.001953697813838881,
CEACAM1,-0.017122071117259666,0.05957017343098201,,,-0.043157277145365054,-0.0187637893835166,-0.0192007423489768,-0.027414712850544667,
PDAP1,-0.026041413528625264,-0.01759045310576424,0.03696662126336841,-0.007928978344708279,-0.027779413987552796,-0.005900143878199037,0.02889831832454716,0.006008150099532834,-0.060847949621214405
QDPR,-0.017266764422187712,0.012320453325882713,0.04319654551184804,-0.03883287638002191,0.059920037842693605,-0.0004812030140732188,0.001954426279536183,0.013658888859469512,-0.050510587727298425
POMC,-0.0017959462901137666,-0.013546473694648937,0.059172087600921804,0.041597257557071506,-0.06074462523336444,-0.0013141434391579217,0.062051418525558115,0.05262391818202445,-0.060682886170424125
CCL18,-0.02136672699210744,,,,-0.03700510889525591,0.004445554512642819,-0.011592951186577858,,
CCL17,,0.06209815701480404,-0.01650301306874709,,,-0.013312000374670204,0.03292153952110325,0.0051691824852937145,
VEGFD,-0.0051415549973927895,-0.015513199125871216,0.08217469489699222,,-0.04169039165212919,,0.10572939752257118,,
TNFSF13,0.02658778350892351,,,,,-0.025543729225859808,-0.016421832496933995,0.04121434578871804,-0.027574668084197278
WNT5A,-0.01261262778970226,0.03733960016471319,-0.013199607363122033,0.040117528879667394,-0.016112275166174916,-0.04496475376066565,0.031924017452346014,0.0702797216208085,0.04727707464116555
CXCL8,-0.04647865916705956,0.02711265140018201,-0.011272851028851262,,-0.14742811876926745,-0.036810306294293556,-0.0875084399287966,0.016836649651330107,0.04776590750988875
GRN,0.04759989152399226,-0.011724095531814163,0.029153619585388868,0.0176095096207612,-0.09455215671510357,0.033887813144711086,-0.020088045547747402,0.05916955039728325,0.013200654157700727
MIA,0.030665362766954307,-0.01829310004539102,-0.01376706979478229,0.10116356365330761,-0.014884263324515852,0.06391756247179861,0.07331708334997385,0.022260678179808473,0.1172392948595549
COL4A4,-0.012123111122172191,-0.015201826028453276,-0.023127582396493113,,,0.0038785302033068647,-0.030743390707908068,0.05340398478552136,0.03661958552209422
TAC1,0.0354898746194851,0.027561694311911068,-0.05577484217657528,,,,,0.06785756544332829,-0.09865204050707413
RARRES2,0.014458312810740313,0.02125302178964262,-0.016612930108614254,-0.004917248112878362,0.056738603144978604,-0.07258844880510644,0.01600945859761421,0.0384298113031517,0.045971903713115776
FGF7,,0.01764882398518446,0.02719047331845017,0.010967366779168557,0.03214492777431313,0.005675653472602402,0.06509671307189402,0.007784095464668608,-0.03921562377695009
EFNA2,,,,,,,-0.01824902062994036,,
HBEGF,0.02210599433139581,-0.03208147572329493,-0.021535668214118054,0.06292222046918186,-0.022101323844531326,-0.04290606732220969,0.014282194874212655,0.011355593436571946,0.05329974489637412
CSF3,,,,,,-0.01803079049449519,-0.062322489085038235,-0.018802910021898756,-0.03241792179083555
PI3,-0.022478697654388577,,,,-0.0592355053387685,-0.0510976996834329,-0.10117725437834575,-0.04085247682311675,-0.06119000736300305
PCSK1N,0.01501174379311642,-0.039886587348532655,0.02337650510759432,0.02639567395383769,-0.04952635905000436,0.039652632193008526,0.016556234316598577,-0.01661801860952814,-0.12819602232477473
