,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.012843355361334186,,,,,,,,-0.016603068072194273,0.06603219582887297,,
BMP1,-0.007875287357401936,-7.231828718933073e-05,0.07357278641168799,-0.033118433999820965,0.04597819150062159,0.028148204188757513,0.06745002974443325,0.0066831266443189135,0.03310312224268714,0.07517744011735908,0.0944480719319472,0.028797036000838733,0.021004015157619984,0.011437853126869534,0.06077832187334932,0.08372406173213921,0.20689181845180013,-0.010349429903826372,-0.029360743588275513
NDP,-0.032536011486027236,0.020582905323166947,-0.0617252075747119,-0.015351788396064289,-0.0028931670415420193,0.04371439132443501,0.003655845684525755,-0.04006677852679676,-0.01940017908605462,0.021226376160615287,0.0860963378348379,-0.05923864585291023,-0.019491558138280678,0.06952141383213192,-0.002619888530931431,0.011434843743125265,0.000470922737806171,9.431405053274135e-05,0.05351776962067226
TNFSF18,-0.022885152519951636,-0.01987258638085228,0.03676078368939794,-0.032426160508161085,,,,0.04117898717193095,0.030071344768324015,,0.15710875433450996,-0.040202490695778616,,,,-0.017122451041492435,0.03994539223425547,-0.005517248365072533,
RTN4,0.008692372615644761,0.06851723406815238,0.015751427962013904,0.006641127023720888,0.02050678010993924,0.002575633243132221,0.04117888709072163,-0.06507922933156227,-0.05147708147997677,-0.09128202222758687,0.033170805202021335,-0.030568885002987392,0.07342846237520385,-0.04031135918323364,-0.06338117955876983,-0.04498281827947035,-0.062267764522168485,-0.0695124820505929,0.03262224014355778
HEBP1,-0.02753544986866978,0.01645623741310566,0.026539309627014864,-0.0153418838887363,-0.04057956115155647,0.002320435388868281,-0.0887888427846732,0.07560411298402711,0.03680719692112875,0.0421697203284603,0.09520901062899759,0.06699476080978865,-0.0020930257187058475,0.009739760674860997,0.018610382596650522,-0.047323668959595576,0.04482737376171974,0.009163858207970296,-0.009923707539433333
WNT7B,-0.020161102587168217,0.10007803962011362,-0.02180614019998322,0.02533747713638413,-0.0053440825732703895,-0.037189544832347536,0.04402703759702747,0.020525378939942076,-0.03830781483827035,,0.028873242526636835,,-0.03572384722496561,-0.01949371348689367,0.047979288258097934,0.01979422462251179,0.028126524394470293,0.0013949690045166158,-0.04910528457585212
PTMA,-0.003818427411543583,-0.05796790684938897,0.00835059684136127,-0.06504039994821055,0.03630653931747228,-0.013606841476741623,-0.019722438359931982,-0.027695407365058086,-0.04375794679319037,0.08769580692407777,0.10087115120482874,0.09477891498373602,0.03775712128210737,-0.05567185692008023,-0.030090338927140723,-0.004597847435243003,0.17754237824831137,0.03291852622011978,0.017773140012722666
FASLG,-0.020161108286660272,,,,,,,,,,,,,,,,0.11815373335081655,,
CEACAM1,0.11454959224114003,,0.03711131182589638,-0.019389728911974213,,-0.006463517012821526,0.030621538703471087,0.06727775612151989,-0.027663052579373883,,,-0.028269173899600594,0.012341576176675082,0.03952286537783216,-0.027315799480165152,0.07767581382355858,0.040434461013800535,,
PDAP1,-0.01672155562623165,-0.02681165561126945,-0.005188644676955725,-0.006462785634081832,-0.0011593958150877275,-0.04720564311769533,-0.03536372362095327,0.04884559146591102,0.017522648564506423,-0.14807903011471915,-0.017871385309839127,-0.0048045876331980555,0.00838629380977046,0.02380629099534279,-0.005219640083675593,0.019447702746015417,-0.06352408601753746,-0.0671014853218168,0.14599797896781164
QDPR,0.07552596429973173,0.07098746229211234,-0.04165928726676057,0.006519867544454845,0.04476694182865372,-0.04995696432843632,0.04087998599678102,-0.10827775517929566,-0.013790222499191773,0.13207973020857738,-0.07828583030267287,-0.028291609418099883,-0.012990348080301922,0.004467558062772862,0.0014346356440995151,-0.052671710704775276,-0.05332176759667393,0.00607827743418673,0.05652632115245355
POMC,0.05709977208923289,0.08360028934164852,0.04026273586147229,0.0067316371209184,,0.02240032571540348,0.03880114207385851,-0.018911717008046842,-0.020408697213459753,0.026172635923699863,0.12416062125335753,0.0424612462282111,0.10611959932030328,0.023391397968247334,0.032393809945567446,0.014612301136504477,0.11648716350680248,0.08521737988108491,-0.018479131933599742
CCL18,,-0.0056019194239805776,-0.038305838847368705,,,,,,,0.09390038632613847,,,0.23232967837027416,0.05011211899931044,0.012584870805796282,,,,
CCL17,,,,,,0.06968081348723076,,,0.01593516107061774,,,,,0.0753936140577455,0.12906746174695816,0.09237071675963392,0.09157471053210224,,
VEGFD,,-0.011187348386580077,0.029774797254144662,-0.02777189651738229,,-0.006634259666941944,-0.020986854132185803,0.01371366349965947,0.023088954599980435,-0.032050671462158446,,-0.038431322430697724,,,0.15378378148726196,0.062400938576100635,,,
TNFSF13,,,0.08429119326677957,,,-0.017168872526164832,,,,,,,,-0.02420219717919909,0.02573682929839405,0.0401061790159525,0.09057317405256599,-0.05718312443442868,
WNT5A,0.04331111936238593,-0.07837570778415585,-0.055749301140884534,-0.009832475347175148,0.06945871727981517,-0.05022513199826771,-0.012794173770203362,0.03532985112734942,0.009185219661204034,0.022917354036541528,0.0034456660803413764,0.06365589420578104,0.050848772168182434,0.04681223359250016,0.08446136794124329,0.015467577820621359,0.14298246368054646,0.06156208891817578,-0.04365225685798731
CXCL8,,-0.10863760164218932,-0.005212130647327883,-0.000295507129538312,-0.024144673876489418,-0.06957132937996102,0.06080054150386188,0.006195196842426979,0.018820258778142095,0.05980546948865972,,0.08386294927279933,-0.03999380760012988,0.012087843023663274,-0.024008512467868514,-0.03107929264697485,0.0164064544151978,0.004896846506415089,-0.09175653736232181
GRN,0.07759885135555573,-0.0032923438668707194,0.07870124509909884,0.022349642412401047,0.05955515465404053,0.004517793197465784,0.0034541263498102464,0.05767780063851353,-0.008396753101827085,0.13277986937313802,0.03540502365877484,0.11322315990855751,0.00675839653206192,0.04107820585121663,-0.012136111084191062,0.04909777081082279,0.20069554430126604,0.05119664234412868,0.06033893063412609
MIA,-0.026389151808234167,0.07395537726104721,-0.03445369604452787,-0.024698382595423018,0.13294533538631564,-0.010168408123920707,0.01621065583942917,0.02691851509961569,0.003570788893004064,,0.04369670313043519,0.06990595594420736,-0.03798354820202866,0.018337456086476085,0.04959148733812018,0.07756991555731073,-0.02532731901204675,0.015875151769242223,
COL4A4,-0.023349020013911842,-0.011695700454016142,0.06612176629411669,-0.001957406609823351,-0.03578395968993372,0.058556434625786344,0.013069656688727681,-0.01265617340839662,0.024509846706140016,,,0.10271913596515171,-0.028719197591174923,-0.0031582638338087054,-0.03374717345488492,-0.0044071115260123596,0.0632275027028641,0.02379983608890105,
