,UKF269,UKF304,ZH1007inf,ZH916bulk
IGFL3,-0.012238774026855876,,,
BMP1,-0.05806443125930521,-0.05807715991096437,-0.0032295583098097785,0.060509316628266585
NDP,-0.015884864841729313,0.02615180355156902,-0.019917345974271885,0.04416350023268124
TNFSF18,-0.01817421201181632,,0.09788440446245796,-0.02430872834009309
RTN4,0.07509674898733457,0.0750287313010691,-0.049693765734089464,-0.01571939511726156
HEBP1,-0.09284910684173434,-0.022350802681952556,0.01657942355191554,-0.00672536746070819
WNT7B,0.07299977279642904,,-0.026980658310344473,-0.0011121978228952785
PTMA,0.0014168164504511495,-0.14057087228276913,0.025197449392223736,-0.0005456470798649432
CEACAM1,-0.007631014446371189,,,
PDAP1,-0.02068825450092969,-0.0450286860887986,0.07891078727087478,0.05435921872543756
QDPR,-0.019792656336328675,-0.11330679234202355,-0.0397941797580242,0.007001277045290899
POMC,0.05019630739113823,-0.009591540537000794,0.09257897426094755,0.034020854047746844
CCL18,,-0.0297843505334539,,
VEGFD,-0.020503229469803347,-0.02042608571271861,,
TNFSF13,,,,-0.006676144476282053
WNT5A,-0.051295003165975364,-0.0075178105313713686,0.046768958312863346,0.0024660453703001122
CXCL8,-0.03062270617696245,-0.0465442194635066,,-0.07098483317576301
GRN,-0.027676131826015228,-0.07298675740041156,-0.034156835177803886,-0.010033695530956652
MIA,-0.034961187565133445,,-0.06622513654657222,0.014137306057612235
COL4A4,-0.012060403378418842,,,-0.029555653615902948
TAC1,0.10168191213657729,0.11197011740124704,,0.07217149774889434
RARRES2,-0.07582013429387117,-0.007684371328726963,0.03514681940486689,0.0173402736271524
FGF7,-0.03437031333183751,-0.003121150794167171,-0.06115837889951605,0.04232585852138951
HBEGF,0.03082261782041972,-0.08185375701686047,0.052532877762467754,0.02666329484332295
CSF3,-0.012759674640427841,,,-0.03108916596764781
PI3,-0.014367562054598266,,,-0.045676014603265154
PCSK1N,0.04204811590794762,0.12544168524489155,0.03381705503128402,0.08565884609274049
NTS,-0.015683175011762668,-0.01839003855366433,,
SFRP1,0.051934104515906174,-0.00836204581708058,0.0022887552627478837,0.013205619126111715
CXCL13,,,,-0.02521753671857425
MICA,-0.03959202650275412,-0.040238911491857605,-0.025293577191680194,0.02340791458916072
TG,-0.015399785708739944,,-0.031407846539828956,0.09537617773601059
ADA,-0.026511914448570106,-0.04381995801281611,0.015424584888190032,-0.01787896054383409
LAMC3,-0.03611583085904292,-0.045027577760564194,0.09710373970588038,-0.004338417717888909
CCL7,,,,-0.034020615871124364
NGF,,-0.018390050662284555,,-0.00551620866452214
TNFSF15,,,0.18016348861010947,-0.03440780635081121
HMGB1,-0.06518417766662005,-0.02724992697059957,-0.05160068335089946,-0.07051021888620322
