,MGH258,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH8812bulk,ZH916T1
IGFL3,,,,,-0.017845844039797366,,,,-0.01684270975005548,-0.022198086481218744
BMP1,-0.004855961214598131,0.025441787584080354,-0.03367431880029791,0.04893277104854501,0.0680837971169085,-0.010150612425878669,-0.00929731995768956,-0.0404756672049243,-0.018663087678916283,-0.023556415887177638
NDP,0.024503765766356538,0.0650450334842255,0.010889536608098169,-0.08133438050568728,0.018435371141127654,0.03852312138713662,-0.021200937111322902,0.05826296601346061,-0.0020412525761274525,0.11175981929134805
TNFSF18,-0.025387500362797702,0.06244184839256558,,,0.16775294707585509,-0.012622089446573373,,-0.06717213422943097,-0.017369589273946686,0.00564402528755845
RTN4,-0.035194874035839055,0.055832387092091,-0.03638067853517701,-0.0673948754697774,-0.11974263282996088,0.06332444841203319,-0.08657108683506602,0.08546414796194977,-0.037001395463146645,-0.037364944640354905
HEBP1,-0.012942921461229428,0.04692765182722221,0.011175864481149085,0.035836067412344345,0.06278906380916742,0.038507854651228884,0.03896088130109363,0.023853872746238357,-0.0036480138621363027,0.07085229811080802
WNT7B,-0.022365592661001694,0.004394331875775355,-0.029643022532556216,0.023288957166972744,-0.04171082991157436,-0.0036305569711558377,-0.019159059373015753,,-0.03632121633503196,0.016975920407623826
PTMA,0.01572239515870784,-0.010806506343698072,0.04668759283116909,0.0924824669186678,-0.0010681929995817634,0.03312605257098887,-0.002014311692183281,-0.048564820257522,-0.04061687635949803,-0.05829340763882552
FASLG,0.019670257567713397,,,,,,,,,-0.01925239283217438
CEACAM1,-0.015654498669760025,-0.012055895283027524,-0.03422919250108151,-0.025789606588771594,0.009070136872678583,0.09578273229466054,,-0.047233410439878235,-0.024958286376996774,-0.026786876964160523
PDAP1,0.092093862501949,0.016880611839627073,-0.0527493187392582,0.02498472649515762,0.10413221166037179,0.05433245427418246,0.00564234514672724,0.006089808718829519,-0.01814455238482304,0.028383206680145337
QDPR,-0.017015039995048307,0.05563977339465308,0.008173755618268998,-0.05389186648075632,-0.056925125353448694,-0.01210516081725781,-0.036334967432913146,0.0052721970505551835,-0.047742900962266896,0.020524538962598184
POMC,-0.018066159050844275,0.008323757187216774,-0.031875612855955575,0.023602441986689954,0.025499846710637864,0.059565225105534275,-0.01482898448381179,-0.099839487551064,0.091193223852327,0.039342465440790134
CCL17,,,0.010353372971047875,,,0.019710825586522523,-0.03616215360899016,,0.07164953876409869,-0.017450131680939833
VEGFD,,0.020397709515820844,0.004411379816394705,0.019964533797578645,0.06260961214655898,0.050211142182851325,0.04210370141911164,0.014033053908938137,-0.023420623669778564,
TNFSF13,,,-0.013684955743502807,,,,,,-0.023813213260653613,0.00023343565735746617
WNT5A,0.0016011773177493046,0.04357796119599348,0.05064776073928386,0.015420646439878274,0.02071136458208034,-0.008377613791364572,0.034953480673109126,-0.0483700203665787,0.044819793155113676,0.020208994575185886
CXCL8,,-0.016168405121986102,-0.02510596554402328,-0.049679957936569506,0.022812811555675924,-0.016880603473317376,-0.024701584420882425,0.016637829903207724,0.03073136548388324,-0.05818401596293669
GRN,-0.013565753135385165,-0.02919482134587437,0.023723219021151203,0.043873145123175736,0.040569467343580745,-0.022967419281645814,0.003206797748096184,-0.014442911122159105,0.07738052149703306,-0.09747616309089666
MIA,0.08455314521553123,-0.015356641425073547,-0.04177567506528442,-0.027412127572543115,-0.020049149913656215,0.007262904755331513,-0.0016408269856289775,0.04126516825885852,0.012015353262389712,0.17498439923272496
