,UKF269,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,0.06478065363483272,,,,,-0.014460800065095446
BMP1,0.10743487790572105,0.0029380000777721195,-0.040367635729510694,0.03469048648829175,-0.007116354689698411,0.04191401823957385
NDP,0.08253480817902051,0.06672200960304481,0.037612191137746366,0.06786601217253915,-0.05962522420254629,-0.0031436368269474033
TNFSF18,0.011989098805870187,,,,,-0.02439278438414209
RTN4,-0.15282099539824257,0.07203433862077878,-0.001552436080156884,0.03749544666323725,0.028037526781293023,-0.023264455564748963
HEBP1,0.044511316345951936,-0.008852570254862923,0.02377900286400929,0.02059486990394176,-0.016486481639319876,0.002844348442937951
WNT7B,-0.04894045967395512,-0.059085885956075064,0.020367344802444835,-0.035246411207762486,-0.027014741270848217,0.025791552925612752
PTMA,-0.03250907288711053,-0.08609851122823366,0.016787589131627995,0.04507085148866365,0.0052716638926252665,0.029214474724808412
FASLG,,,,,,-0.01254184696308405
CEACAM1,0.039361989413955085,0.007329875187332974,-0.025936008606814335,-0.021606674591811332,0.024550445329577442,0.07857477333281426
PDAP1,0.07153109234326024,0.011410642468484061,-0.00909233226291273,0.036321182315582415,0.0066576882298263335,0.01766110196209263
QDPR,-0.10478381543817583,-0.006924975463765807,0.08026447443618318,-0.013487115375551396,0.05132282708102903,0.017787888563656793
POMC,0.043311629416752054,-0.06262489509432517,-0.03776638368218345,-0.0506167242682549,-0.016744936234894755,0.03768218134894435
CCL18,,-0.03815055329778557,-0.03840315930014184,-0.033944281399405564,-0.008581000421838247,
CCL17,,,-0.018400342768431537,-0.031190591228078837,,-0.011367775576564222
VEGFD,-0.008143015842637054,-0.015830518321401286,,-0.021606674591811332,,
TNFSF13,,,-0.022869498834770432,-0.03390310629253437,-0.020134274387689895,-0.018522841472336904
WNT5A,0.049022361164621574,0.06883308888262003,-0.00013958618642196622,0.06435793558300759,0.06380603858747587,-0.040947962054119304
CXCL8,0.05709843135196561,-0.09146759003023344,-0.08800077671248208,-0.017589267178473044,-0.036667205805884784,0.03672061522217836
GRN,0.0916186461422188,-0.046463728463979406,0.02988282807496761,0.025197454557685944,-0.043708028431656894,-0.02487959838109385
