,UKF243,UKF259,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,,,0.09123511834396268,-0.014974383031845449
BMP1,-0.017501842872622474,-0.009390161462669647,0.028219830391922125,0.0991127804542078,-0.04700633481047912,-0.03004118985406251
NDP,0.01048376586996662,0.040741501272166435,-0.07699459549527757,0.010014434372013336,-0.02534599618460144,-0.004408727307435996
TNFSF18,-0.01868161817231398,,-0.036733855459449745,,-0.019240572318561324,-0.025259107029839918
RTN4,-0.08592938085677265,-0.01981345987851776,0.0433703497786691,0.0011817597832320796,0.014566774160353803,0.01512398475295489
HEBP1,-0.016400849763290405,-0.02093547661348018,0.007867198888628434,-0.015959522165520535,-0.015590529378744597,-0.0021176299543067124
WNT7B,-0.043603104482184254,-0.021402241720592945,,-0.05280321677252386,0.009971718183736267,-0.03196155832819619
PTMA,-0.03907138005068908,0.017439612428069313,0.03812377208492163,-0.1702425270803567,0.08471405435599617,-0.007632948355004619
FASLG,,,,,,0.05054487087573812
CEACAM1,,-0.012778373770247228,0.03804756925285889,-0.015771985579636452,-0.02764669367883433,-0.018069888872071574
PDAP1,-0.0064847320128080775,-0.05097281319832184,-0.06609349994590127,-0.048252789822679464,-0.014433044023673042,0.011512936062851871
QDPR,0.010921334286750193,-0.04459261740540856,0.08104442809896302,-0.09661952489400882,0.02841639774438185,-0.056237557361490574
POMC,-0.03527401282268304,-0.02301417038650316,-0.0002468180419376126,-0.06717030602779059,-0.0511642973302323,-0.006821803370236243
CCL18,-0.0019943801590810504,,,-0.033575310920614124,,
CCL17,,0.06782494137647857,,,-0.024598096918358958,-0.011771508141821948
VEGFD,-0.028228068697881754,-0.01595876643716131,0.05014372243486238,,-0.006113548330227534,
TNFSF13,,0.04807877459570799,,,-0.026378277842537757,0.0030827408568128664
WNT5A,0.02372674204647685,-0.03197997237107911,0.02823254792275235,0.067405259473826,-0.001418510470056397,0.04142884937947488
CXCL8,-0.08681830935095718,0.01643117620930289,-0.010746672196379776,-0.059114621081248986,0.07459034815454711,-0.013739097098577093
GRN,0.022415052834463312,-0.1051599055637391,0.10808685453330001,0.06463488131446493,-0.043288669874275335,-0.00940374544072866
MIA,0.08862314055451888,-0.010990300253052024,0.003291989488281607,0.038816495273871286,-0.07780208430278773,0.08924237385573874
COL4A4,-0.02841647753417216,-0.014234965477029939,-0.0070638124670472716,0.031054429488105086,-0.023116816646648546,0.02648845790464185
TAC1,-0.03558942273553578,0.02285269789738645,,,,-0.015474844429753687
RARRES2,0.03810397402536375,0.01653580936632229,-0.03248894210077207,0.0384853245567354,0.06140766668827291,0.1012097432603053
FGF7,0.017604279244307103,-0.0016767851403514955,0.0759715097370131,0.04776974985250373,0.03843008653749268,-0.01598902355657418
HBEGF,-0.000767698679717812,-0.04223731080040691,-0.05729803893246787,-0.04759812156023723,0.06279496369185789,0.012441966405312657
CSF3,-0.028416455036762017,0.08591717079545104,,,,-0.012393582103870952
PI3,-0.033663528480762185,0.02154863530958417,,,-0.02090009519111756,0.03961506265901862
PCSK1N,-0.10635488145145178,0.0007682301154397997,0.0007721947154097917,0.02848479206306285,0.04573892114656912,-0.019129833295023546
NTS,,,,,,-0.018353205091888185
SFRP1,0.04411842971160847,-0.012498438403040067,-0.07859822102168662,0.07570716975826819,0.02697669662638616,-0.017926723102331076
MICA,-0.05700820972478351,0.013094738919600344,-0.002643439486627583,0.039191550858174516,0.005143127480527713,0.06531030104909334
TG,0.10698346077982288,-0.013487795217514227,0.06268717882394967,-0.0028702930777847963,,-0.024169849083889333
ADA,-0.03349927329986608,-0.007143621405725421,0.011948302264451354,0.043872294704896966,0.028014580139631942,-0.024235054249329025
LAMC3,0.00015938838226396405,-0.06714973337433397,0.055512799894625195,0.025218716757888445,-0.08719471690012238,0.015658890058663718
CCL7,,-0.009751654392417097,,,,-0.012987272676814182
NGF,-0.01637152752699426,0.044343589183328445,0.005245050313923759,-0.04989503181062735,,-0.004187809456247649
TNFSF15,-0.0202536227732939,-0.010858944113263156,-0.03981209094188525,0.0483359146213503,,-0.03431462293962949
HMGB1,-0.09577823444861908,-0.03503603825804251,-0.08879913542264617,-0.09522559246060024,0.04037733528285346,-0.07109721571831262
ITGB3BP,0.013289344807777952,0.01187660863118682,0.02461767422877405,-0.018328921089401134,0.053777139543706415,0.037871035347553844
AANAT,-0.029343374432177695,-0.009880529615218825,,-0.015333394810013815,-0.030427056729945185,-0.013741076089628854
RELN,-0.02822805404634582,-0.01715038671640376,-0.015801339813238793,,-0.009941347454155263,
IL15,-0.028790175166062602,0.03813155942116153,-0.01995599030386904,-0.05911477558255782,0.019041546298923812,0.03338066039954774
BSG,0.15806258459003167,-0.04417416220984161,-0.024154526629891187,0.08995636130377198,-0.05888902264120952,0.03667804103734172
ADAMTS3,0.00641529026746162,0.012534906834728103,,0.0923618443725838,0.0007804679854480426,0.006499988638555695
CD34,-0.04118957294066054,-0.050039968599103674,0.02865952298504939,0.09308264761749871,-0.004582429842824287,-0.02218411468454605
PLAT,0.010220170475187071,0.0176328095250742,0.03780805457537646,0.023873903945178753,-0.041155501558703234,0.04727786726750221
LTA,,-0.012498437818343476,,,,-0.018493417586773645
CKLF,0.0625440319065855,-0.024531282083676383,0.04237786590708111,0.0498626356416288,0.005231491896508478,0.06749839110076775
CD24,0.027964637056976133,0.06106778542648693,-0.029805334117415514,0.05865294277856827,0.04502450998524665,0.004077986599558959
HSP90AA1,0.037935681950860486,-0.017225552513148133,-0.08755735753099594,-0.06503841931496307,0.013311571727711607,0.012476162896845534
BMP4,-0.035431990255210814,-0.008046265941172128,0.03135635911400834,0.03548019242898149,-0.01232597956104842,-0.018248617216350554
SCGB3A1,,,-0.04312454711257396,,,0.0039229476248018105
IGFBP4,-0.08067582387004446,-0.013052583907944445,-0.009275341917061352,0.028241162467842678,-0.017737653183158144,0.006396353362595054
RSPO4,-0.019999499345027927,-0.004376766745371634,-0.03518383078414913,,,0.01162026874160366
LEFTY2,0.0005612140471662488,0.017197285662054283,,-0.027127560888228614,-0.06941706756536781,-0.011398625462388238
PF4,,-0.008508126338336764,,,,0.09720173757279787
ANGPTL2,0.040067703210746576,0.004235680598876677,0.06206452432365116,0.06533434038167601,0.03176679717039975,0.003526689250515918
LRIG2,0.05892341826295743,-0.03171056550819998,0.03366482536019679,0.06791590789908294,0.028822793757782426,-0.01681185460870779
ICOSLG,0.010993863969210283,0.030305953569757606,0.03828224729924064,0.07736540414248755,-0.011490406592413316,0.056533221849643274
WIF1,-0.04654203136849098,,,,,
