,UKF243,UKF248,UKF260,UKF269,UKF275,ZH1007inf,ZH1007nec,ZH881T1
IGFL3,,,,-0.015031582603970422,,,,
BMP1,0.09575316482884152,0.048489109714312716,-0.014884668209415303,0.0882772659840981,-0.04612305404417394,0.038688744349848814,-0.08038261018058618,-0.032380775863973754
NDP,-0.005320907094951667,-0.009431639821264113,-0.0011055140639096902,-0.027772194703272704,0.015694846630410864,0.066444785405452,-0.09571659517055205,-0.02365337987777964
TNFSF18,-0.026650791364440263,-0.0013170069812337606,,-0.022321448906420398,0.03592999477008082,0.003925347551768483,,
RTN4,-0.05852368917384382,-0.019031823602334404,0.011649871386055747,-0.09537220857255439,-0.021664630354563615,-0.056132294909115435,0.003337519551332953,0.02264756318846349
HEBP1,0.04112566518673507,0.014100591982196901,0.10538003633859332,0.0285812406274409,0.057343720650371674,-0.05684434526210859,-0.057537783756594144,-0.039040150743568695
WNT7B,-0.0423607282671454,0.03313839014115422,0.017205373450093746,-0.062215256150999605,-0.03305938089073433,-0.027806289488564614,-0.014344392630590123,-0.022067361681561096
PTMA,-0.04681854139923118,-0.03759275155679063,-0.0736160858751123,-0.06919371024029414,-0.015188179047256868,-0.0035843550242396576,0.004552796850566779,0.0024672873358916464
CEACAM1,,-0.016909166046845038,-0.018762223450442872,-0.0011030952149097128,0.012129643360588247,,-0.04315722634211336,-0.014646428889150053
PDAP1,-0.020326229610015636,-0.0048551027497545085,-0.007376458467284851,0.09986451197129834,0.015034805158800306,0.06394265232925772,0.045234907197073376,0.05400630115511524
QDPR,-0.09731558618519937,-0.025342220077410677,0.013433044927632087,-0.10136099136951249,0.027031798066700304,-0.029090501383102072,0.02895989958745136,0.0008460078259387824
POMC,0.036258639136297975,0.028336495008795308,-0.03775403032532202,-0.017353719315464464,-0.013382430507776513,-0.018732950957039127,0.0750441682019657,-0.02395963362526882
CCL18,-0.0015802240669005598,0.04364151217044113,,,,,-0.006068566864063045,0.0013917541167192012
CCL17,,,,,0.02424907766889906,,,
VEGFD,0.021499055552309503,-0.021101048280927456,0.06319640656618017,0.03873561424898686,-0.015325339563260492,,-0.04169034257564429,
TNFSF13,,-0.015923528161455276,,,,,,-0.01644695800171898
WNT5A,0.015562518275749908,0.013215343732858148,0.05575488464663702,0.07418125389838583,0.05805819207599447,-0.07590045830579077,0.03517506250425585,-0.05289136896106592
CXCL8,0.010863759745386845,0.025487855770625747,-0.023459141740651,0.00811736285197898,0.004454170305205418,,0.05106024770372717,-0.038339018288017244
GRN,-0.014513414370656657,0.06344113764810289,0.0019305816314004898,0.08012939281149319,0.030842999561433722,0.01783384071888149,-0.08239916269954548,-0.030814623073459196
MIA,-0.010431841514228848,-0.02450907046078708,0.026504253190118482,0.08947885202012572,0.03253645027780236,-0.04138415367422994,-0.01201643917318497,-0.021851869073658586
COL4A4,0.044235542094038426,-0.025342179496985175,0.05998486365702304,-0.014812508934481826,0.022304857930524932,,,0.021775512410233646
TAC1,-0.05077109870018008,-0.025983676335202318,0.006203510505347426,-0.07130016274316427,-0.029192423011824953,,,-0.025269262344950166
RARRES2,-0.03377835370423576,-0.0362868812251988,-0.03912153265465184,0.08050079612498025,-0.006430968386051172,0.07204300963931438,-0.05567737130712483,-0.02760888424952571
FGF7,-0.005972287717348628,,-0.02335005712720181,0.05034391106405039,-0.03423485177661869,-0.017494987271354717,0.06963605611896855,-0.027685497501801277
HBEGF,-0.07637857978997245,0.0956857605328652,-0.09242169705345872,0.039415735210911726,0.010268765264754755,-0.0117981161762003,0.0665910880549774,0.009669899263533021
CSF3,-0.04053829853048203,,-0.004626656089819685,-0.01567134934728837,,,,0.1018044661172906
PI3,0.027273940922613035,0.05491687162015958,0.017668737077593276,0.004116848835895179,,,-0.038749392718153135,0.03240787572418978
PCSK1N,-0.06890097120611807,-0.09478680933777901,-0.02375221764083046,-0.0037529539935697146,-0.011707843132351238,0.013713717254392547,-0.05704168353961823,0.11054410574506407
NTS,,,-0.014232124929709704,-0.019261973475818588,-0.01715601892305244,,,-0.005872832260884945
