,MGH258,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,-0.039210497458749216,,,,,,,-0.021981075189277284,,,
BMP1,0.05525429780652357,0.0444034857750405,-0.0270989966161488,-0.004792540108303388,-0.09343671705160861,-0.0008650180539415684,0.04071508428680484,0.10484250747223121,0.060413697698699774,-0.048428701603488604,-0.053458948943666776,-0.07010693029670455,-0.00043051262070499264,-0.006252771115105959,0.056733813652983
NDP,0.059019586663191966,0.026995438145066324,0.07403759333337627,0.04284628277080395,0.06036449348340925,-0.022094852558414212,0.005568568896295537,0.08850357614757633,0.04085560430185842,-0.12548670783712276,-0.0047464882204184605,-0.09914189928338935,-0.06370575464171098,0.060978385835091485,0.051810748727439425
TNFSF18,0.16234125397756266,0.028288833067024694,,0.0006050820905862198,-0.03860992409476987,-0.02095066436700442,,,,-0.024124872491116285,,-0.009730344742459462,0.06654590768061307,-0.03618261896348493,
IL36G,,,,,,,,,-0.014327165453967547,,,,,,
RTN4,0.08650202997203964,-0.07481719665237291,0.13469710234355864,0.026864641096216797,0.044919345725586715,0.01666551489220538,0.015034478815946429,-0.11608670027198119,0.026415590380386562,-0.07574743858886503,0.0744216986233378,0.10855598569482447,-0.10027045182795508,0.09256332688415352,0.06812772375794644
HEBP1,0.07993934090199942,0.004612300361330544,0.005774253053573472,0.024202737501565895,-0.03677427308441317,-0.013286172938242932,0.02484562851156449,0.13983829650709048,0.009135958980478658,-0.021353062147505833,-0.032857619238403295,-0.047533502757906104,-0.04845149217658835,0.024313208138839686,0.012308146213979056
WNT7B,0.07263689539195871,-0.04045165833898172,0.02389823523008022,-0.024488246609428513,-0.07975230144435926,-0.04965588189226984,-0.016214407133063845,,-0.007948441521574229,-0.026559129894651628,-0.058193537170928386,-0.01306991858973101,0.022685619854888307,0.10931525885225642,-0.06800183357894408
PTMA,0.0599162324245998,0.027402575876819785,-0.0895561688187187,0.02161929825241031,0.21823854570107512,0.011115230075665087,0.0763389060450403,0.24189589606290302,0.06325232313946019,0.13340123028682346,-0.02253645406926685,0.1616448572524711,-0.07470532346619212,-0.030346640763632984,0.08829202279811095
FASLG,0.062059649979167776,,,,,,,,,,,,,,
CEACAM1,-0.010339323957775893,0.037150324326042365,0.039357631906316394,,0.00044762951244562435,-0.015588892514542124,,,,,-0.05778889751110138,-0.007468843219858809,,,
PDAP1,-0.00016579043970889578,0.00927732670806577,-0.04409715383772802,-0.052311570641696496,-0.09683432694243423,-0.017148921370794216,0.04382634419356912,-0.07989782928375563,-0.023917277879736562,-0.07529814625400548,0.01091748504265473,0.0710256583986159,-0.004382015079596669,-0.09106300532937704,0.06050469342220143
QDPR,0.13870220705138886,0.061296767526032345,0.14814271440839286,0.11182736713115866,0.27256837159990416,0.15230460492385012,0.14662911802819859,0.3914450714117306,0.0941306130522794,-0.010808663110359218,0.12125156217789299,0.1748828971400412,0.018805163654626002,0.10472580035810514,0.08017258449816957
POMC,-0.029021140384877377,-0.0271593227415037,0.024866123698264835,-0.026193553351088045,-0.020205494664641985,-0.02430949419195943,-0.00896103764575531,0.02347549053495276,-0.017539700650394927,-0.004865175680917653,0.0517359369060807,0.045200894327298444,,0.019161647260497208,0.024670693430727496
CCL18,,,,,,,,0.04606459630768059,,,-0.015594992712642423,,,,
CCL17,,,,,,-0.026129557434717003,-0.02006889067909112,,0.013224818923828097,,,-0.004176670667111958,,,
