,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.01565299657043375,,,,,,,,,-0.041892880600645624,,,0.007544659344714642,,
BMP1,-0.0057265904233569824,0.02061224313311359,0.018402516369156924,0.011652789026552321,0.020041523323153797,-0.04978268967773975,0.06893816903044418,-0.0022615827624730468,-0.0014209962456931335,0.02496767305380745,0.0639682525599285,0.07300438925433271,0.001101474207559923,-0.09905723461787122,0.06795862400732677,0.05697133994540074,-0.015226053806930808,-0.02563961279896702,0.047837889304982,-0.03433599392828028,-0.04506490421719793,0.19940250843983232
NDP,0.015329139659304216,-0.011296523669987393,0.0008198783006873196,-0.004187789756829947,-0.01088892248168755,0.07444716459552767,-0.04740406804341075,0.037879296088431574,-0.05425788366819954,-0.0338624276224288,0.08380475841153989,0.09554951566094917,0.07757526616522294,0.005609342845472643,0.0497628568514207,-0.028437974202341145,-0.02838737136508966,0.055657432519568006,-0.04083798569839678,0.005424917154974414,0.08523641189275484,0.07076264297084814
TNFSF18,0.04847415462413326,0.0879221370166575,-0.034878511317052455,,,,0.01634276087340177,-0.007613076423935053,0.024478465015268038,,,,0.02682301529988068,,,,-0.02470188452252687,,0.031919171644929724,0.06986757744779283,-0.02763098781626125,
IL36G,,,,,,,,,,,,0.046577897682177516,,,,,,,,,,
RTN4,0.10707450057063368,-0.01830627889801307,0.05381601594594638,0.0406300866506901,0.012662092295016384,0.022289634488231753,-0.07500109581330444,-0.0513293191514918,0.0489152843654698,-0.03646648210205001,-0.1689285358706849,-0.08812500442923785,0.08688386091288736,-0.0071545469476514845,-0.0932025036774125,-0.02894137466723473,0.11381875859603088,0.04374699645122237,0.0071909186955436384,-0.019540138879539308,0.05874096071479236,-0.02592630186135217
HEBP1,0.14442660085205375,0.02972048976193688,0.012456651766288306,-0.02123257016440009,0.025639141784705808,0.052767274805752,0.03249695510818705,0.021960831820402534,0.04714703605337429,-0.0039580406556062936,0.028956060789058546,-0.016095036223093367,-0.003201921920624391,-0.040769427192115446,-0.010541645683664587,0.007758283650002756,0.09461698177549022,0.02171380178921305,-0.0006880881070337861,0.016441540561696968,0.04737625696686861,0.04044494629198448
WNT7B,-0.03112574013177932,-0.010153779015766043,0.02196860334516397,0.0371915859391896,0.0189754371820018,-0.036211337596444196,0.0477463702209218,-0.03571964195279411,0.029096677587787122,-0.013333400990827403,,-0.02404045237434335,-0.03366891166014152,-0.06735473387390728,-0.021469821543627518,0.018350190986221815,0.016543569337303384,-0.008523532255404188,-0.05017263576260589,-0.02473917552290914,0.07216375305229696,-0.05292303574497542
PTMA,0.10015272749718183,-0.02919997466568741,0.014249200479276677,0.08869470170193318,0.008149588712802146,-0.005214793158882613,0.08239441820306606,0.02106541709438141,-0.01628658382951567,0.06752273306576473,0.24042956770627194,0.06825006612066013,0.13219181560364934,-0.08429319822609899,-0.15731011676100795,-0.023879268879842385,0.1412270981414016,-0.02281435595886265,0.03093814843494831,-0.03188725526492185,-0.06894610122723124,0.00787750789019484
FASLG,-0.020937158650566362,,,,,,,,,,,,,,,,,,,-0.014834676366941376,,
CEACAM1,-0.058876738420328985,-0.02198276863479802,-0.020482545809412795,,0.048287346266701045,-0.023235682758492186,,-0.05697870852633512,-0.022552082174129753,,,,,-0.050719803651137124,-0.05306489812509393,0.06294392292796903,0.014429565166638868,0.07680176750570923,,0.058996246490399536,,
PDAP1,-0.061919071853752575,0.0040483342484788605,0.0035936597615883383,-0.0035434255984226294,0.022956954833061014,0.03539307532635781,0.0674128665120315,0.0027571166478776053,-0.0170238041741298,-0.021951054539205855,-0.018935375121201956,0.08397253730576673,0.061590037654049565,-0.02777088729933915,-0.013737679527497128,-0.053922380705731715,0.034458372106553836,0.02100337737318136,0.10725805588186914,0.0221914184627748,0.006709536688435339,-0.043216007986005285
QDPR,0.22147435802846635,0.027313450303645802,-0.002025523754399562,0.08026116459530719,0.02037918925259303,0.021756693070911007,-0.0038431469671141643,0.03677746153441294,-0.07005513437278434,0.027256478589481662,0.25135263530385127,-0.008478598403201809,0.03009299075030307,-0.06265168939509139,0.02114252629313836,-0.04371623581636155,0.16411950175371556,-0.013834232003054604,0.12108539289478468,-0.03197658626223812,0.08687841095042813,0.06921825917324329
POMC,-0.039845015643717965,0.018133411869229087,-0.01777510111028176,,-0.004895285511619311,-0.04675568830158928,0.030794850810411598,-0.043232964965860765,0.017050644743773765,0.03918234364423264,0.16148804985000334,-0.0251254542513433,0.02791385864244455,-0.05436092287100029,-0.0672355972156685,-0.013369812870501489,0.0764761842878686,0.0028751795109285346,,-0.0009483808334354088,-0.005518458915261579,-0.0015835937625247047
CCL18,,-0.014469887867727455,,,,,,,,,0.08038250972006587,,,-0.043489580006043076,-0.03667802019292713,-0.02473933620817879,,-0.05522039575014091,,,,
CCL17,,,,,-0.002835514228487594,,,,-0.017883723927799054,-0.016503012701571264,,-0.02081878894456518,,,,0.04639660191698958,0.04480899100224641,,,-0.013445967901435991,,
VEGFD,,-0.027432426946796658,-0.018125171690394983,,-0.007517680866593652,-0.022230585701755113,,0.041868645672227874,-0.019053595218888872,0.011421975439644837,-0.010769077417568681,-0.011330990641966368,,-0.04899587320146985,,,-0.025176427029628738,,,,,
TNFSF13,,0.01181036511470094,,,-0.001305295307839191,,-0.001749640596879588,,,,,,,,,-0.027681623320349666,0.021004094303764556,-0.01800620854206991,,-0.02190908240605011,0.036848935368432596,
WNT5A,0.029880556971814843,-0.016423059351382392,-0.021813749385811966,-0.04551211669964911,-0.013956894060460362,0.07571902279111564,0.056651849233766496,-0.0090370510926798,0.033877213780628135,-0.030644257657411758,-0.03169776660042214,0.040471391364797875,0.011268661022801702,0.010260090754781888,0.03148989877093967,-0.02179805747419751,0.005412966335457025,-0.03697370061470392,0.039679398623268275,-0.03830088609074302,-0.025057703678392697,-0.0488677179833657
CXCL8,,0.02168651473163877,-0.015572801922900488,-0.014289334085549901,0.009211538971728106,-0.04042864770020234,0.023625733693300656,0.02953166719674156,0.008339376805356983,-0.011272850778041405,0.10159531357674059,-0.04053232155857254,,-0.11215374106254211,-0.09348201100140249,0.023769718187580564,-0.019062498333345286,0.012241759153945321,-0.04802841967353165,-0.020451031165323073,-0.05470558518969263,-0.015309204199322635
GRN,0.1152310492308317,0.028902978012967456,0.007619763078480853,0.07951854483787217,0.012024600935236189,0.06854857880936273,0.007933149980927576,0.09894784620060533,0.03648696191455726,0.0445523858676187,0.1497582185823903,-0.005116250611318995,-0.013753872595204173,-0.03457126710489981,-0.005810112696292803,0.05368102025025016,-0.04426117731309177,-0.0774809850043834,0.03513624504254651,-0.01036426206723213,0.04182563796500157,-0.010992365313020514
MIA,0.0022493020347229805,-0.026725721222383876,0.07396149774247415,-0.004542594341068205,0.03087670100743816,0.0364498525402252,0.028313956223931614,0.049304259069828126,0.0697181738782454,-0.013767069488478516,,0.009657564973188197,-0.030778284486753293,-0.07196482144085642,0.09378270216545014,0.06520842529579385,-0.007346040091141988,-0.1265388085480696,,0.06529168056878741,-0.014723933233786086,
COL4A4,-0.04910767548295893,0.05238292629626986,-0.0364667151288211,0.08846476561419461,0.0017561622544248808,-0.0030962712464783176,0.05834921534015983,-0.028733051558307864,0.04095377979393579,0.0026773160714454987,,0.004678094207026966,,,-0.04333188453420276,0.10246911331318458,-0.012093276207484434,-0.0323160281710603,,0.010147536658932988,0.07408630563186903,
TAC1,0.0018759226602896811,-0.042787893678156184,0.04708988909840824,0.01995748340344549,0.007820252942353655,0.012286704548765456,0.01281715867535739,-0.041456850437117075,-0.011637045308345901,-0.027823624410145815,-0.15874560290305845,-0.0789128075532587,,,,,,0.02649339941436718,0.05806757917836513,-0.017676092050001226,0.1014541219847719,-0.0663115484159399
RARRES2,-0.200255468931658,-0.0303604087809409,0.023698309525558015,-0.005179636179054651,0.004377121193635982,0.03749456734697871,-0.02770444379215763,0.04684741727682767,-0.04187244424662395,0.013466829668803222,0.030083340089646637,0.10332915540218336,0.0046312030439414915,0.020365831138834653,0.043215394187416364,0.036235237461653316,0.02233422061195886,0.01065735892884005,0.11524522320936312,0.012568148078343853,0.014411855416567053,0.03423680033111421
FGF7,-0.004268496312868762,,-0.022526117810363597,0.12379654200091933,0.013031202790696436,0.010737533081676067,-0.013625975818434236,-0.010874238442633978,0.009405373158756464,0.06939101490575798,-0.04412416147240417,-0.02433358838757969,-0.022260580222277487,0.006948152860367276,0.014838668256424034,-0.056897655557558345,0.0668115391791943,-0.03887550523097985,-0.08467206730818204,0.02763831797356469,0.07823659329582172,0.03141846038933489
HBEGF,0.010603751772711854,0.02120457346096963,0.043539689764862485,0.0246062799296739,0.00838372939149836,0.025976899129696245,0.07336205104351963,0.027864539883518346,-0.024543687635055943,0.005799788837927753,0.1496036776945909,-0.04408180990304534,-0.021331422487868946,-0.017275464316324006,-0.003168425023433787,-0.005191970572348662,0.04931518656611752,-0.05203443513892922,-0.024617228073130205,-0.0020867143571218923,-0.05154621214546086,0.0680248201880508
CSF3,,,,-0.02276900006219259,-0.03015990607235014,-0.0740664535099431,,-0.030399015506122503,,,,,,,,0.023354025357195204,,-0.022988335089599875,-0.045093794647879076,0.015210676130737686,-0.035338103830507124,
