,UKF269,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1
IGFL3,0.033179230197885726,,,0.027749415513668173,
BMP1,-0.036076206044437814,-0.014204940249268693,-0.012169563613538487,0.01598711263930244,0.025280898893218818
NDP,0.043365905375101654,0.07658113910190677,0.06046661903221078,-0.008223791294623726,-0.009481208995094168
TNFSF18,-0.02330988296026696,,,-0.02156990894959066,
IL36G,,0.07544670001591226,,,
RTN4,0.04235562901617477,0.031787159500141667,-0.004239593277322674,0.053237726816686974,0.00361142010857707
HEBP1,-0.0177615868937549,0.0398394418183725,0.024492098558016973,-0.024197261636014725,0.01838896808037566
WNT7B,0.0014378492174649145,-0.016577858746195134,-0.030969232588811162,-0.00032390891202568585,-0.027464030893353104
PTMA,0.0759649652712655,0.040045550980081474,0.004957149127909437,0.08322481685755122,-0.03887367760940395
CEACAM1,-0.030674478344048513,,-0.017353588479877596,0.0035980171590440277,-0.01822827673255684
PDAP1,-0.022660074018085508,0.02883678803409275,0.02966727204975424,-0.06019628091072102,-0.01882479744994473
QDPR,0.003658247057841857,0.011215785053619304,0.04668364358368379,0.036437687765394265,0.008201726896632375
POMC,-0.009286076924953821,-1.9304839991124258e-05,-0.009044400840088541,-0.018596130750154816,0.06162515540141674
CCL18,,,0.0378872144659711,,-0.06277354979475952
CCL17,,-0.01377866855036642,-0.012311531089180684,-0.008751403093446438,
VEGFD,-0.02629703444297217,-0.014767025856768812,,0.023462041285138673,
TNFSF13,,,-0.005484305554293697,-0.029571732165246122,-0.020469133065341448
WNT5A,-0.0539781164467255,0.024310017116163207,0.028867790919663593,-0.038971899593877785,-0.02402116567272499
CXCL8,0.09759609485436851,-0.02601665254814669,-0.046815955350930895,0.001554168477892381,-0.060362066927281625
GRN,-0.0215033856548356,0.006213518959419494,-0.0277179808022801,-0.041309867903075156,0.002783259234464366
MIA,-0.026658257311961607,-0.020224118647612078,0.0928627571420189,0.014511896229012252,-0.008682413029763048
COL4A4,-0.015468433570697396,-0.019618145384751626,0.11556102177484491,-0.005828316626792395,0.026877754658493125
TAC1,0.04385293439647322,-0.024438014377077082,,,-0.031448970280567805
RARRES2,-0.04733173633329819,0.042472909851736455,0.010352754124295434,0.03311143525174428,-0.0581197547329916
FGF7,-0.04408268047890827,0.03658211091638623,-0.048557449144519156,-0.03825967695987405,-0.03534562010248936
HBEGF,-0.043029341877641306,0.05299979918020183,0.0357763379053947,0.037680514743356354,0.0007704940517526671
CSF3,0.007728157616395511,,-0.06582418349063247,,0.029387224887674354
