,UKF243,UKF248,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.01617970304768135,,,,,,,,-0.030977389049322294,,,-0.009023556868860833,,
BMP1,0.03674628860867914,-0.0016973566463712511,0.03923714730087362,0.05131608765547049,-0.06491482972343668,-0.025432233138170248,0.057109516519580496,0.10414223166187518,0.020176376090454362,-0.02883003001599571,-0.01372290285491425,-0.04113498758174524,-0.007045015971293409,-0.006553099876865564,-0.038447975289365166,0.005794452726603442,0.022115513082263432,-0.0035258205684026004
NDP,-0.021771835184614296,-0.002790759077639615,-0.023037257281524767,0.01969530958075224,0.02338322375925998,0.030676798872379292,0.03737860226182175,-0.021714671040446974,0.02452571863028959,-0.08933889657969032,0.049440130694407905,0.06588109310324844,-0.01273953328344823,0.009420607075591473,0.013122341179454839,0.046046141836964156,0.020694152820443092,0.051939504939317295
TNFSF18,-0.02072418218138148,-0.028831492103761243,0.030325819629451838,-0.016264937166909403,-0.007699627184526907,-0.010647506582932975,,,,,,,-0.0319464345435395,,0.030486948965419102,0.01979281280151958,-0.03174722537769489,
RTN4,-0.02625303814202989,0.024149879820946275,-0.06259141491764814,0.04859703710257766,0.08864705450614697,0.025413086755592954,0.043947325942043904,-0.0674952604756947,0.02357648765572844,0.07488620827394728,0.07380185194978567,-0.038731555684698174,0.038621345555089476,0.005537215950830936,-0.025272254680106656,0.03306847601065339,0.04135836647661713,0.06084912520847395
HEBP1,0.03688071794736572,-0.03634144919128287,0.007372360472491723,0.01099538919092653,-0.035854101240942425,-0.026339687103467024,-0.03508905566809007,0.07889917513590816,-0.007675561939528091,-0.038040823287808584,0.0062684824701321785,0.014910060627759488,0.005310162848520081,-0.010862092407735016,-0.025454659716121732,0.02938528251929677,0.05788899891765618,0.01418396929964201
WNT7B,-0.04837047158483218,-0.04266744580265054,-0.019936823218783758,-0.0007025119797484936,0.12536449089387217,-0.0015245727717243763,-0.013194807728720951,,-0.021402663446464756,0.04591401818030034,-0.009030690894116808,-0.03732252105006402,-0.026475701000898206,0.051409435245398906,0.0015810980685849435,-0.029452101593488815,0.030209246508607283,-0.0412814551860424
PTMA,0.01774090254018842,0.009503281060407468,0.03390983172068689,-0.03742182131962428,-0.05925098127027152,0.03701094576829678,0.0020752852971251336,0.06207282111298897,0.05129093827020298,0.036723862859254136,-0.03822174285702151,-0.015288461794033965,0.06885196436951209,0.008026294911589352,-0.07420185974579939,0.008041658508771853,-0.036124392881146695,0.012973539749965025
FASLG,,,,,,,,,,,,,,,,-0.022105402316483166,,
CEACAM1,,-0.018350454576905904,-0.015300312701244684,,0.05515184309377502,-0.01674599125647187,,,,-0.043829576348322935,-0.010387244610295441,-0.0180810238522463,0.1499823386574104,0.01393521163848023,,0.02390303257195534,,
