,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH916T1
IGFL3,,,,,,,,,,,0.07180359871612385
BMP1,-0.024108525551961434,0.023059380456262327,-0.03683357046087901,0.020466881324582967,-0.02310452134537569,0.019382620329903136,0.013799350470573969,-0.003917449927639005,0.052666779967336805,-0.0373302532527443,-0.04548587170886789
NDP,0.05162480499304106,-0.00441250876635978,0.06298383085616127,0.05169086598673382,0.028337574717523826,-0.025601499723418488,0.03165822044978342,-0.020977178144782727,-0.07749151874878447,0.08273890248895546,0.03994105324337743
TNFSF18,-0.026872433709138582,0.07183292162037799,-0.0003414560291517683,,,-0.013117669939633815,,,,-0.00024772877160425576,0.06634177633432103
RTN4,0.06408902655632878,0.046936638166894244,-0.025252160951242737,0.05836676715623516,-0.020068114486772568,-0.05937152025786702,0.04148188484632869,0.0885512626575047,-0.04000361833096113,-0.03508468493955895,0.032738559578809424
HEBP1,-0.015387559588330716,0.05778281663979185,0.04392394080646043,0.04676152384110964,0.01816739344330253,-0.010203775020540503,0.014517898764518929,0.07725430121461596,0.03878072593626986,0.1138182376279814,-0.00355488838282609
WNT7B,-0.042967655675566235,-0.0432492384719667,-0.008822851094556576,-0.017023479791807378,0.0933429508107079,-0.025590184409643422,-0.011878754014689345,-0.0022056933069655696,-0.018449101693796672,,0.04633012029611358
PTMA,-0.06616691079995317,-0.03087570041522796,-0.014116165237137514,0.0667092556386225,0.03303556834571539,0.03782023849996958,0.005385129326950397,0.017832889378413503,-0.022113869900094413,-0.0861637530943014,-0.06675159193894582
FASLG,,,,,,,,,,,0.0665430097466925
CEACAM1,,-0.0002592542860776838,-0.01776001026617646,,0.036370774965010816,,,,0.045554909764062776,-0.0443130195160442,-0.010121595541375374
PDAP1,-0.08005605922637032,0.012615934052686897,0.05714348185335883,0.04020743453021589,0.025058460508622395,0.011026584775351506,0.0028783500828120437,-0.04992512001635839,-0.06584613624469818,0.05125826518044257,-0.01139139930645228
QDPR,0.04367342777466686,0.0358517422312809,0.010467187392651884,0.10836240270392884,-0.05974209657846542,-0.018326504414573154,0.0060261270290627375,-0.009705573778666354,0.004776559770559322,-0.019644482112036926,0.023516095978867092
POMC,-0.05073963949427214,0.03988599526080401,0.04169651005434954,,-0.007497632445272063,0.009952409620097183,-0.031949135048218676,0.01230190962152072,-0.009461839385603181,0.12720459192381692,0.012794622913440773
CCL18,0.026246535075271624,-0.00033115405661939364,,,,,,-0.045026644955747014,-0.044493037285673664,,
CCL17,,,,,-0.024470846469897688,,-0.014702567523328791,,,,0.14964689898497122
VEGFD,-0.012777813583454681,-0.03281859091315002,0.02575472297668717,,0.15296577683324877,,0.015521861004186772,0.022006211444116665,0.1773702520054745,-0.011149781348091824,
TNFSF13,,0.05903083479755444,,,0.01874350854757184,-0.012721403341129381,,,,,-0.028208249788929315
WNT5A,0.005698924742956737,0.010913789158140196,0.006505473496788859,0.009788147546605954,-0.05838303393946905,0.013022810211729479,0.04139001533773859,0.004266611149370966,-0.0025620550245626685,0.03972666205647638,-0.03304162264108511
CXCL8,0.04625315773281837,0.029009178265910686,0.030651814264997704,-0.08331110885453048,0.08616697383841466,-0.018095371153277872,-0.010043005646404368,0.045996844358220206,0.009715130686662262,-0.0932541870981296,-0.022364332945911298
GRN,0.03905863306855733,-0.006295704960107042,0.027606280103079757,-0.0036105373037251436,-0.03333599377647889,0.03662466777885978,-0.006048276469292887,-0.07837368967268286,0.06051828679806231,-0.03187420298244674,-0.005636129870777833
