,MGH258,UKF243,UKF259,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk
DCN,-0.021004884485620687,0.03745924062167472,-0.01438286079619744,0.03168566829442192,-0.008597536359042767,0.0056071567565321246,0.09229262493524841,-0.044722540079107385,-0.03351269778264634
RARRES2,-0.02718379413952902,0.023193931859805273,0.018345640546321915,-0.042488688917964555,0.016360573351425222,0.07216468565134831,-0.06385325775102038,0.020514413653739197,0.019466132291238204
SEMA4A,-0.025482129653794098,0.00046033774407543176,0.014005303214573446,-0.023928655001822126,0.005680011197004889,-0.004861941599794771,0.07416643535182235,0.020153746341170405,0.02344153219769201
GDF11,0.040562876972112305,0.02702316712862876,0.008297699728860256,-0.0016256306521358938,0.05916406911155455,0.03439417356095057,0.007097682263505221,0.005755629364645663,-0.020852603227823733
GPC3,-0.02140865403553283,0.030462410025440128,-0.019205148209131554,-0.013477033627073372,-0.0028006580508885457,,-0.03644313345377846,-0.030467318853476907,-0.04333366559666553
OSTN,,,-0.0005727878515587709,-0.020826523089165796,-0.017114185859641178,,,,0.03722168400660981
GRN,0.0061985398076642795,-0.07139464200512138,-0.0152714768809148,0.04594525708343987,-0.02009081735997082,0.025050318927670973,0.02137881869694632,-0.0057281105650859344,-0.03742176194525178
CALM1,0.048380708785743014,0.11613368847558007,-0.03009622499230321,0.12789501475275766,-0.01200582374317383,-0.01140322040801471,-0.0008761207060267222,0.023351074078612127,0.03162880669584166
ANGPTL4,-0.04323225051339455,-0.09798790337345856,-0.023042328147640522,0.012951776760004934,-0.006336918436275527,0.0002589887745063311,0.06457312339862889,0.008090117904768766,0.001270922935651264
BMP8B,0.05961143731078095,0.043643176832956126,-0.018966972095408034,0.011535238940370483,-0.009230518437881438,-0.008785250100666544,0.0381617083404684,-0.0339205256623198,0.025019541879482462
TNFSF4,-0.026907392040712914,0.06528818778114047,-0.01992427027604624,-0.012576037629178036,-0.012493285438428118,-0.019486872491429413,-0.0316855646126791,-0.04328694434251941,-0.030258318108758446
RBP4,,-0.0025588926753664205,-0.024484448827030686,0.01601132063325553,-0.005159491001584436,-0.04876809502596249,,0.07316597921021241,-0.024599107437838406
DKK3,-0.055917689112002775,0.12454645279370118,0.001440064889647036,0.03722696453064096,0.029213599362500613,-0.03802034429692618,0.0450360751385218,-0.04625111295929958,-0.019629587277092797
COL11A1,0.060634858237896806,,0.013450764164354253,-0.021025895113919123,-0.032995173197992715,-0.0390435466826799,,0.0348172309030972,-0.05527756015649246
COL5A1,0.08122467069111121,-0.08329667788209523,-0.0299031047539074,0.0343792611602075,-0.019934363845106266,-0.04159873599870245,-0.07616981465593431,0.028295920055344214,-0.0658449886874354
KISS1,,,-0.019323237554200758,,,-0.00026501239382150396,,,
MEGF10,0.03453692997603583,0.07604504690703091,0.01878961955233424,-0.05111186085286915,0.01792880823983321,0.026469557264738933,0.020690314595963197,0.03451868679659626,-0.03134163858554011
CEACAM1,-0.022889764093818904,,-0.03272354678601883,-0.01674599491130014,,,-0.036443146233903795,-0.017117334490106214,0.0114326067774117
EFEMP2,-0.07467435833889587,0.020690406593210565,-0.010786490161624713,-0.019404750861365075,-0.00013473291499672204,0.009826259569252906,0.12586662869031515,-0.008899723673605541,-0.0670444888004711
IGF1,-0.007829596590204319,0.005668610357020603,-0.028958593533011213,-0.02397046912293907,0.03658065721452617,0.031025122047436057,0.11338916948643331,-0.030627230077283532,0.0414646141350459
COL6A3,0.025269795525460742,0.010436561147955176,-0.03928506672583527,-0.01966503294869322,-0.029776058368122294,0.003888668713695726,-0.0029091193695807488,0.0018148361696110438,-0.05263429959779328
RLN2,,,-0.015714922023886652,-0.012031460624006769,0.06169029796261188,-0.01563035048197328,,,0.0030795899845394285
WIF1,,0.10641590828923132,,-0.0103999038947841,0.04857094701366014,-0.028044534475207602,,,
IL13,,,,,,0.03964180226156103,,,
PLAU,0.024277954117844475,0.035148291526746665,0.07839542900330147,-0.030929552353348908,-0.014924164868109232,0.035633028035666627,0.01651411898392684,-0.012897195961454683,-0.06558507545201307
CXCL12,0.022408006518536184,0.0027223350884086842,-0.029072218165132904,-0.038658328003990494,0.05887078517702232,-0.036235822937506115,-0.04043274838504464,-0.023267137331555617,-0.011611651889469348
MMP9,0.02171686617150694,-0.028485913716400194,-0.0339411532589685,0.0017629495934485479,,0.02227058416992378,0.029263794367747942,0.008942096469565954,0.04354455453474256
TNFSF14,0.005815701750630708,0.007597494121399507,-0.02603501752217694,-0.026873550194374183,0.016753038123772445,,,0.02666038439495652,-0.04454711943578357
HBEGF,-0.010166662589147162,0.055090860026308607,-0.022219386616993617,-0.014539355750961958,-0.002396841858772628,0.020242021027944486,0.09573753710572505,-0.10851055527205278,-0.02788738302713876
NUCB2,-0.0269270270762968,-0.032195775605680856,0.003198667178143733,-0.03866049672960746,0.029949124864541078,0.0009402831003486816,0.12037746958414862,0.02782182375705108,0.03027674726564724
