,UKF243,UKF248,UKF251,UKF259,UKF269,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.013794948849594738,,,,,,,-0.03295375593049115,
BMP1,0.03505358701421012,0.028495449951349464,0.04736959024212484,-0.027972177211559104,0.07171451596936847,0.04342584897804743,0.10613268115748033,0.0769746877476714,0.14329601117403815,-0.018261652473367033,0.010182684889732506,0.1540907070691598,0.0554002887595242
NDP,0.16200399050154793,-0.05255478979816342,0.024769727795504525,-0.033913353258027995,0.014078218191219013,0.029725148398866058,-0.035398061055288685,0.05297113519181088,0.048619083009765175,-0.009420566353235451,0.05757026697977016,0.016858872538970927,-0.06190865436244734
TNFSF18,-0.03348271627783088,-0.024102606475531294,-0.024921959742393533,,0.05572338829971573,,,,0.2243315840189469,,,0.03189258535873277,-0.029458660752312262
IL36G,,,,,,,,-0.019418565266237205,,,,,
RTN4,-0.0362628678406741,-0.0329421781828143,-0.024779641424331547,0.004737715706344101,-0.05061100804610816,0.05132387066180269,-0.009883971297710487,-0.062388183577760194,-0.06774554721970004,-0.07935184498698057,-0.09225557492067606,-0.03239050821035106,-0.0007287746661632583
HEBP1,0.008826008533478426,-0.06110431287016514,-0.010954606387820896,0.0024263922648274303,0.016042945754152164,-0.010374845830780745,-0.024495457786541983,-0.012881711338752481,0.07900905333535373,-0.01283618794026919,0.05523912169666559,0.03766316255987859,0.00494500849978662
WNT7B,0.08471675917317469,0.006488714591160156,0.025999634928799528,-0.015408109255020229,0.010122302950779354,-0.0010988637755644066,0.03576374431117884,-0.021343241050231963,-0.026131465603037692,0.045629027945011516,-0.03358188353198654,-0.000497425601127025,-0.05503891600589633
PTMA,-0.08872273978762753,0.004130625809390872,0.00289262378228257,-0.03762184199402626,-0.043323230758783866,0.011019912248896332,0.01812099325824548,0.008676775636688389,0.05595899326100327,-0.07444826826310484,-0.046473272976482675,0.05415245325095211,0.034176668773389415
FASLG,,,,,,,,,,,,-0.028580781276178684,
