,MGH258,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.05693009660456561,,,0.18463575720999262,
BMP1,0.04763617568415073,0.08351653043930939,0.05640634083215043,0.10099571630478486,-0.03673801428635488,0.029255073120783702,0.18110214151686074,0.004943466345045947,0.08451449509282527,0.13483820759181311,0.1601478620097292
NDP,-0.023248779630528307,0.022956453799716954,-0.010751242304360326,0.08381530959548258,-0.04923823930934051,0.06699720054076824,0.16071823541987632,-0.0071132248654348145,0.06420153863638906,0.08645440524509844,0.11619746854137697
TNFSF18,0.0003096749000038232,,0.03445436667418902,,,,0.08548354008630259,,-0.035973013137900106,0.046630143197111264,0.0888136026685527
RTN4,-0.052189590752460914,-0.08475547440628463,0.02995941563853956,-0.037256691665856,-0.06840532676123731,-0.05882155304287461,-0.1685412267019106,-0.007902986728425878,-0.0543774650595438,-0.025955436498042033,-0.09888628490910632
HEBP1,0.028604774340001797,0.011507923522104207,-0.0391694492520535,0.01084030451026196,0.024181352556334208,-0.01560326845884756,0.058988797403735846,-0.0018867526119897367,0.04533884410900282,0.11492881053905236,-0.004652071637586031
WNT7B,0.0447040673801149,-0.01350988143122566,,-0.025609402394235,-0.05382273078387014,0.0007880973318174157,0.007482405940493766,-0.02390731466718909,-0.03597297583658777,0.009138992986069546,0.03102923579727325
PTMA,-0.020728111095318875,-0.00784723146069931,-0.0018138384235335293,-0.034872530597548905,0.04766742240911045,-0.035339862890830555,-0.24373926461663584,-0.05331845976185514,0.041291809822363176,0.0471889855595082,0.012210846418329405
FASLG,-0.027580643967272812,,,,,,,,,-0.01218949326962861,
CEACAM1,-0.03829596552572729,-0.017898473611952563,-0.06656891625187224,-0.033545297178348574,-0.041364942103669707,0.04756113465610338,0.09603543285229073,-0.015867632445436416,,0.04872756077964508,
PDAP1,0.07387279801617533,0.1296371079773421,0.03793079063126753,0.09684141531012623,-0.026616809792836652,-0.07339625290065248,0.057002071191211166,-0.044808321874118325,0.10293978811669098,0.030660422537842933,-0.04663776350467268
QDPR,-0.0692148852552365,0.01023720027259702,0.009106402365403067,-0.1549962835700395,-0.05309678687834323,0.016395665131835952,-0.12194782651545677,0.00678417565476143,0.04993623571029387,0.017508808202146245,-0.011940436868297055
POMC,-0.04346313053905953,-0.016224464592239644,0.03359103993741099,-0.00954383079573799,0.0889868627169423,0.06253144146644103,0.0735147160400186,-0.02595736221917691,,0.0420462395026186,0.033542367713950444
CCL18,,-0.04926088809101168,,-0.03395031024824707,-0.03256633526318085,-0.06123313501462383,,0.07157561669559583,,,
CCL17,,,,,-0.035831677151351535,-0.03582377303568219,0.0043698727901990125,,,0.03147055652831823,
VEGFD,,0.052133411731185984,-0.034092199677784624,,,-0.025408206340891287,0.06307929951860416,,,,
TNFSF13,,,,,-0.014131449796759558,-0.020340201975327675,0.18186532104585112,0.002796275238788242,,-0.00228628046737856,0.014718155974496971
WNT5A,0.09164543453739381,0.03265695435633648,0.06047623216470086,0.051064374947134075,-0.10160168612916774,0.016520767344727048,0.031069229845519207,0.002153319088188925,0.020892051137269208,0.09541191814042187,0.028799534909909018
CXCL8,,-0.07095730903189172,0.005541418427494869,-0.059774866438653415,-0.01852016749199037,-0.17661844371017116,0.11651207475942388,-0.011473809134124125,-0.059297940159301,-0.08923808920807075,-0.10225001625385301
GRN,-0.11682637216841411,0.03668801071119341,0.04513886118331794,0.09881578456634761,0.030896225109576316,-0.02228303268092146,0.2462517632049732,0.018180185420192695,0.09547438211167097,0.03866429958031988,0.058518063033483336
MIA,0.030652556035116848,0.005102963658123992,0.017942274482587613,0.05715212812029693,0.016273482736164607,0.1554882334888185,0.1542683259603583,-0.08410513794852184,,0.14279906832617134,0.15346329691847396
COL4A4,0.030816162817151344,,0.10577613342420586,0.02788803156021647,-0.01819131523528772,-0.030536651280204455,-0.05672230834297082,-0.03197876373893468,,0.03891139821522675,-0.03731156247087452
TAC1,0.27886317711854824,,,,,,,-0.027376186379056946,0.0359211358794881,0.04084666748326557,-0.039173846286203205
RARRES2,0.05963569475904327,-0.052023721196025594,-0.11600031364439439,0.047156240090949014,-0.01750945158835657,-0.07224051184384747,0.0017632041549233554,-0.023541708726498866,0.017434152119381555,0.020801011345267753,-0.1581176584499592
FGF7,0.0189167825870799,-0.046886152870588726,0.03246509648781433,0.01994094719037568,0.05079020204612274,0.030303070666124192,0.008710029082730594,-0.012709790973508012,0.0024185244725546963,0.09259548017131546,0.06220917918809477
EFNA2,,,,,,-0.03467832530916647,,,,,
HBEGF,0.03539866009525127,0.061139143013689744,0.020907459013565728,0.027954288894231665,-0.034812936155249316,0.003700849818928535,-0.00678009383307063,0.01676875838309091,0.010876621809302899,-0.0734321840417037,0.12133856613392095
CSF3,,,,,-0.057859990057568034,-0.11737564772762861,,-0.02274841860795593,-0.032331528144614916,-0.008760829431292113,-0.0036455177310415598
PI3,,0.005919864992475681,,,-0.02719003509318757,-0.19380800551961352,0.058459921131211484,-0.017246369758832644,,-0.07313875508228646,-0.13916728568882453
PCSK1N,0.06848434363461144,0.08266873703501851,0.06783517584107572,-0.01910654344461635,-0.03820658973698524,0.07341385889242365,0.05717340542580026,-0.009787981666109653,-0.08083654295566894,0.040356232193738614,-0.012756716579604713
NTS,,,,,-0.018945529218889957,0.08169915104215478,,-0.0036918520848404114,,0.10507481966998271,
SFRP1,-0.04013051182020022,-0.04026740436587646,0.11992983511869394,0.01790941529373097,-0.040190261701111785,0.03331103413836315,-0.07438460942834384,0.02621409995349608,0.07511832419543137,0.016946376333433075,-0.0056049823975812246
CXCL13,,,,,0.00019159656237890705,-0.027565359458641206,,-0.03710740460152354,,,0.08807742295223249
