,UKF248,UKF259,UKF266,UKF269,UKF275,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.013794954386460074,,,,,,0.03319974956820718,
BMP1,0.11570891390641244,0.07871075673401269,0.012497017165183396,0.06182434506899113,0.007039447090858667,0.14173392549747796,0.10774583283052862,0.051830477190787386,0.08873248725622049,0.13395072553022616,0.01729929281446733
NDP,0.07380620588320287,0.03723582599404939,-0.012046036475505206,0.020326074182372252,-0.059105399595474936,0.019191177792037262,0.032609430751440176,0.023391800979661235,-0.011849720148172116,0.01794617718799763,0.0370237011794764
TNFSF18,0.03522129448676329,,-0.012941574762831693,0.18335012442105716,-0.011674764661574738,0.04600693598276658,,,,0.06460914296772689,-0.029753374388195364
RTN4,0.03079813823401363,-0.02213947110051669,0.04370563556936822,-0.07748885705519834,0.06770227753149413,-0.054317025857497314,0.017098565459679457,-0.0031243116013978684,-0.006525726839439989,-0.04460595625236547,-0.02510959759603113
HEBP1,0.03248762748467557,-0.02958500783676841,0.06755205944488055,0.023395456112818392,0.016418564231030247,-0.014887506007976342,-0.03443655125452228,-0.016818642410572463,0.041236638044111686,0.07398183517302391,-0.0022811715675507536
WNT7B,-0.005363660950755675,0.006597588234915805,0.04103640635767413,-0.015800113791622286,0.04860932480589393,0.03312467592046149,0.013951920319331993,0.020883833526097996,-0.021792632748356734,0.049171010813999876,0.05300878182186501
PTMA,0.04732458977494356,0.029734014661227295,-0.032458082805631394,-0.05039741418588753,-0.0021666381702207258,0.05026094227877982,-0.026658598449392144,-0.022512970154641734,-0.02068704495966869,0.10826551628556254,0.006900326937554
FASLG,,,,,,,,,,0.022717481627742217,
CEACAM1,-0.02407311336285373,-0.035390499646651356,,0.12938868934815406,-0.01836162348633581,,0.023450423512695523,0.01698736427361326,-0.014464087300607007,0.12730293310589383,
PDAP1,-0.02247175245207749,-0.05950257615285047,0.012753383976963432,0.06269401323363226,-0.04252359053427707,0.05528088483216856,-0.0039210307487364425,-0.02656537886713729,-0.01558410517379488,-0.01957097749862863,0.05195570188328542
QDPR,-0.022841749889490046,0.02746733908053815,-0.006132244143836888,-0.13503940809315002,0.07547828897294764,-0.016761302292882876,-0.06551416792719511,-0.002416365837021814,-0.022156045289936987,0.014039168192693562,0.02857625222807261
POMC,-0.03160933657085559,-0.03295706918823304,0.04214618652615738,0.02297663406740833,-0.013546473694648937,0.13402968473778584,0.031422322155016585,-0.03484985561546158,-0.023661346739830332,0.15511864204169032,0.12692536035665847
CCL18,-0.030040970952144454,,,,,,-0.019964858895869988,-0.004976310656259104,-0.01753619745094884,,
