,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.0206882352343597,,,,,,,,,,-0.022059515811740385,,-0.00979444346935402,
BMP1,0.09265466236043317,0.08012215566194315,-0.0012901243121641735,0.00649428807823118,0.010522599080524863,-0.0008808771912263231,0.06952603962090188,0.10763607097351263,0.12793408543540985,-0.03183246989921018,0.0018794111350059857,0.019841408472390812,0.11998442947279407,0.04073099591900088,-0.04286885444674443,0.0026768449778998937,0.0021967226172526387,-0.010371567548235733,0.020060079178197642,-0.029133008895756995,-0.0011797143524157224,0.1079011620311773
NDP,0.010332159924956539,0.10708052967700946,0.012400029440349129,0.06054748199194246,0.08298286403287845,-0.014559865104667044,-0.054281548137842424,0.01218642148217266,-0.02144783490585265,-0.01540999917008298,0.02165699065799874,0.026007194585218236,0.024554333062734413,-0.0032729562679558156,-0.010272236248751085,-0.05167990817991291,0.12732364963608586,0.09784581948399938,-0.021714209642551233,-0.022949321326032487,0.014896373703586664,0.05940364754662333
TNFSF18,0.022972652269338534,-0.030887264502477373,-0.0004336439750244424,0.09874906312231263,,,,0.0394370092819937,0.1384889876606411,-0.014561571678494764,,,,-0.02634635292318264,,-0.03199630137604998,,,0.06475476580522882,,0.04615690776257649,0.03810920013803009
IL36G,,,,,,,,,,,,,0.03128877230251694,,,,,,,,,
RTN4,0.010548136771636964,-0.08823053306568003,0.04445085096927692,-0.013965499044783888,0.017169105340333342,0.004140104547773316,-0.013214818034726053,-0.18045035828935502,-0.16714749526777292,-0.014160607579271041,-0.05304394282521762,0.050371725927578374,-0.1376477273618624,-0.011175224634363776,-0.0356453529332471,-0.016335775782355164,-0.0197627867181703,-0.07106766512894218,-0.01720635713918514,0.08826833795089684,0.07490326549196134,-0.11575319274797564
HEBP1,-0.02364640573368843,0.04267184075232365,0.03706993477237973,0.02440470006280137,0.05567654207871887,-0.01810437079794404,-0.0008041150085482075,0.06667354364909789,0.06741143431845448,8.400278523046358e-05,0.017352529703440575,0.01087623460712964,0.06734278406274082,0.03218403306417849,-0.009102091850917737,0.006348233650567852,0.020573444987532157,0.03248668655396593,0.02180311488733051,-0.00780927582943752,0.08602162377391714,0.03391245490309427
WNT7B,-0.018408449148078786,-0.06673006853915328,0.004548521946394724,-0.015120099149100922,0.052739674282067814,-0.010867429018901618,-0.049823661824539865,0.01075616444809165,-0.04348536176454297,0.06889201368891902,-0.005093343156522091,0.027322318698255688,-0.040221844447089,0.07739904789287101,-0.005083679646839396,,-0.021016334427411174,0.017168689432460978,-0.026946174318796617,-0.00038577157099774814,0.07448870231594096,0.047163219338099895
PTMA,0.06832120359565258,-0.15698470004114523,-0.08901484957445065,0.06667175896453038,-0.019899999528700783,0.037508635774072166,0.033589646791421054,0.21251304369604704,-0.09167585794868835,0.04998251770585747,0.02589351354179287,0.00910260436119285,0.1450860678128226,0.12066752479004532,-0.06348527374176274,0.023720818795768123,-0.046398918573554715,-0.025922627701179972,-0.05069412676987383,0.008635318321248803,-0.08790903888622062,-0.057897644011918596
FASLG,-0.018408454352100204,,,,,,,,,,,,,,,,,,,,0.010640335435853755,
CEACAM1,0.11737043279416197,,-0.0024093407501451355,0.004135008570685474,,0.07550438744851277,-0.04811393378923669,,-0.01126930612685444,0.0030036193028505766,,,,,-0.058504873913620886,0.18538495438620547,0.03488450197561541,-0.05088441422367823,0.014752046903340045,-0.028796732453276637,0.05019899214894167,
PDAP1,-0.0001097985720985428,0.024405258370420863,0.013363424879679977,0.026056529940896345,-0.022028086264334487,0.04215305619331655,0.0253002421517815,0.07295276259795581,0.12413801719520211,-0.014088380875266971,0.015558043876623948,-0.030922945869965034,0.03140126780572118,0.009261461759046177,-0.11340523886250732,-0.0016433653679931097,0.017054597824481342,-0.04469057242916661,0.02613846310745372,0.06746742591778794,0.06426174548458265,0.04752752799413367
QDPR,-0.03655103594198834,0.010290490596988047,0.03288608515980138,0.0025677342725346163,0.028089641353517558,-0.053344148322132356,-0.019582807916735966,-0.10561933823462041,-0.12858154706666375,-0.051632359225327364,-0.023139922096881486,0.026471000397545616,-0.040002191361099095,-0.06028302242777607,-0.09698862228028865,0.04654938522797909,0.03217776596482225,0.11852633679996862,-0.0517589697133653,-0.022994137574912667,0.05255713637938147,-0.05232794312760622
