,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,ZH1019T1,ZH916T1
DCN,0.028622481239338617,0.08417775801039543,-0.0909109343844453,-0.005616825825549646,-0.06696622367395572,-0.045159559038014864,-0.03208788130103186,0.034296754634506654,0.043603535296976886,-0.044051876723537685,-0.009043382575555209
RARRES2,0.145048779741896,-0.02132203013816945,0.03857238238415027,0.016398691367996335,0.031989583520889577,0.006223864996028877,0.013678102155646405,-0.016578183203167122,0.030897071872317286,-0.02021970911332282,0.02854591794503099
SEMA4A,0.04974571200992781,-0.04159147046843931,0.06693712445871576,-0.04784213442722437,-0.03186190392606628,-0.05824179984984971,-0.0038197669651709966,0.006426433706780042,-0.0037423456148358283,-0.049586626182932046,-0.02804597694567405
GDF11,0.052202760804324684,0.002586860934180486,0.018432828089954074,-0.020679781047990575,0.03126992073668202,-0.04539075379427525,-0.016760106336088095,-0.00823722382238055,-0.01388410742488913,-0.0401038964355452,0.06548901455767311
GPC3,-0.021735545914450257,0.11409150647984427,0.05676856137672131,-0.020476575445344522,-0.01956309906220764,-0.006479534832711532,0.055186791194332466,-0.014777276802787273,0.022105862385031406,-0.03193204352630264,0.010472906321509025
OSTN,,,,,-0.025327496746419594,-0.0155068729935771,,-0.02283583354055007,0.028374687509404715,,
GRN,-0.053043236245146556,0.03357532830760654,-0.036384413181924924,0.02766847767186511,-0.012542682693226533,0.031374306367461975,0.02153549499178433,0.014443613554375696,0.044608375177250255,0.07789070933993814,0.05011091000360828
CALM1,0.05120482175682231,0.08083460822868681,-0.09139233680176134,-0.018343849720950108,-0.05842419424935899,-0.08557750923862671,-0.012085204211080561,0.0008917784125833364,-0.033918517395657134,0.014140867012540978,-0.014723569230020663
ANGPTL4,-0.043892370088249505,-0.08142241062027675,0.08246547503937314,-0.0160822964790571,-0.021145349266782548,0.05840535543941451,0.026148150491694156,0.018071702909212204,0.027331737687881243,-0.021545084343977675,0.03954608321528187
BMP8B,0.05874078951363992,-0.01544423159439002,-0.0065601362192405305,0.0016443606172365267,0.04262815346692709,-0.026759117958017487,-0.0014377454886914586,0.06061454255106248,-0.02320029195305752,0.04641012559742813,0.02630550832264566
TNFSF4,-0.027318244956844765,0.04600767443153296,-0.0024476915884404354,-0.020977494863225695,0.021200149725504016,0.015134067005815714,0.03921960284094971,-0.026543264437385767,-0.03140103901801419,0.0426141444661174,0.011221472382300297
RBP4,,-0.026434003249257158,0.0025214084070628176,0.009786526194249875,0.023074827868865746,-0.031081716264275066,-0.0034679256132635838,0.06420343618425657,-0.037783293079717284,,0.004438725934386469
DKK3,-0.010008813209777225,0.09684483511115587,-0.06957605618552584,-0.004164792616970481,0.003726069402132534,-0.031553108702773676,0.009834449499787139,0.01952317799980385,-0.04355420914082661,-0.025289799615533116,0.10109020530439528
COL11A1,0.10463187035984234,,0.0007386116606128222,-0.022671987309627443,0.030109940691501937,-0.056350576156770006,0.023055916854770576,-0.023054440667165357,0.023439698683231893,,-0.06177925253575723
COL5A1,-0.040923082193733445,-0.04686557878632221,0.024550338115933292,-0.019646041272817067,0.005148638379370841,0.023941255201657807,0.03989440456277268,-0.02277035029652634,0.05864729060006507,0.052580824411944456,-0.015719634086903148
KISS1,,,,-0.03306859754811141,-0.019683389389083726,,,,,,
MEGF10,-0.011824044255926522,-0.002336783725192166,-0.03342337500116335,-0.014953761979303017,0.04174153380473557,-0.05882607136563287,-0.004079688728316284,0.011345167408882936,0.04030129291381362,-0.023748579751467252,0.05429201247772985
CEACAM1,-0.0029693312297066673,,-0.018547732624919842,-0.014296302002897202,0.012983537576856498,-0.016207972920821247,,-0.01836162237105636,,-0.003130920462280399,0.006409037723971581
