,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03452662985235479,,,,,,,,,,0.05578571789284415,,,0.04019819858757424,,
BMP1,0.030509878273950127,0.04505102449800458,0.043433042370408875,-0.04538372555422474,-0.1013152684923285,-0.025262908099182135,-0.008481217945279812,-0.05325337747704538,0.026023554649130386,0.0259019334628817,0.0015351217226522655,0.061556840946202306,0.04501624199394164,0.023327511328600135,0.05155546641720972,0.01624945672907621,-0.00910504363875693,0.0056573722389673155,0.016102641309833316,0.028489187876963383,-0.038256499331296344,0.0027067811268197623,0.050209805492201415
NDP,-0.13037144197513803,0.01653400307220763,-0.016857747116054634,0.04849290957681864,-0.12086219962978226,0.002264915067755479,0.0635926713341703,0.02590593412262137,-0.06482425457559578,0.028733856985309256,-0.032459316529196224,-0.017364085546218166,-0.022628792365336554,0.024449956999248828,0.07590353577681257,0.01758124206270018,0.00780623563794452,-0.01704668906492866,-0.033685183788430745,0.048763827043197545,0.05539208671117297,-0.0010025750712606897,-0.09379368201421856
TNFSF18,0.11130594198148504,-0.04220898193251222,-0.034080300148793194,,,,0.005438941035592871,-0.012750044295637307,-0.03492932462720787,,,,,,,,,-0.027343674472828157,,-0.01972060439805468,0.10436236937873422,0.016367338889691576,
IL36G,,,,,,,,,,,,,0.05342036337738172,,,,,,,,,,
RTN4,0.017686313313036352,-0.021095632741610706,-0.008338230493101444,0.036632040113487,-0.03853924704255737,0.05302922785826415,0.06931343115235682,0.05690374632779487,0.00459836661032206,0.026954969432188173,0.10054346691235111,0.005003996207574461,0.04401086402491398,-0.013159992106461038,0.04146711428603795,-0.039325653108698,-0.06426562591850354,-0.022033522108790726,0.0543476203275218,-0.033760907809502555,0.05166810326156891,0.012663407850984626,0.09273444671873267
HEBP1,0.018041698150491114,-0.0016742584258399756,-0.008467598733977462,-0.029614590442107562,0.09205933372029197,-0.003919010374992692,0.07807886260182577,-0.05729649052228393,-0.024365614775086458,0.04889277259556744,-0.04856924509827791,0.006259242244986917,0.030032199061432206,-0.06822373057441047,-0.019965183158969762,0.05336021003084627,0.07825737105984105,0.07783567202882746,0.012723549736665582,0.001966640632897995,0.04645880377916968,0.07139420679237839,-0.11164361719424538
WNT7B,-0.006201634163680049,-0.002949507618029261,0.04062016344879577,0.058763802926901414,0.19345187519506468,-0.03923338636922076,0.042543873667636345,0.12552441679143025,0.011195944450717957,0.08463965755647278,,0.059910199403667506,-0.02471269995465999,-0.042605738403833054,0.004570598305523558,-0.007050209221507526,0.014350214964972158,0.01614195140590676,0.05187919060215266,-0.04274689623699529,0.01913209956132991,0.12657736065876926,0.016289291172415125
PTMA,0.08030670188661801,0.020718979339237404,0.020007390080776705,0.02306144177720777,0.14265316797237942,0.018169642773042137,-0.07404802395279159,-0.014351316669210239,0.03575930829813766,-0.08747142453847881,-0.12158404005634976,0.04388067164095933,0.008159671478459425,0.007599805580193523,-0.02284329190424855,-0.0309897861570246,-0.03385435644564731,0.007531106432178396,0.03971894401518462,-0.07708353628191679,-0.06854136175163121,-0.022808200754981224,-0.011869013377570512
FASLG,,,,,,,,,,,,,,,,,,,,,-0.021834918229249274,,
