,MGH258,UKF259,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
BMP1,0.06810536803389512,-0.018068143315318596,-0.008467917159257841,0.0022810069250576797,0.012203088215118188
NDP,0.025301666403665116,0.021178984605981648,-0.02270926979777957,0.035355848838090245,0.0786918158906593
TNFSF18,0.07101113626415842,,0.1399157771608212,,
RTN4,-0.0020968648669899724,0.04423639908862892,0.010972435109093475,-0.003978211648689834,0.019517541426411995
HEBP1,0.02052888764229295,-0.014881962189730927,0.041601810052430556,0.06359815286423165,0.06637223033521757
WNT7B,-0.017710093291403117,-0.02495039985074999,,0.005055786156872338,-0.03732251621376299
PTMA,0.06294426010135755,-0.07879134701779764,-0.03555377081775008,0.02439970434288646,-0.05001321593409602
FASLG,0.00820040655683411,,,,
CEACAM1,0.10612962338223304,0.023507239314499793,-0.030603775555654588,-0.0187637893835166,-0.018081021509283614
PDAP1,0.07529391059397661,0.03133047286976527,-0.08242765045318648,0.016341993859430613,-0.018815251891637214
QDPR,0.05351851837519943,-0.00490583647969365,0.06768554636538963,0.03325530073133141,-0.02565573041989
POMC,0.004315748442311555,0.016863600474663468,0.04074520123260715,0.05879296673971968,0.038858655367683945
CCL18,,,,0.04167634544225367,0.013609333850745111
CCL17,,0.03551308068402757,,-0.013312000374670204,0.037098600414049526
VEGFD,,-0.018604481200153088,-0.04160516222204443,,0.0050059343446244835
TNFSF13,,-0.011518566211161891,,0.008959369999080424,0.05860852704960168
WNT5A,-0.03706286402758428,-0.048173536850416705,0.050523682921594516,-0.03228315243320954,0.03590192974242237
CXCL8,,0.04496294030550331,0.02541508302833023,-0.037437875146411934,-0.00564464180843913
GRN,0.01059094492600275,-0.019763002300922407,0.05561639009989265,-0.03273036509705031,-0.011604659319808086
MIA,0.11834257799721658,-0.03516239937304294,-0.08493312157499852,0.09175408971999999,0.04009632153510983
COL4A4,-0.02051045179306825,-0.0402467394516334,-0.03257766140155404,-0.022393175014141946,0.02860746107616383
TAC1,0.08777755316303752,-0.014039704795110547,,,
RARRES2,-0.04177737968740772,0.07525759681354513,-0.14057845281435366,-0.03817500151972681,0.03894319300411784
FGF7,0.12465830418324454,-0.009730660653009373,0.04014460259475045,0.05350727752685118,0.008305576352030422
EFNA2,,,,,0.03092077681410111
HBEGF,0.09726687584924743,-0.05245717888466313,-0.030977595908467943,0.0025102898282898236,-0.0357806221696537
CSF3,,-0.019903699685247453,,-0.05264482219725074,0.01988179691361414
PI3,,-0.03434777654280444,,0.004780469093340746,-0.044971523931239495
PCSK1N,-0.049100250547647876,-0.023108223436272734,-0.007728421901272301,-0.05120307534223227,-0.01100126375345873
NTS,,,,-0.031055511145936448,-0.020936418858492543
SFRP1,0.009783646797417047,0.005202388977880013,-0.0012040370901989638,0.01702818899485793,0.03893015254588796
CXCL13,,,,-0.014922263489921051,0.029488500138243532
MICA,0.043238366636664104,0.08039152107308692,0.005014322229212634,-0.012449796694793278,-0.012462786865482961
TG,-0.02051044717095897,-0.01572386146158759,0.04716957462316766,-0.01768832030709835,-0.025785488518718255
ADA,0.03513220995933974,0.01845326366859354,-0.00433950317416998,0.08337900195385135,0.020943389337693213
LAMC3,0.06749755452939232,-0.06469393741745735,0.07652434725916034,0.044555993947091074,0.0172144332778977
CCL7,,-0.011368326714253568,,-0.019951620137266056,
NGF,,-0.002349730035751864,-0.0302101943588479,0.09041822393871572,-0.01695380827132684
TNFSF15,,-0.012659187814058446,0.043457206419831626,0.025252798937713712,
HMGB1,0.05229874799880567,0.02205970286342586,0.031574329143039696,0.0292171676646683,-0.04078209728728077
ITGB3BP,0.060339582150886924,-0.008101092191349373,0.06789007222209888,-0.0043253201290634246,0.013368085467242176
AANAT,,-0.011518567440516539,,-0.01750320050782655,-0.023126087592488603
RELN,-0.01700370448082451,-0.0199936535506716,0.03324804139426451,,
IL15,-0.006600398666765052,-0.03998060486674877,0.02986140459836524,-0.017467064981074847,0.09173175997281138
UTS2,,,,-0.014905256249447019,
BSG,0.004116620220780774,-0.00446315975558393,0.017410627740882808,-0.004213440862516545,0.03236137930872084
ADAMTS3,0.018459049157266743,0.015304735368555162,,-0.0526664326094191,-0.0415105024479969
CD34,0.07042701496472635,0.00555190745983149,0.06800536753077119,0.02366457236417877,0.035639799837884324
PLAT,0.07139577203355861,0.04137103449875402,0.02735272755282643,0.10004586964480817,0.04110245201214353
NTF3,,,,0.004443239028309143,0.05440997137190299
LTA,,-0.014570484024454124,,,
CKLF,-0.004481288241181565,0.008283479665553574,0.0016510826896745678,0.02131892200373406,-0.02875263526459058
CD24,0.06355494331139301,0.03829722005228874,-0.07860258658550452,0.04314335581059777,-0.011896489051631235
HSP90AA1,0.024570104380721443,0.07388051853738795,0.010766483711165143,-0.12423127246204196,-0.00803633493268483
BMP4,0.06613552639415282,0.012712625335983326,-0.014872127856060301,0.0480521464110961,0.01846578068189019
SCGB3A1,,,0.0004754973294459741,-0.015216835375922394,-0.008085801592407734
IGFBP4,0.0940177222732701,-0.04410171995609133,0.08565802115025985,-0.017971525774351484,-0.003327941769759889
RSPO4,,-0.008631933467686518,-0.04081803407940028,,
LEFTY2,0.02519416169239842,0.04015318751213799,,-0.01693666615397823,-0.019759433498741406
PF4,,-0.00991864108879518,,,0.009642058519211726
ANGPTL2,0.0048976135969363375,-0.008127017881182206,0.017185357584289702,0.0687830530564567,-0.0298858266219399
LRIG2,-0.02044739501184991,0.008634635342886488,0.061760638687207894,0.0022249963237679564,0.009290281503378408
ICOSLG,0.01342989188824864,-0.024815970071804395,-0.025249371143399937,0.014290775970489385,0.030437756710767917
NPPC,0.05327457034169295,-0.015386258329345946,-0.07113312185499801,-0.029784170916556156,0.012702633616297074
LYZ,0.03886814084544074,0.04910297781148729,-0.0362806626701282,0.0037546855295464677,0.037943055739042934
EREG,,,,-0.018757311835424083,0.04612025574907846
SPTAN1,0.04507246401208006,0.0021073773515644166,-0.011996934012406752,0.010557692531636069,-0.01292199727878863
LIPC,0.009847045565632317,0.014982853077664912,-0.019774853153184127,,
COL8A1,0.07566564009112538,-0.0327368524825859,0.09492605580336336,0.07575728452831593,0.05213597816481918
GSTM2,0.025364783391025044,0.034949211368604946,-0.06391649548879536,0.051061964268307246,-0.02208612979684572
SPX,0.006495509516066152,-0.018875819359691258,,-0.020116142481888807,-0.019556954008033818
MFGE8,0.03892049803334633,-0.03868275486216541,-0.01137034637132316,0.014223229018186411,-0.013297336204415193
TGFA,0.02788306824650291,0.05746058532608392,-0.031113887370233257,0.011260131294091829,0.04324601488198424
SLIT2,0.21789798650626843,-0.007170602847317965,-0.004695988721562547,-0.04828883530019081,0.15249605522893714
PLTP,-0.057657476688229556,-0.0022985702388355323,-0.02180428229940182,0.04534105949683118,0.030400304339651067
APOD,0.04144108972887742,-0.011461379692800523,-0.024850567727893024,0.11717206716047396,0.021930299890467738
B2M,0.08791279638374752,-0.019802454835155595,-0.009673716836185094,0.0915896064733862,0.06321194347480483
OMG,0.03605596129837567,0.010335468730889336,0.02053314978830953,0.05461612752344905,0.054649732042569385
CXCL3,-0.01651712815852395,-0.0023269095179559323,,0.02988030990876658,0.032605686093910645
CXCL10,-0.012542871912115562,-0.003871753954947505,0.03673606161378093,0.12698697976836637,-0.02112673735589852
RSPO3,,-0.011518566589424815,,-0.025395473324665463,-0.028959291708848978
CORT,-0.020510451462917485,0.01867561459988354,,-0.02275012689847601,0.15528061419317862
NCAN,0.004092078811423497,-0.04756498269354774,0.07633848239829845,0.059608859326133724,-0.009793850571640225
PRG4,,-0.011368328485838531,,-0.02185254522480905,-0.024321208154732214
ZG16B,,-0.013194335551445873,,,
TGM2,0.01986134117555904,-0.006551031768510793,0.020104937899871188,0.03237740889493812,0.016224920166416176
VEGFC,0.13652910658663991,-0.020261405342396493,0.08715314132948333,-0.025676588945081635,0.05852727069342187
WNT6,,-0.01572386211445066,,0.0343135093714895,-0.030633804009205387
NRG4,,0.00680087400524796,-0.0021757184876877145,,
PMCH,,-0.003968389723159683,,0.023878033189890412,-0.023126086772390936
COL9A1,0.10729303024531242,0.14215191664740626,0.006307758730081907,0.05925602018555574,0.0038866348037551422
GDF11,0.047822649845215115,0.029861924549475775,-0.018077264445042863,-0.015042925835534132,-0.005952529790032199
IL24,,,,-0.01511986812153059,0.0371236230998638
SORBS1,0.004815551171148903,-0.0036587410710572452,-0.059773857936349276,-0.03771714290572798,0.04786021085454808
