,UKF260,ZH8811Bbulk,ZH881T1
BMP1,-0.006482744508624516,-0.027273716207349384,0.006912180771849454
NDP,0.06458097954905509,0.05731674694088016,0.052101403022630145
RTN4,0.042494817255467304,-0.004732718392242774,0.10071694360034675
HEBP1,0.028145794169117094,0.04647194702152392,0.07350711727516633
WNT7B,0.017553127218189236,0.019981756442256197,-0.002001164883260613
PTMA,-0.0241041089335991,-0.008812163499876628,-0.004577087065392099
CEACAM1,-0.014343778456457557,0.011625391634153876,0.04098910742550964
PDAP1,-0.00987802016048006,-0.0042637945219408755,0.04349810748257201
QDPR,0.0027830948667260224,0.03909949466390975,0.0020889653474136178
POMC,0.021664121974641373,0.05797299128566765,0.04495034946348564
CCL18,,0.008694463180787235,-0.03842823316655558
CCL17,,-0.021906270378466857,
VEGFD,-0.013723315108815878,-0.015175142148689657,
TNFSF13,,-0.023811366949837213,-0.015179423569579693
WNT5A,-0.04249436478094983,0.02987564855181724,-0.016941363631046976
CXCL8,0.01065678011890657,-0.031926153747410244,0.0196383883634468
GRN,-0.04583180502269908,-0.04425574686305649,-0.03623312873712088
MIA,0.09707662824668274,0.04394866400367865,-0.09263459609414673
COL4A4,-0.009893940941044049,-0.02429777534877818,-0.00018413500603760164
TAC1,0.05102082714004331,,-0.02332181041532054
RARRES2,0.012767089012976351,0.014050367435089627,-0.06387788196437061
FGF7,0.00308038032442169,0.027056912541173917,0.06054254923721006
EFNA2,,-0.014422957045120324,
HBEGF,0.03459786414408301,0.021449008215128792,-0.03941324608059544
CSF3,0.07218208485860692,0.004923341112601505,-0.019379408756106446
PI3,0.0345495714688323,-0.054232400941802615,-0.08090929275713844
PCSK1N,-0.029302580628116207,0.03755343926115653,0.00021342030143739555
NTS,0.06033639414038069,-0.017571636209768513,0.06355255925291048
SFRP1,0.09958962060680632,-0.009814374046161591,0.05535222470129688
CXCL13,-0.01551522258047687,0.03609147577499461,-0.03161184845612294
MICA,0.05260995273956004,-0.019165587529011593,0.033743158821425
TG,0.04327191235324382,-0.02164139086080089,-0.01594955120152648
ADA,0.01910453840489244,-0.00176962741100078,-0.02811025201854719
LAMC3,-0.022421820803595467,-0.05016652339693201,0.023342106789792698
CCL7,-0.02057032061105076,,
NGF,-0.02195667626603922,-0.014229088237460363,-0.03327020987398998
TNFSF15,-0.015230195576631352,,0.018521183368482182
HMGB1,-0.0009785986424708766,-0.04083647398552639,-0.002562971185134586
