,UKF248,UKF269,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,-0.015533296895600984,,,,-0.014719728586720464,
BMP1,-0.05502095367565005,0.09101628765684246,0.09316965758917015,0.008997607888669277,-0.020911338647242695,0.00910382551437068,0.03558961555276566
NDP,-0.020079500082052927,0.0601494448787949,0.08695704418207899,-0.039269081533206254,-0.006046197195512204,0.04924947069365115,0.07401321300480353
TNFSF18,-0.011005932832774038,-0.006524953906778687,,0.09023089574450478,,-0.02482955050845556,-0.02359243843697046
RTN4,-0.018759921202623014,-0.12058982354239908,0.14008618979756415,0.01710337072023884,-0.019754559426312844,-0.06976890575533276,-0.03099716863389069
HEBP1,0.01327129144275926,0.08806881584660572,0.044432656537587004,0.032450309398459526,0.017376625370884868,0.05476287047030914,0.054190593525145075
WNT7B,-0.036746419103247,-0.05172724837661809,-0.05548894766469035,,0.058286299859655145,-0.03141801988096352,-0.051297285818742905
PTMA,-0.0005402527517928064,-0.03243411282297299,-0.05006181702961957,-0.03959488256177224,0.04556826139043286,-0.03958620328727651,-0.07116799870443406
FASLG,,,,,,0.11536348258669299,
CEACAM1,-0.015803933934479673,-0.03035417334254051,0.07176396050913389,0.0688879238233174,-0.016268862903385885,-0.017762592236584055,
PDAP1,0.02898811923145631,0.07942836647996308,-0.14210151871579024,0.005094041767077266,-0.003082504080829235,0.00783720915106561,-0.0658134173423975
QDPR,-0.03301853913768518,-0.14981403178825653,0.15345854100377881,-0.07309192554205773,-0.015984765175628846,0.024022588245019634,0.03184848915435075
POMC,-0.037457088752052885,0.03238179994646536,0.05617964505742684,0.08296609317031592,-0.03811213725830868,-0.0024179423522323177,0.013727548940905162
CCL18,0.049320117617117985,,-0.03582808349346829,,0.0037093759753565204,,
CCL17,,,,,-0.023485124951040676,-0.011571321805746207,
VEGFD,-0.019721822593507802,0.018521641815287475,-0.04036434096750815,0.026717284239937477,-0.016268862903385885,,
TNFSF13,-0.014882720198635716,,,,0.006045541179577732,-0.0188545030634755,0.08992269944815937
WNT5A,0.016877630845988135,0.06597997998636454,0.008169874447798327,0.10249926989185346,0.037334052440814364,-0.02794782062874599,-0.01046243884826975
CXCL8,0.030991204426337106,0.04746175934593543,0.007356266343854307,0.10855051023494804,-0.049658249100020396,-0.05293898922230501,-0.08841665951895149
