,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.061441983306483525,,,,,,,,
BMP1,-0.0687588288973672,0.09170203203295128,-0.011185727020281745,0.09290887529247463,-0.02829451620749355,-0.09215372524983477,-0.032047630346341234,-0.39606160824748887,-0.11929013567612808,-0.03450418633833948,-0.15004662637451702,-0.1682378686233452,-0.03248343617243121,0.016003942905293396,-0.049984714784177174,-0.01045748695410553
NDP,-0.08592750112477955,0.0362235219796555,0.018876643920392736,0.0009006203710060196,0.014057429107052169,0.18974878335203935,0.026067398360462422,-0.055999954102154303,0.061120303962867675,0.01777717226355213,-0.09293085095073503,-0.04340630255992616,0.008295021571520726,0.0299935341243943,0.0128695464408006,-0.0817403331578801
TNFSF18,-0.041727800723723694,0.054679725971745294,-0.027782768018826662,,,,0.026687042270622956,-0.062827045522291,-0.026628853083266586,,,,,0.19116638928468077,-0.0626928365056258,
IL36G,,,,,,,,,,,,-0.03175846829591864,,,,
RTN4,0.23135592696491658,0.11017592967381716,0.051419198668030616,0.06742702688766118,0.021590366583931583,0.2667251522952679,0.27905089201969985,0.5190534950900844,0.17660205826238545,0.11343129827139913,0.3873169495888133,0.3201359084429131,0.06443902071737621,0.028889035771517458,0.25520232472907306,0.024060549968845067
HEBP1,-0.11690204755587014,0.057923447617796386,-0.00043785544023704253,0.03209261254393141,-0.005200858468354008,-0.03650735926175934,-0.08669812985352368,-0.22106714718058842,-0.03970517913420867,0.02232206767347377,-0.20076263441945857,-0.009450846760689687,0.0478088538969871,0.001223168101543523,0.011210166602856475,-0.01756458576033626
WNT7B,0.27298767488087017,-0.04644526375981501,-0.007590176922282427,-0.03278121576359014,0.021907026019306323,0.030750389205952695,0.1473101263535978,0.31788604784896946,0.033259007613516245,0.06700436983060772,,0.11735056260846384,0.036511878280955874,0.048737448140226076,0.06359168945435538,0.15507257042959752
PTMA,0.055064416003088965,0.04511534093595921,-0.09109511643318143,0.06470989339508287,-0.04860382632168654,-0.17467515637627481,-0.23441566036906497,0.08075069334032266,0.060537207429387736,-0.07356044325245015,-0.49017529929456266,-0.3135384054349171,-0.03350254732003635,-0.05953329816179847,-0.11017387405558066,-0.18957012010003227
CEACAM1,,0.054905980965002696,-0.017392911323058625,,0.0048959197202626085,0.0015921547282912619,,-0.09486320749913978,0.011504809367425655,,,,-0.01603498306079712,,,
PDAP1,-0.11842481768146317,0.023771419252399867,-0.02026587421142513,0.04038119041644389,0.015150898550470769,-0.1119692071020805,0.01216620091645617,-0.32438400210664337,0.010459450964307242,0.0017348931205589937,0.06579576872161996,-0.12540151113700454,-0.028515780419691796,0.011238737955469555,-0.00887343911755611,0.0535239301112892
