,UKF243,UKF248,UKF269,UKF275,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
IGFL3,,,0.04026078519942286,,,,,
BMP1,0.1073006668706161,0.025507519681977175,0.15698558742708424,-0.027765764628191615,0.03881964378542783,0.03197279283188241,0.009247151876577608,0.014478412086022999
NDP,0.07083984686541653,0.012572323073180772,0.057878135393091605,-0.048612692026172716,0.03449046479581127,-0.012619667855685093,-0.023025175836058696,-0.02244138490454221
TNFSF18,-0.024816098576913453,0.067009683558893,-0.02897981238288911,-0.011674764661574738,,0.029460860857483066,,
RTN4,-0.058086651243577946,-0.0003615151114761979,-0.11397126716208127,-0.0395295766789999,-0.05278404432618512,0.025513061707152247,-0.0223651518459245,-0.06787564671182222
HEBP1,-0.008669302565362571,0.06652925148470033,0.06331765721148003,-0.03852209328177263,0.006941687632238092,0.04268675204303234,-0.025778277737242304,0.027522757067219492
WNT7B,-0.03694710998009913,0.04149377397076341,-0.07611294079649004,0.003000297141803172,-0.059195543429218365,,-0.027422035225905087,0.057244903421721616
PTMA,-0.08236941304241249,0.03698390813597089,-0.07785443059262113,0.007550484877025063,0.0983650706501858,-0.04258606677485919,0.04440229278748714,-0.05015592450342031
CEACAM1,,-0.017122069446280686,-0.017794448224474048,-0.01836162348633581,,-0.033632015981884235,-0.02593601166641306,0.08814596384777479
PDAP1,-0.014193199910657896,-0.042180574480091895,0.10833948898426736,0.0034777104247433344,0.05500872411139359,0.02657979974943713,0.005146209657755856,-0.03135203086607779
QDPR,0.0024613900354348204,-0.005158007608894307,-0.11246809814845306,-0.04487784370100202,0.04229960136025773,-0.019308562866970448,0.05622495006967652,0.08326703305600855
POMC,0.058629284433544725,0.07017857667958526,0.0662647976730812,-0.013546473694648937,0.059209126500789105,-0.00811667426340569,3.2506485112868696e-05,0.010781711799123758
CCL18,0.037771935628387425,-0.021366724906883554,,,0.12300681610766546,,-0.0009778340765159651,-0.025811758377411856
CCL17,,,,-0.01456070453984554,,,-0.018400344939068745,-0.022550313411847742
VEGFD,-0.006304365436490273,0.07642446992666159,0.12304965011092533,-0.015513199125871216,0.0814933221724369,-0.0040257719837298615,,-0.01562129041640369
TNFSF13,,-0.016124021389045038,,,,,0.16010156958576777,0.008633490612637091
WNT5A,-0.10304640372475524,0.022059346666373297,0.10581543908269665,0.0048295010159446665,0.029257801622341196,-0.004588663342678489,-0.038148322490909665,0.04276136118595245
CXCL8,-0.007367896785731374,-0.011681355108042536,-0.03786899917095205,-0.0126453957487414,0.05707883082620715,0.06279863245947385,-0.04872070270347581,-0.0554052420469771
GRN,0.016669327480767753,0.02435469233730131,0.09211693733394208,-0.017132275915062743,-0.00579418398700972,-0.024845741151806527,-0.012225389294779893,-0.02797491919852317
MIA,-0.007862181916472564,-0.002219579946180482,0.07408789441367927,-0.02861925738073749,-0.017888346079834784,-0.021188576346493928,0.06070354511329367,0.047322444603816176
COL4A4,0.1303438188866454,0.02615969988361759,0.14065688670702137,0.0205165838898668,,-0.00964010532242153,0.014121476728838784,-0.02501212848464638
TAC1,-0.034554679396491005,-0.02623571163502919,-0.10497740631363521,-0.018576106922042545,,,,
RARRES2,-0.005818764266085822,-0.06331428743365082,0.15131937517748473,0.007817454681504068,-0.0012520529582224626,0.11085785308137511,-0.032990408572897596,-0.03989764590119255
FGF7,-0.01832411311606836,,-0.05480541501607689,0.025567586621679725,0.016607979266390585,-0.04291170207395255,0.00478929612340621,0.014775802447619122
EFNA2,,,,,,,,-0.014846991115967562
HBEGF,0.011219203599523947,0.09369661465374321,0.07089824611631602,0.03735827536766361,0.07359318537575128,-0.041557081866432935,0.029251741909341152,-0.024561392123934097
CSF3,-0.037747562491336796,,-0.0011647366934107598,,0.012169240635585358,,-0.009162512453580606,-0.033965042573175896
PI3,-0.044717616724625105,-0.02247869546064513,0.06171374275800769,,,,-0.1043371320831404,-0.07850064395270696
PCSK1N,-0.027264153206946105,-0.02650575236157676,-0.05598887133639281,-0.021174098518412867,0.10132653087104888,0.0437716311987963,-0.02961466703208906,0.001348167161912516
NTS,,,-0.00985259782136811,0.04636248498087236,,,-0.0212188163281884,-0.018088241258938764
SFRP1,0.004460368535105932,0.028385259159952752,0.022302752981233746,0.004325638132426111,0.05934898797229964,-0.0363995055817435,0.009684728683303327,-0.006067561862407169
CXCL13,,,,,0.09203499985240633,,0.03665588215634039,0.02246087486897807
MICA,0.005406823737328131,0.0819698255480939,0.02531934243176653,0.05387917143361279,-0.0034162506268906765,0.08707185085831709,0.025557462992953132,0.04459506518215651
TG,0.026935841304159425,-0.013248784226300624,0.05436372043916931,-0.014669358795969116,0.010338006947914521,-0.005564517539877872,-0.024449458074133155,0.06927982636780984
ADA,0.12892905412426886,0.059444295868728986,0.051514244668244606,0.024144545307745038,0.13320655598544887,-0.0024247793466108955,0.04718319262785027,0.073060002930922
LAMC3,-0.053169098601163284,0.06558644241393595,0.07303833442140348,0.01117767224611552,0.0034990422188446043,-0.0017968783098077305,0.08817650635746808,0.06380945089162939
CCL7,,-0.013591042053948234,,,,,-0.02757787577271313,
NGF,-0.021747443782286584,0.006855015944221498,,,0.026804930707550956,0.02901532595731068,-0.004189781565229902,-0.014647422577006648
TNFSF15,0.016187356546664276,,,,0.05038192662896314,0.1379482383289609,-0.010522345501271894,
HMGB1,0.0717183886475488,-0.019688988991883618,0.04377735115467311,-0.03239370366988767,0.07759842303694703,0.042272672581616044,0.010986019571348612,-0.09366472659465289
ITGB3BP,0.03568321719237845,-0.05753495301436586,0.09826350569617108,0.02927899716662756,0.06696934515384637,-0.0063532802254820725,0.015636224580925836,-0.04664560944151108
AANAT,-0.023702952707808794,-0.01971853428759498,-0.018352665410530176,-0.013192240093214668,,,-0.024193578561980077,0.06180097143333509
RELN,-0.037497296293460776,-0.024191305766219393,-0.03978351369991951,-0.029045054216034576,,0.024219567992515977,,
IL15,-0.007204261207326329,0.03017438931617856,0.05495962185717712,0.06520573645044062,-0.004217360891466126,0.05941344190602516,-0.04432362717720231,-0.03622360637704809
UTS2,,,0.0831306817582263,,,,0.041407356831854196,
BSG,-0.039626700683372866,-0.03864019056020059,0.05025934215427915,-0.023846528648885902,-0.0023461705224308346,0.07701419827769639,-0.02598890792901069,0.0031635488428993002
ADAMTS3,0.12413579935737534,0.01131120455525072,0.0906950292090793,-0.03291918145822421,-0.005736662598158359,,0.03384378450792214,0.0030936989817437486
CD34,-0.015367132050076815,0.10045555933410048,0.056555275016561116,-0.022803786063548867,0.07668612782635076,0.03583960285129797,0.08308812819222744,0.06605454680791868
CCL23,,,-0.02088241994329993,,,,,
PLAT,0.029011161188959318,0.03204609050502025,0.07844582120502273,0.023379948646744093,0.0037739358938587765,-0.04352519815322388,0.05987488754882814,0.05021444555501009
NTF3,,,,,-0.04559608262387226,,0.024771301837112188,0.027861523977038352
LTA,,,,-0.012705502056198489,,,,
CKLF,0.06919719968699199,0.025647273741821245,0.11196307602373189,0.047639279718121284,0.022687764738088,0.09731170641077375,0.049481985182600316,0.015450132229444077
APELA,,,,,0.05170224904499556,,,
CD24,-0.047187784869293724,-0.011087700782011883,-0.018083026870948593,0.06257228500086004,0.02849145768815097,-0.0012971616730222822,-0.024107208150882384,-0.007692087153036758
HSP90AA1,-0.03631859338445487,-0.014942433336746195,-0.13525283397375806,0.06865067580543228,-0.03813603514190765,-0.06513143357348779,-0.0885750439326293,-0.10419645084797494
BMP4,-0.04706678805011873,0.07819559282758527,-0.013439574538892203,-0.02781461714044394,-0.047882098644285755,-0.036580359111179385,0.07136229885311832,0.02583764775448809
SCGB3A1,,0.08430991676506538,,,-0.019464185777116748,-0.011493153842283827,0.020240377775810777,0.0614495273024176
IGFBP4,0.06559405703221376,0.07772795219366116,0.13831020758890444,0.009030690162162387,0.024476808298943366,-0.026833321007029558,0.036223111024716044,0.00033942920381434917
RSPO4,0.06041746993851294,,,-0.01477727238263597,,0.040805741158273776,,
LEFTY2,0.06416898096869289,0.07332289737528455,0.11539429178912218,-0.028931069019259358,-0.02420356469726368,,-0.004933512673851356,-0.017071372266714645
PF4,,-0.014098523039768029,,,,,,-0.013608295262864677
ANGPTL2,0.05420850543111575,0.004986331890491053,0.06772358797363622,-0.011388175975291591,-0.030071906748801336,0.0759336241051508,0.03859241635957035,0.08553615144242839
LRIG2,-0.004372572034345898,0.03620762955982226,0.07668640978003002,0.030298284774711186,0.0474620357995613,0.023118582273055573,-0.08675790371876749,0.0036251161884944486
ICOSLG,0.0347761009058147,0.06119044812479073,0.06276367739094546,-0.0027990052994916765,-0.009472677619873969,0.020200818606291103,0.04439657998041425,0.051719395308467614
WIF1,-0.04354793343127396,-0.025368003832106904,-0.06889649134295464,-0.011403271087897229,,,,
NPPC,-0.054218838044039395,-0.010586902954369435,-0.033867623653143504,0.030525950689482332,,0.05134560728252859,0.03601359394077222,0.020862816247759753
LYZ,-0.06161423114744832,0.04388357699033023,0.13549216043253548,0.06106157181750528,0.04128897875387697,-0.006256624830876885,0.03400296598732995,0.0069886443352239576
EREG,,,,,-0.014887288408447476,,-0.03944847879470649,-0.02275623256352775
SPTAN1,-0.025261449686832735,0.0031935259840144736,-0.07558230899548213,0.038094960484044385,0.05290027141625171,-0.039883014452260716,-0.0427297816661429,0.015646724623655794
LIPC,0.0004497094243436422,-0.01726029792402983,0.03068836117480347,-0.017704425509449385,-0.0024072296856869437,0.05255102236907188,,
COL8A1,0.11567300966129598,0.008237823189041822,-0.050760756545098505,0.0017435267020029636,-0.08937217011476925,-0.05894602334754218,0.020771792078307223,0.036262384027514076
GSTM2,0.09252506116952573,-0.003581390214283351,0.029704722995533603,0.005473166215693732,0.07582974348131533,0.04037995469753071,0.09695603954758973,-0.021796357749832063
