,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.05350263291729094,,,,,,,,,,0.07994397755078948,,0.11124991900730985,
BMP1,-0.04671451997087264,0.015750202646675537,0.06894800809151114,0.05481041326909491,-0.07040076504284547,0.00978439065510274,0.16600406133624868,-0.04707825366498411,0.09621440476136672,-0.011000546497587865,0.06881354552997145,0.03157817453021289,0.017057471079936798,0.15452358174882438,-0.004536874013884848,0.042629582530164516,-0.03359050008649391,0.018119570162784326,-0.006172259757043142,-0.008772789332457129
NDP,0.011218199017955541,-0.0725769819753551,0.020954353630802263,0.03197327037409234,-0.004765133635412053,0.05970468558770377,0.08975898723856351,0.049987172171954135,0.06386755387419549,-0.047568158104003236,0.08200573547075733,0.07352343273569974,0.045628810629654515,-0.02603323724966763,-0.03839189428366344,0.0014400751158678432,0.030487397207109575,0.0002635232530207802,0.055052821974339125,0.06361959949645846
TNFSF18,0.09584914230927251,-0.02072417320074253,-0.01893868531781342,-0.007852996846041406,,,0.008782894247152,-0.029112313545206218,,,,-0.04304768761302163,,,,,-0.03175915424606156,,0.05391007191142578,-0.026348559967887177
IL36G,,,,,,,,,,,0.021959339835980293,,,,,,,,,
RTN4,0.06855103375234772,-0.002249279510636126,0.02544100913269981,-0.04872042757983472,-0.0039034684045149023,0.009288375510726112,-0.19880717616307597,-0.01614267837263105,-0.1367437519123082,-0.027037258166666356,-0.03884112445684989,-0.028486746743771794,-0.14068878625972067,-0.006351832911635607,-0.02678182752369505,-0.019014266061312762,-0.023777840844115525,0.03395022110857178,-0.026106381491341157,-0.01847627374147754
HEBP1,0.02686424192464477,0.014106359145616941,0.029839487773653233,-0.0011560784239263348,0.07530913097758558,-0.005251690999446509,0.07038783323913142,0.02536289276951929,0.07753553484475867,-0.04122487346354174,0.02037928386743125,0.08234381305934681,0.036372037853986364,0.09135098501659791,-0.0064723889730016835,0.05358124079516301,0.013820892791976049,0.02226403209501436,0.035732304432803216,-0.04404249039292024
WNT7B,-0.011648735219911862,0.007137282831974549,-0.023132842724750333,0.03682957536807076,-0.016746410401896585,0.02228882938926751,-0.07927021515656642,-0.015293238752387526,,0.026202370323070732,-0.04002558248753451,0.04754125881613941,0.013698966642837653,-0.02226228208137586,-0.006293483587497682,0.07846751206128692,0.028964728930925117,0.028417913181440196,-0.012088993283819705,-0.0383751877509126
PTMA,-0.04200247078315829,0.03986677423907054,0.032977263287700204,-0.030203920937342674,-0.016969686311532967,0.0055467030184503914,0.00869931862419774,-0.01419831190625729,0.12912086667532904,0.024329580119097076,0.011133902640993933,-0.08099119918768834,-0.15420763959719658,0.012252269941879165,0.03463195322838269,-0.030477791139423453,0.035461208194370326,-0.010136480163234986,-0.030451323922070044,-0.014301194327110084
FASLG,0.013457283280433378,,,,,,,,,,,,,,,,,,-0.019403851554384222,
CEACAM1,0.04533696828401705,,0.026394518879535533,0.05299010571136395,-0.024467967183646723,-0.010552238743780746,0.1465164971573643,0.017822627589109383,,,,,0.12235975221615841,0.025979998006139548,0.11773241487466178,-0.020776410998769482,-0.006999617980847897,0.05009958578959237,-0.02699760953087835,
