,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.08198041473913754,,,,,,-0.017974690348026477,
BMP1,0.02745256829190559,-0.025242259315841935,0.008089838609448166,0.03433866278347716,-0.04396784120272932,-0.029451131775911715,0.03934230049204864,0.1601369302461111,0.007982192031904176,0.008824800948612144,-0.05052667248617469,0.057695845622080334,0.04905984202179475,0.0035930639783401017,-0.02586085418822763
NDP,-0.018116549751270333,-0.006554246783941028,-0.011707408027246232,0.012315286196630332,0.015419805201895426,0.05331328780187551,0.05325845207581438,0.07030483318973318,-0.004346436865308237,0.022786269485424684,-0.03108619491961554,0.06227133650302512,-0.04719935713956206,0.0281986819318237,-0.03928008056664743
TNFSF18,0.001802531498080455,-0.01593999625321172,0.05948682275656158,,,,-0.008934512111848888,-0.012169327482323317,0.026426328304715876,,,,,-0.0037110732803452054,0.0061692328395789595
IL36G,,,,,,,,,,,,-0.024215993028076234,,,
RTN4,-0.02899762076150673,0.023430462327519008,-0.0034099225224394256,0.031115004577534175,-0.01192793931836949,0.012183591375839397,0.04490786315803086,-0.18763193597499433,0.012472095591956417,0.029260146758895992,0.0886491485463301,-0.046578936761436165,0.06441008175875215,-0.02252309382176489,0.0061912382090454675
HEBP1,-0.020935732559394772,-0.004200549874941327,0.01592829357605999,-0.024098554145712894,0.025366897576059696,0.01532553572719058,0.040526793938649004,0.05159989080570821,0.03885695227785771,0.036474572085224095,0.0550256739107557,0.041744970530481686,-0.05050013914389704,0.03879017751273302,0.05018200003583822
WNT7B,0.0689842416363521,-0.046717003636490985,-0.03996781895056591,0.03635418487313979,0.016091648110587074,-0.02330408976242458,0.0003246482541718963,-0.07687580364070604,-0.042826490735025154,0.06166197371100056,,-0.026616167022782265,0.004736317655540478,0.06283247960031069,0.0012769018014775141
PTMA,-0.04960125296801996,0.08704766057074992,0.009472322908430936,0.06869764710815116,-0.06981052043260427,-0.012945450818066782,0.023761671361115184,-0.10278226861773242,0.02778935554860533,-0.04984262608897325,-0.08118060796188581,0.06271031279424558,-0.01582019024674512,-0.04043920387510816,-0.06657815344098794
FASLG,,,,,,,,,,,,,,-0.015589442806689143,
CEACAM1,,0.02224513682945736,-0.00991493299119553,,0.04233568722297422,-0.02266610315306411,,0.05395117356422409,0.002735008594577382,,,,-0.02440838509027194,-0.021690419993130594,
PDAP1,-0.0027680703175897957,0.025010357849392123,-0.011575267169865226,0.057824925094384624,0.022360633572921663,-0.013767133860013079,0.020079890397157157,0.14997785581194958,-0.016426468313888613,0.004907434946546596,0.035984088075965794,0.025511808192712718,-0.010684970033097253,-0.043548270497521364,0.015433940853576324
QDPR,0.04906184221230186,-0.028643081827713548,-0.00261498700377586,-0.030504266255731237,0.00036327450049700746,-0.010203129492737438,-0.02454278222426339,-0.17682152338179877,0.004957544373164558,-0.025991766668794245,-0.06911906053238154,0.015600311817242888,-0.05340955517901545,0.011758637913162399,-0.025320658531594473
POMC,0.06826883828918248,0.0430101305656451,-0.04813398641669521,,-0.019824626570330087,0.019308308761601504,0.020479569607786442,-0.01169852890241563,-0.027214539826012896,-0.009823431298704137,-0.07664596681982969,-0.0177275446257951,-0.039928911584762916,-0.03348043868227198,-0.0008067890748852911
CCL18,0.011249943093256661,-0.017127079968419667,,,,,,,,,-0.05830917589744171,,-0.008132555988921554,,
CCL17,,,,,-0.01878787525223244,,,,0.027858708674386556,-0.026307119630065087,,0.00789785530693511,,0.015516362193940314,
VEGFD,0.08177896205761674,-0.004792893002167117,0.07390670256849936,,-0.020931767770799296,0.04703691543273965,,0.023207605466254118,-0.022423663337116297,-0.019296590391845243,-0.03224931763157236,-0.023708829508739305,,,
TNFSF13,,-0.021931709518558266,,,-0.012959455863925532,,-0.031645465705045665,,,,,,0.0833713707192248,0.051008489654965274,-0.03936152099390729
WNT5A,0.0036485657349309203,-0.0037523238812744815,-0.022951831358878384,0.026730327686682796,0.03642755134143977,-0.013627602730081569,0.04395784072784968,0.10414426508570652,0.013190330423673463,-0.07666743988108579,-0.020770096677728014,0.062373060938546186,0.037084914301686894,0.031652139709342206,-0.01898116758222819
CXCL8,-0.062174360263537364,0.016421806437620392,-0.009696769632042366,-0.031583391574903294,0.019222566185971693,-0.04448554330997373,0.09171465806882034,0.008233672613968039,-0.0024861445013130076,-0.01796982401653076,-0.05712286760219149,-0.028304661675669335,-0.036478988284685036,-0.06267063070740288,-0.0015472985913182356
GRN,-0.1270483103902677,-0.06429478083343894,-0.0036299653324374866,-0.05539602397539559,-0.014266341127051765,-0.04979730959482343,-0.01793035747282861,0.12127566093864973,-0.02343702334767007,0.014440902111211972,-0.09830338089521742,0.04162836027471371,0.03692780260870337,-0.0015729453054972432,0.0269528076898917
MIA,0.074083974288973,0.04118016024107597,0.01480009996613965,0.013210022155594097,0.01206534962046356,-0.016579452906442013,0.013535223242815838,0.059965473404650395,-0.020166894783462442,-0.02194580774662681,,0.022720370243406566,0.011822833045425694,0.024957042337990336,0.08313711783944819
COL4A4,0.019986039288517145,0.11534641050967913,0.07729713894358438,-0.03154178334525823,0.038104887385228894,0.05066765869901697,-0.030109262508516144,-0.04096672124668923,-0.030540102849266452,-0.036867211722139366,,0.12318217582889404,0.11602306387057484,0.02019540972991323,-0.020891122031086794
TAC1,0.10496751461878508,0.11241293819718406,0.009244021693139346,0.04209622846696414,0.01027965594434116,0.07866077526501768,0.029791143051229915,-0.04920134653559088,0.07602549404014294,-0.027611919577533606,0.1296586364989227,-0.016003137367478673,-0.042111417802298455,0.0032791575191298615,0.04692903295521343
RARRES2,0.05124467363814338,-0.028311144421123646,0.06726537462034414,-0.07907517044726796,0.02603242793928579,-0.015353461522325775,-0.05018799459709346,0.1561219258873568,-0.004991848559586375,0.030887357380742185,0.011728490080066139,0.01639016517461571,-0.013131175109034568,0.03691051911680315,0.02786361954514636
FGF7,0.010401753562484604,,-0.049586255898540404,-0.03750871650154721,0.0011778163828527804,0.011596049858715542,-0.03559787788716755,0.12780962704097673,0.01285736641464201,-0.015453629318456152,0.001540619419883621,0.01908110638409429,-0.018830779541788887,-0.03591280633568503,0.09443269443284485
HBEGF,-0.04968685712519421,-0.04005281171003303,0.005083875880730172,0.04524468578723012,-0.03469190474141083,-0.06230646087315347,0.016299483453992195,0.06881552669952114,-0.02943128001143431,-0.026835251160326513,-0.03077080511604864,0.03204800827443687,0.004448189460430228,-0.06239898110871754,0.07466119512126497
CSF3,0.011637562458194422,,,-0.022078049357510485,-0.02239350912875241,-0.05612613331322519,,-0.0017614082644233327,,,,,0.008358774866264863,-0.01487679326394715,-0.001871581680111538
PI3,0.018598124636601057,-0.030575264526376416,,-0.008813485518566798,-0.022616584741220826,-0.05569215185063698,,0.020211282809379966,,,,,0.030436226833797646,0.02099988585834937,0.0976653499414892
PCSK1N,0.022247480951128232,0.02943751252602136,-0.009110390070562024,0.040641704443126786,0.05721989950271059,0.023805328295334147,-0.026864124557104255,-0.045164698430077976,0.04902648961698965,0.00535583719408014,0.12926248597699985,0.02470709192324804,0.08957749343177811,0.07154212795161903,0.004449055914541708
NTS,,,,,,0.014304614620109,0.10159135449337428,0.005775161901064188,0.02019482055211829,0.002736502811639197,-0.02903474522309974,,0.047764540797756834,0.05612569242633559,
SFRP1,-0.027957957566990425,0.07283505069784602,0.003128073611690671,,-0.01639314737640896,-0.010229197889255411,0.01721984899519418,0.02070572457798566,0.0024827514435189846,0.027927358513936858,-0.011831953595067685,0.01891670446431688,0.040739825025409564,-0.021518569147987276,-0.022707139486756015
CXCL13,,,0.08972862386317604,-0.01603127616999985,,0.09815148810370639,,,,,,,-0.022961271165288986,,0.030930746322928512
