,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.06562482520446349,,-0.015471715879038039,,
BMP1,-0.02318785994779135,-0.020573693331200557,-0.0554657845862968,-0.050390170786313915,0.02052359492196636,-0.006720884988728701,-0.046622266237339095,-0.03559007144102783,-0.09331942423270864
NDP,0.01514317777772809,0.007797310011654757,-0.004038874206145389,0.02532392326067681,-0.025545432989245928,0.019540109771248343,0.013181127779439241,-0.06694599952267237,-0.0028227172192129817
TNFSF18,-0.02525769401339699,,,,-0.018500422855432467,,0.005882793039029078,-0.006897013617698221,
RTN4,-0.01874633593635314,-0.11947667271821465,0.06442955702167778,0.003509054051139084,0.004528056744791638,0.05165774734205475,0.013065659982799233,0.02060330716393417,0.06226410211168763
HEBP1,-0.04430602755720841,-0.11331705558717003,0.013968006891473457,-0.03303647261634237,0.0132598589725175,-0.01898233278897373,-0.04103107369405131,-0.004469812321244597,-0.046092136867165914
WNT7B,0.07916043800062135,0.014017960582430282,-0.020118855404331875,-0.015919323420835442,-0.031613948905396344,-0.021514601703558556,-0.03302307336826626,0.00361874168963457,-0.04128136146157186
PTMA,-0.01858316898263226,0.11489588546536703,0.028870063846345117,0.03446057796150488,-0.04357805648135871,-0.0006938544355029728,-0.033487652286761704,0.010741209312396912,-0.07871510261409766
FASLG,,,,,,,-0.013418613903637551,,
CEACAM1,,0.06104178647596026,0.09576436861419643,-0.018081019046169974,-0.014152145713759468,-0.014279554052574231,-0.01867003041126483,,
PDAP1,0.04842813327838852,0.06952842156448118,-0.07783820116139045,-0.04803399311340263,-0.016579030937711837,0.02399499771396828,-0.01582525263290602,-0.01006508088149827,0.0054113057032966145
QDPR,0.07331827639246057,-0.09266948845392037,0.03656234652372211,0.02102327189429867,0.02757443290331332,-0.01918438975397105,0.043213449834558694,-0.04225750167844979,0.09600345970383667
POMC,-0.06806866313047544,-0.06262470866428728,0.04012947503263176,-0.04235737210092946,-0.02517943408372532,-0.02335947458737537,0.00016957285531702334,0.035628877054698325,-0.06180827016770187
CCL18,,-0.03815043972619257,0.018737309241280354,-0.012772078972169247,,0.009819380317223845,,,
CCL17,,,-0.013311994529180741,-0.026101086109286277,-0.019299569326852867,,-0.012162466330047321,,
VEGFD,,0.05941454524740405,,0.02728554901497373,-0.022899256883817175,,,,
TNFSF13,,,-0.025543718009243536,-0.014196786264974432,0.06572367773642333,-0.016034982149125993,-0.019817723724995545,-0.05259690578083558,
WNT5A,0.009410618918832138,0.03043106388377041,-0.04095981089537247,-0.016099181608560373,0.042917664164132986,-0.030547192465160564,0.03175895260221413,0.018598281720688295,-0.013436083650219765
CXCL8,,0.048350598951921384,-0.058836489702800136,-0.07797991994900778,-0.02690751549619796,0.050784586463744445,-0.03247197818264415,0.11250354582424196,-0.09773268789840041
GRN,0.07851893388172307,0.06291179759719036,-0.05791808187224806,-0.05213178280892927,0.031000767657566538,-0.059021097823285275,0.012825088195972043,0.020383468264911928,-0.05821419874303741
MIA,-0.019956644488375693,0.05527172610789137,0.03160190620948215,0.05050187309837727,0.07412274343248225,-0.06122620929757935,-0.04328979300398379,0.06960771788244925,
COL4A4,,,0.01490749460505631,0.02628632342333204,0.007677408178531089,-0.0032979575975793504,0.0010628212677498377,0.05511034342092906,
TAC1,,,,,,0.037028968154903905,-0.01598879872247778,0.018780407882851447,-0.04512886252725058
RARRES2,0.03290476187747325,-0.038126777814008736,-0.010984709070465767,-0.04236121962373104,-0.008014858614667152,-0.061159783011452265,-0.015297810245872394,0.14593897689761604,-0.04419917807236865
FGF7,-0.005512486966984548,0.042990006501861834,0.0250319522515017,-0.014013791830721014,-0.022841795235471602,-0.0020772107896421255,0.06503136755441119,0.022253741768985025,-0.04453245241980578
EFNA2,,,,-0.017184798565951485,,,,,
HBEGF,0.04035847686287055,-0.13029371728342995,-0.025981138622182594,-0.003459186706626545,0.0018361968272342754,-0.06264264157681622,-0.01730359815746563,0.1083866467289877,-0.012259358021911824
CSF3,,,-0.015349830590958749,-0.03973415154944328,,-0.0204716913023982,0.050603932684625236,-0.0032516899184634692,
PI3,,0.022513182335231082,-0.058630973441204506,-0.07607539257047548,-0.03684755836525344,-0.013369827812467368,0.033255380884458695,0.10237373893090553,
PCSK1N,-0.03219952666802229,-0.03066156386871319,0.06603353156566477,-0.0013729285681579912,-0.01664429264280405,-0.004745662224955773,0.027375409563763057,-0.0335577527550633,-0.08937356679919833
NTS,,,0.07548780635886629,0.11825116966903511,,0.04515047694214446,-0.01896275619820401,,
SFRP1,-0.03260645105370482,-0.046534351692944724,0.07133701382879819,0.05941946344603084,-0.0350576854970768,0.031690427520702925,-0.01852210978519842,-0.022542801296605366,0.050560920608369524
CXCL13,,,-0.014993393151446379,-0.007098823762556722,,-0.03339358858861088,,0.09152779313759751,
MICA,0.024771938886930422,-0.03779776366044624,0.004774599318329014,-0.03538029894788224,0.10670675104886795,0.0005070331282784043,-0.04814159159885013,-0.0447637163981952,0.0015996101271522085
TG,-0.03236891426566155,-0.060280937637478146,-0.01768831253990431,-0.009886890283041141,,-0.016848516521772616,0.12080582257070423,0.06065317146948406,
ADA,0.011451877384457123,-0.048889410535511546,-0.02766136040147127,0.04690218249263068,-0.0057015323066905085,-0.0004893640562758498,-0.038964763832291666,0.08432556998649389,-0.05787633328835403
LAMC3,0.1405965955459193,-0.06728903108056372,0.003331709798349011,-0.006882572629153207,0.010739145254154788,0.025252413776281853,-0.044159576123831326,-0.008843543470337601,-0.05652384282623361
CCL7,,,-0.019951611376224743,,,,-0.013418609132138614,0.14439020435761313,
NGF,,,0.015980326585585094,0.0075036578013632565,,-0.03514542031070529,0.0027753059387888605,0.1535215455980884,
TNFSF15,-0.029835944997763722,,0.0023778358101501067,,,-0.012712568843214147,-0.008628728391519633,0.052427131517483135,
HMGB1,-0.03668940176844265,0.08770933951427567,-0.010420762158422352,0.037520492981406944,-0.07318534620960464,-0.03894531486170682,0.006543032290766782,-0.1004908906532964,-0.004375355409553209
ITGB3BP,0.15566494593303226,0.030948283446335843,-0.06746369333542453,0.021855125236442757,0.05456002439809276,0.011732428561761179,0.03971238672672155,0.07257837189443674,-0.06445893717775035
AANAT,,-0.05195565528268324,-0.01750319282192126,-0.023126084442103446,-0.05364390633091573,,-0.014197448047031828,-0.03775643633467086,
RELN,,,,,-0.03603319180375786,-0.015355405471922736,,-0.06957624260645141,-0.0020239298553729633
IL15,-0.050929602921819576,-0.059884292568226125,-0.032066566385044425,0.006947015979714301,0.03540361165203435,-0.031009867967415932,0.016635656691102056,0.05181217962216148,
UTS2,-0.0551407631132894,-0.010369888182583744,-0.01490524970433615,,,,,,
BSG,0.05224879093677415,-0.13082640427591413,0.008630931782652363,-0.058776473104099856,0.07745178349783516,-0.010670340944281155,-0.04560097188383162,-0.007553179217778815,-0.06034598574918708
ADAMTS3,0.045831811567552685,-0.017405139356026875,-0.03334298664189433,-0.050068415407755654,0.002252446686968725,0.01980489966626394,-0.0014059520626010335,0.04581277702009414,
CD34,-0.057004258408984085,-0.1095727645776998,-0.06476344601258192,-0.009768154511920259,-0.009378037970501997,-0.02707647910505056,-0.018407423829600623,0.06196659556476522,0.031221829890806376
CCL23,-0.0022710475120201524,,,,,,,,
PLAT,0.012088534575696664,-0.11876022176002432,0.09266743104149705,0.054405755055468207,0.019530457739857694,-0.044996004385444,-0.016245288539893685,-0.037753013586381674,0.04867958820522272
NTF3,,,0.02672928955045374,0.010307976300747465,,0.05716186761470555,,,
LTA,,,,,,,-0.019107625464533415,,
CKLF,0.016864747666612567,-0.07426912277485508,-0.04564160594179772,0.035933656758506356,-0.004213171421154506,0.004553306158973933,-0.057093225179187766,-0.04312208619504804,-0.08166296948630941
CD24,0.016547710825446697,-0.05206585627494275,0.004990423890685771,0.054817997124957364,0.03031572714151727,0.03950877683135971,0.07576816821208293,0.018736914769222245,-0.03765041964912454
HSP90AA1,-0.013687969416139924,0.0718019001891285,-0.07626499838640413,-0.07955220541150229,0.05334681473418727,0.012103406233902632,0.032381264635228904,0.014923410456073469,0.026069452115764252
BMP4,-0.01309211063399299,-0.03926704537737004,-0.01990089643194407,0.032522909902181964,0.08631483851732497,-0.03515738940408829,-0.021883441945572152,0.10219620937300103,
SCGB3A1,-0.034743657981677216,-0.04298069307867087,-0.03036719596668429,-0.00803045400521281,,0.030489311025343486,-0.028135235783613394,0.005321398101420494,
IGFBP4,0.06950729172707386,-0.13648636848516163,-0.018556845006700098,-0.021690096994587675,0.023144356682994513,-0.043946416839382545,-0.01832595260160607,0.014229684259405403,-0.04331568345402276
RSPO4,,,,,,0.06384163772522469,0.12598205919680175,-0.02696072369866081,
LEFTY2,-0.07223010770623511,-0.05351309802500797,0.007962595307295433,-0.019759430806983634,0.05100291029298266,-0.024178636014377645,-0.021563609749300473,0.009386528952910695,
PF4,,,,-0.015751057644724748,,,-0.019107621042887154,-0.037295113992740304,
ANGPTL2,0.053584671512063184,-0.028180277421271216,0.020095960729708977,0.0820348004620491,0.05093841333290901,-0.024152000596587488,0.03474199118809698,0.021476402346962187,0.14850809749966706
LRIG2,0.0361583733158349,-0.03591768585107644,-0.003381668337516615,0.002928290227183218,0.023714494347419342,0.00876904800712853,0.009991719649092694,-0.014852383554729127,0.008827390852887397
