,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.04075884478450099,,,,,,,,,-0.018219036263934077,,-0.06252588601038307,
BMP1,-0.03351787766495786,-0.029722164817609732,-0.006641892490422565,-0.07379515851997746,0.02460316956155314,0.03833067099548794,0.10048189785194621,0.09821925749131057,0.12426311971591684,-0.07466393909878713,-0.04898282869974795,0.02465303486796599,0.05875437554398479,0.14670315567181744,0.27813327399551685,0.00032871911235529114,0.054353042012877814,-0.00821516447177654,0.016175622950288203
NDP,-0.16907727056969515,-0.03334767451662747,-0.003473506129844132,-0.0410958546459629,0.030176522222306948,-0.0806881979822321,-0.041861978249667114,-0.06578776480840393,0.02972173281497134,0.014472517481315299,0.018275104709424218,-0.15632737583931444,-0.06621631465962384,0.03652762887812614,-0.0871172411232377,0.05925174299847678,-0.008217159777565722,0.028871221603243423,-0.13158500960952976
TNFSF18,0.04098042918659151,0.0422098947957031,-0.02904320406815008,,,,0.09179546701740879,-0.028713824636769584,,,,,0.16272402704241226,,,0.03575725566699625,,-0.027307400635571022,0.030462161557999343
IL36G,,,,,,,,,,,-0.013552785130707073,,,,,,,,
RTN4,0.07099477062249777,0.11779763568353492,-0.04741152189593299,-0.10654517105854203,-0.01839295893708406,-0.07570177940396397,-0.042232585031057514,-0.11997145766262263,-0.19500998643994183,-0.03609102640604348,-0.02341317942681083,0.12053591587201205,0.06853050582703873,-0.11601103816943586,-0.005777245425861463,0.023033200842555564,-0.04387571268242994,0.0017248037126271739,-0.2059130692982843
HEBP1,0.07511313530917921,0.0232765496297552,0.03303695543679179,0.05901850435728806,-0.016443208953279255,0.0517579816376197,0.07180016748456963,0.008345106057843485,0.13179703545261642,-0.0684577403318138,-0.000996334551958431,0.08973540059512115,0.007061048808229469,0.02606289311982816,4.770987823748704e-05,0.05959064080417862,0.017085697712791264,0.09496044259419627,0.06343338327430453
WNT7B,-0.09694713439181375,-0.013586078088166536,-0.018040738063924106,0.04944507168258148,-0.01740672182863952,-0.10091749367538136,-0.05185900020320108,-0.011830908805647135,,0.0026317835263311054,-0.01489607270057246,0.0215008905499965,,0.057314786649443006,0.032491773213358534,0.0013522960655577225,0.013385636801879996,-0.07966224616674164,0.03869082737183962
PTMA,0.09466278193353607,-0.1427663077755336,0.01710532742779208,-0.2696403392690454,-0.01672558859697617,0.149140507862998,-0.12708519416764755,-0.042280721471171685,0.21117493763112974,0.018316821377321563,-0.027006339772120504,0.013523301267937,0.02496649963946175,-0.1119526608312248,-0.007031002300186672,0.03439025264069195,-0.02375755543593512,-0.02668426244234102,0.28305457074982787
FASLG,,,,,,,,,,,,,,,,,,0.0473198804179361,
CEACAM1,,0.08183401666340842,-0.01384518138673276,,0.06454676718975401,-0.04058654561830142,-0.013517057244669294,0.03908728142723899,,,,0.03403094652222326,-0.001796217540003832,-0.004605442497367493,0.0013496241023227377,0.012298684521757995,-0.025859599645657393,-0.029495374345297577,
PDAP1,-0.03998751852947645,-0.12157722880791412,0.050864795310823434,0.05775918571446953,0.00046435640854917504,0.1193914177845073,0.06298054775032147,0.000816815125638106,0.05887892139548225,0.0876542447615701,-0.03848539240632097,-0.08323799988532855,0.02318926040068474,-0.00026111249300828397,0.11778643420181009,0.03663802508267607,0.04648867953063671,-0.016544462930216126,0.021148896241286116
QDPR,-0.07831269656330193,-0.058371328589754724,-0.060096543954974435,-0.1351512186785212,-0.0759935523111302,-0.14649007537108213,-0.10090274326120667,-0.10116913478183431,0.0712558352806236,-0.02880148335689747,-0.04945374231514348,0.040892292940169966,0.051028769611579906,-0.09862726623774044,-0.13433823692937555,0.08687810535570493,-0.035284327512691165,0.042491710091244646,-0.2634324487892392
POMC,-0.00289715835194823,0.05530091981981323,-0.024600678428021782,,-0.023074256471812167,-0.07353293327560596,-0.013411531739981034,0.005803903333486254,0.1182540496455757,0.10300138590208543,-0.006028900875761728,0.21985150560992237,0.20941522866522047,-0.11091070171212812,-0.10194171487309803,-0.041117319304394856,-0.02300323313687808,-0.0015899957776308398,-0.021179558160339156
CCL18,0.1631036127636006,0.09096494736618861,,,,,,,0.0966535669619217,0.05997966033305913,,-0.057055258801551934,,-0.0037034836796384783,0.07240125585673861,,0.10945129209318147,,
CCL17,,,,,0.005018598861978665,,,0.020167853505923136,,,-0.012380853980340317,,,0.23269075279933865,0.17241551850703157,-0.024020746891019313,,-0.02178504852154314,
VEGFD,0.06543456939063601,-0.015208936176671121,0.048034092538572444,,0.05315355761969634,-0.010089412521076653,0.008236981555223514,0.061763684954377604,0.019991760292356723,0.01184065981994579,-0.013268944687090433,-0.0071131802185291455,-0.014340460401570278,,-0.012587286834685772,0.014653967551348027,,,
TNFSF13,,0.017254818056401427,,,0.08017939895075187,,,,,,,,,-0.09083236084258314,-0.0958065158353913,-0.025759144602917287,0.021840698322728575,0.0085366100462838,-0.0206314690273025
