,UKF260,UKF275,ZH1019inf,ZH8812bulk
IGFL3,,,,-0.01821903130687888
BMP1,0.015215845982921328,-0.002492798012004279,-0.016008317023199506,-0.03796577895587433
NDP,-0.04474579979121586,-0.015418266497251903,0.06727272600050713,-0.04240026602362812
TNFSF18,,-0.01049288624192166,,-0.018788965401996545
RTN4,-0.061797564754121605,-0.05940958393521436,-0.05455158450583644,0.03289152312635202
HEBP1,0.010631009980712558,-0.04122776401082159,-0.03251572222932249,-0.0015862696674178874
WNT7B,0.0661901357876745,-0.01970769199897992,-0.029509551888077,-0.0392892466433252
PTMA,0.08071099559421388,-0.04939735955271312,0.0239277192264146,0.0764435805024947
CEACAM1,-0.014562087195443489,-0.016502810295889174,-0.026464638797996168,-0.026997781688130978
PDAP1,0.04550481654804257,0.017749150839818033,0.0045901342246933916,0.017680455964790627
QDPR,-0.0223349423926069,-0.021581879768563295,-0.002119797126456668,0.06946167393230254
POMC,-0.02930236296507703,-0.0121751154372274,0.030655971103223056,0.02792018424048044
CCL18,,,-0.01876386402818056,
CCL17,,-0.01308667204587775,,-0.024020740355428383
VEGFD,-0.013932180550038826,-0.013942742178932198,,-0.025334467089829095
TNFSF13,,,,0.2734139976230244
WNT5A,-0.004238408775988209,0.02714469491916295,0.02894848149190299,0.05602856679184148
CXCL8,-0.025480411475525995,0.006146077095271101,0.07326393850970565,-0.034104215152811306
GRN,-0.03959679189425704,0.010475489503863037,0.027966701966819083,0.003304766247310434
MIA,0.03528482025626859,-0.025722027015476465,-0.04568676249889064,0.04945088598626409
COL4A4,0.07699622976964994,-0.013662890500143795,-0.023723386962321458,-0.02337626533798047
TAC1,-0.043950987631133184,-0.0073258263648927,,
RARRES2,-0.04817202553960147,-0.039798805053512194,-0.048668293019305066,0.0022310206980219825
FGF7,0.0033980941902131178,-0.031146305756229595,0.004912553953388048,0.022762697039622973
HBEGF,0.03619361424538394,0.04548654786619934,-0.015708905839588696,-0.008409910193881417
CSF3,-0.0464183542820518,,,
PI3,-0.03312308320834215,,,-0.02040953662617999
PCSK1N,0.03256053495988745,-0.032886278772897785,-0.07188696808057114,0.03483760282378682
NTS,0.07436603461739111,0.002051770925360986,,
SFRP1,-0.015894205276760564,-0.009009116241459919,-0.05361965476901309,0.04299979747819341
CXCL13,-0.015751360407543286,,,
