,UKF259,ZH881T1,ZH916T1
IGFL3,,,0.0002467241555114048
BMP1,-0.039763205283144705,-0.03751442895226729,-0.0028555617298731194
NDP,-0.04277372422812206,-0.04860050734591312,0.015285455423296504
TNFSF18,,,-0.03405321666672367
RTN4,-0.01793561283296395,-0.014165469620957433,-0.0012799505479329635
HEBP1,-0.015407491285131985,-0.009076980008641176,0.10673870400806533
WNT7B,-0.018627157557384946,-0.022338912311980718,0.04398949926531832
PTMA,0.10122369751462754,0.014576634514180481,-0.07400479878924447
FASLG,,,-0.01750887579330409
CEACAM1,0.0014453564547907188,0.009893949832775126,-0.007384915733871671
PDAP1,0.004602061477878712,0.0165397918767342,0.017152086806671307
QDPR,-0.017847301947216666,-0.040599593980165105,0.050378259337538187
POMC,0.0064443345315881966,-0.024254469669081048,-0.0034455250761092366
CCL18,,-0.034616916818560786,
CCL17,-0.019144495157083448,,-0.0158698293163733
VEGFD,-0.02132908172623972,,
TNFSF13,-0.013205444292902605,0.07314395752157898,-0.009226668273678398
WNT5A,-0.029494667324276365,0.03703471710017321,-0.015871223366990293
CXCL8,0.10933854849870943,0.007649727855948044,-0.03791859016804344
GRN,-0.04990138760828112,-0.02948859337802879,-0.09890941774965402
MIA,0.02387325004565395,-0.04949352056686211,0.08217772814203984
COL4A4,0.015527838921651787,-0.029880846467045006,-0.04660469981098409
TAC1,-0.005473018438122399,0.005218996675134915,0.03836420742468546
RARRES2,-0.020727446499723207,0.002396560062188878,-0.03250549999415911
FGF7,-0.025345712780403873,-0.006253635103610457,-0.0039500008582107485
HBEGF,0.024097888163463883,-0.008915238546100318,-0.04744989285667357
CSF3,0.1590861047910282,-0.02125604383401487,0.08328362106685518
PI3,0.10011864685901896,0.0019102958198906133,-0.03630198066740957
PCSK1N,-0.06379488941839342,0.0011384797689835764,-0.001704822467171779
NTS,,0.02335583776161849,-0.007646088879366703
SFRP1,-0.016704312028031222,-0.010363370685792744,-0.024168019289314897
CXCL13,,-0.03467303078819964,
MICA,0.085444621892639,-0.043412798690162076,-0.015811010357996126
TG,-0.01802659921328595,-0.0174940507081097,0.018683476143413022
ADA,-0.03396530845941875,-0.03423911040088338,-0.03870140886345541
LAMC3,-0.015692741706030907,-0.006467182405218566,-0.05396263236173652
CCL7,-0.01303320242957989,,-0.017508869567356845
NGF,0.028542510378008912,0.017939375529848804,-0.05242102777571322
TNFSF15,-0.014513108351102467,-0.013199638299676601,-0.04626146476277608
HMGB1,-0.05182197629668333,0.026319102526086345,0.027035850563076166
ITGB3BP,0.04085834229294335,0.040616770956012564,0.005834318268977063
AANAT,-0.01320544570229454,,-0.018525114160262257
RELN,-0.022921696445095632,0.007465673418270638,
IL15,-0.04583570912261532,-0.03219798027753523,-0.02495154133489815
BSG,0.03934640225924123,-0.03147472845950355,-0.02649671457916826
ADAMTS3,0.01094843110180095,-0.015082045448672848,0.044741628903721097
CD34,0.01849412103728646,0.020374207659281218,-0.07629068516338705
PLAT,-0.0324364522527211,-0.012988842818338963,-0.013940711842860918
NTF3,,-0.036906806925673795,
LTA,-0.01670431124657725,,-0.024932011858005573
CKLF,0.003679203576955774,-0.006955247087468251,0.0838461584373249
