,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.17169680399193618,,,,,,,,,0.022812809392124836,,-0.06789127601686798,,
BMP1,0.07893858375309226,-0.035798356498046795,-0.009242283076687714,0.029982787710901536,-0.0254128582888824,-0.028421146722196262,0.022947574250396698,-0.05269718181740108,0.16557080781549224,-0.033150032841359804,-0.04357656166634648,-0.08416737891075127,0.1343104643880086,-0.016365561134562445,-0.12430441009934708,-0.061162981789845555,0.039979685545892506,-0.18160412625919314,-0.02848198078828784
NDP,-0.018538614697855213,-0.02829649884012995,0.05833314807159175,-0.10963184695384841,0.02432022676580097,0.03988314794824781,0.03239477052313111,-0.041813386015919385,0.04490616837187687,0.03393258798058698,0.06723704363519468,0.01991536637772746,0.03433717813045426,-0.009752070570834827,0.012846365841559876,-0.016676016584601255,-0.05425934871732705,0.10207969395864128,-0.01789841279613478
TNFSF18,0.04407132885034971,0.009619663029178433,0.015048638788851487,,0.04517465252636746,-0.02129032296822314,0.014796277473756106,,,,,0.0583909627251098,,,-0.06613899873769173,,0.005159519376815055,-0.09842458386628697,
IL36G,,,,,,,,,,,-0.026379875037958734,,,,,,,,
RTN4,-0.04347619792170421,-0.0218940106098032,-0.016513580291253604,-0.08292838466815082,0.038191158031199074,0.027459041761871417,-0.02146281748511619,-0.035721416295989225,-0.05757018180601994,-0.10384692331488272,0.013902095499169773,0.0328377955977828,-0.053321093013598886,-0.03879656924131067,0.07200147611695873,-0.034868552864214065,-0.10879433752692903,0.37515244183428165,0.04062885626412418
HEBP1,-0.000669258004944837,-0.020070787115240456,-0.0400313960384896,0.020976601906216263,-0.0008822543951554361,0.01244491410996109,0.09400341951076231,0.06869330688283902,0.08077001257412628,-0.02453260889342327,0.03645424929161883,-0.11574272454767953,0.04048539541754734,0.029601488062670968,0.04498222689556701,0.04557222326000836,-0.12066736571513055,-0.03646253918326747,-0.0028821131438662097
WNT7B,0.05744323152225859,-0.043729108133879695,0.04192907463557924,-0.06761177915031558,0.07698183344078953,-0.05934125972550638,-0.005744127505283954,0.010602043953266062,,0.06502055808189819,0.10133548587872797,-0.02188805836528121,0.0406104421871573,0.0907846625049021,-0.05120070130411729,0.04041983730370863,-0.10131910160589659,-0.06785340399448528,0.10555051919441004
PTMA,0.004293036714652686,0.02030147147717622,0.05176582141573438,-0.020951091416496533,-0.060288141271679536,0.05205703865949207,-0.05747925963942037,0.04201852696993531,0.1267210145476713,0.03775908010905094,-0.004064496504005995,-0.09572270775003024,-0.19003524156237464,0.07790976741252469,0.11883169690264678,0.029364132756383922,0.12290641316906598,-0.2898670612601524,-0.015511749227476624
FASLG,-0.02693609101037776,,,,,,,,,,,,,,,,-0.004642526367829958,,
CEACAM1,0.002213604141645716,-0.02656571912672768,-0.000270017989741302,-9.043164054782442e-05,,-0.02801685242005522,0.027213102351071376,,,,,,0.024362469118669305,-0.030607725805483006,0.019415973241402474,0.03760800447340202,-0.06322920360043263,,
