,UKF248,UKF251,UKF255,UKF260,UKF266,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,,,,-0.024031208067538216,
BMP1,0.08948985655596679,-0.01313891680326839,0.1778780697567456,-0.007856882630128799,0.2608879228256329,-0.01191670825144076,-0.011090235904328498,-0.05993599008691763,0.020207825940617822,0.07129970408243876,-0.03596342599945963,0.06538584038676783,0.1050238838944599
NDP,-0.00408092145184192,0.021480407651009864,0.05212610642091848,0.0705905533639436,0.03810748281082316,0.001046314460160233,-0.006685581333840623,0.14595348372946923,-0.05406229827653672,0.07398485285781228,0.12062322006279004,0.007910564622839376,-0.030634606000916074
TNFSF18,-0.010237015028116959,0.0009209869133949118,,,-0.013377814511728155,-0.010176854143911784,,-0.03504324491952335,,,,-0.024782960704320033,
RTN4,-0.014879292072979612,-0.00942794247461923,0.020130671841713056,-0.08432703362512182,-0.30929800855953304,0.031024053990434047,0.024999323849152457,0.020884666967109382,0.001398925634301707,-0.1414072529193675,-0.043112824300387986,-0.021016363367162602,-0.05499662239263115
HEBP1,0.015209516768331821,-0.03797586254407329,-0.02427674325051034,0.008767659743718268,0.13879146235950585,-0.0005187227092877456,0.03723386977243535,-0.06513174004187594,0.04231028649058733,0.0641245395447566,0.06189469245606579,-0.03878660079995832,0.035826883912130764
WNT7B,0.024078771446237972,-0.015709239525174813,-0.004887458266828603,0.07365294123929127,0.0013618699910710856,0.022151317259866257,0.03383972352713025,,-0.0002287282694325716,0.0051414986721351075,0.06631462098068452,0.013446839149160896,-0.007643950472952877
PTMA,0.05896195878564859,0.0543393109846642,0.227450857405685,-0.0060039974567520265,0.4287904059502397,-0.027204116707820625,0.0243137370703042,-0.06493328782005423,-0.034268764186310384,-0.10393787851569895,-0.05337277753094171,-0.01832276046248595,-0.017355412054801518
CEACAM1,-0.014633750812334232,-0.012055896488437145,,0.005524837354272911,,0.10465729170577541,,0.011683520296491544,-0.0379894163105359,0.014415653799749888,-0.04102684588241439,0.1076293577581284,-0.03053742199299771
PDAP1,0.031041888769090205,0.044973626724561636,0.05514914841859308,0.0032947500219394493,0.1766952757867458,-0.0021847160609983866,-0.004727034720361855,0.02468628670480705,0.012966786302034928,-0.05172812238681662,0.011392330062163803,-0.04329222542959023,-0.02181262147141323
QDPR,0.035642126874295785,0.008002959389297865,0.06856213326720033,0.03767921387173,-0.14710233367261652,0.0002960834553464046,-0.015220360255420687,-0.1284837041184793,0.04862897473813256,-0.003006779895850107,0.17682867501688582,0.0260285995351099,0.008834760680117239
POMC,0.08260210254527765,-0.005706640319823486,,-0.002242134561140775,0.030937191717651656,-0.011808416781926364,-0.02663096590319437,0.04521224516738804,0.02404294744736383,0.024204846012364983,0.010990844171479485,0.05798585155312499,-0.04049978871275572
CCL18,-0.03404605814623193,,,,,,-0.03412141494716721,,0.13335276746303878,0.1566553398720923,-0.024023589660074608,,-0.024907173043696718
CCL17,,,,,,-0.012692518490099896,,,,0.03743868073856904,-0.034330832056559436,-0.03168375967385612,
VEGFD,-0.012670065282123605,0.11646670129446728,,-0.010977823645294975,,-0.013522804903217318,0.003110603330277275,0.03231135488031482,,,0.029967954786187318,0.08790938198249508,
TNFSF13,-0.02569225616723603,,,,0.06293509946497737,,,,,0.008425555982411577,0.021650725568471845,0.024425792804448666,0.03648708125836505
