,MGH258,UKF248,UKF251,UKF259,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH881T1,ZH916bulk
BMP1,-0.07064895480643163,-0.027876824852605574,-0.004650843568977169,-0.028724438238797712,0.0408018880484448,-0.013967085729554457,-0.024585995207089085,-0.06417619154147891,0.06730755718709494,-0.0357279871504227,-0.0024499891635796694,-0.03345222271487256
NDP,0.024903570639532396,0.05190845118751134,0.0115708269566841,-0.04533071534888459,0.020880991456316687,-0.000564176468629114,-0.0027474005681086392,-0.07286405148416605,0.03467674602592936,-0.011910039092998306,-4.92529911603688e-05,0.017977587149677666
TNFSF18,-0.019279987219288242,-0.025492538930228813,0.04530678370417365,,0.0238372672950498,-0.010176854652504733,,,,,,-0.0021793138386615872
IL36G,,,,,,,,,,0.060559632124753494,,
RTN4,0.015334717261223839,0.03464549032182705,0.06266895507767802,-0.03766918299875337,0.03709107762008415,0.06184793431363242,-0.00692634597170182,0.22574761693281892,-0.013794538446939628,0.015743572749955526,0.004604157668142754,0.03247941492151861
HEBP1,-0.05378114842968009,-0.030288583807968106,0.007699820340116456,0.006945892585909025,-0.04401185758422387,-0.007707716710334499,0.046699295623510384,-0.14328120746803663,-0.05517344047176955,0.04087146096038871,0.035812671664364935,-0.05713869711826964
WNT7B,-0.01698506487420097,-0.01723687547439112,-0.017018621364137284,-0.021402241720592945,0.029071520219035925,-0.029171006521779525,-0.013333400312758736,,0.03521005723762591,-0.0005379615187412098,0.12395657582019048,0.010613183831808055
PTMA,-0.014473941329238226,0.0034532066780079227,0.1161473009348083,0.048400314803193484,-0.03815762151665481,0.02787138001292091,-0.03693132325329492,-0.22904455293165032,0.10158724722799121,-0.06326295784433686,-0.030209743523363756,-0.03808101553207026
FASLG,-0.0169850696758353,,,,,,,,,,,
CEACAM1,-0.02358391789291431,0.007913879889619902,0.1096378099750024,0.05684637824832578,,0.08769869743572842,,,,,-0.01351765766452986,
PDAP1,-0.010844717451827761,0.0452711404523627,0.01864475564096459,0.04033462510450685,0.016712708758745903,-0.009565945398798908,0.01734274518712098,0.05550429609127371,0.05379896251595389,-0.0274070977871287,-0.010752281676362361,-0.012526139093681773
QDPR,-0.043446547281830596,0.021311544306504913,-0.04251003601685389,-0.01575709896235812,0.036283890666047744,0.03487967986209306,0.00011260383129583701,-0.22472607323250648,0.0409049678324093,0.02318585673520841,-0.04602385348877433,0.025653531340559237
POMC,-0.012469351489030285,-0.0029751154467899657,-0.009142003814417536,-0.02301417038650316,0.03867601976808961,-0.011808417372057406,0.015672058055033515,-0.05537798234320262,0.012414521247019698,0.0010581564007104147,0.04382930687244692,0.07512950339916281
CCL18,,-0.027848139587098777,,,,,,-0.034953931801195194,0.03321779336689919,,0.04375738027669132,
CCL17,,,,-0.014324223175224506,,-0.012692519124414325,-0.016503011862312338,,,0.028092253102456763,,
VEGFD,,0.021844589976178556,-0.018706930210106942,0.0592067048106197,,-0.01352280557902569,-0.012105158778951292,-0.028054194856968362,-0.012008225354469779,-0.01661853293436492,,
TNFSF13,,-0.021015106447260606,,-0.009880528560688816,-0.016981002850311077,,,,,,-0.015179423569579693,-0.007992424266117817
WNT5A,-0.0012610392819251734,0.011292515290398163,0.005431088067784175,0.012725389386211535,-0.03843374650732787,-0.06416197849638658,-0.02112308450305886,0.07503364474373322,0.08157499983193027,0.0076566394356107495,0.002993503019976334,-0.034064538960527864
CXCL8,,-0.07686604785954952,-0.0175160606536291,0.15267545654158698,0.005837931783180783,-0.04703158482296472,-0.011272850204761795,-0.0639261295903435,-0.01893550146643477,-0.04333731690907942,0.023911453998550998,0.07465215826261497
GRN,0.020823389813550402,-0.05557030469312239,-0.026307597107088708,0.021752969006037293,-0.04827411142733027,-0.004621963263267386,-0.0699602687621791,-0.13761021555206487,-0.05269621454052474,-0.006090283882876728,0.0024011197272767694,0.015808088679161735
MIA,-0.02223199120683366,-0.009917577831890142,-0.016636635500420924,0.1429455818907219,-0.03070492813016355,-0.012754105112850028,-0.013767068788355685,,-0.036320914261285996,-0.022759842440432096,0.0049861920866023915,0.028298310087134175
COL4A4,-0.019670780304333193,-0.0334453893844878,-0.005149880516981748,-0.0181229654289704,-0.01615667398430341,-0.013251382655568222,-0.023127580705776453,,,-0.006401250694153043,0.028416820967902108,-0.04121432420177502
TAC1,-0.016985060434957754,0.04408298101153774,-0.0458987795030742,-0.034007605392644705,0.08663116027237737,0.07336191944127786,0.058105166706204754,0.15704650046245006,,0.08952850996254638,-0.007654806005398161,0.06415285928873626
