,UKF266,UKF269,UKF296,UKF304,ZH8812bulk,ZH916inf
IGFL3,,-0.015367752183482552,,,-0.019505708957662952,
BMP1,-0.02152865610735514,-0.07622868214949463,0.006326833453215379,-0.07191841410928788,0.01245729204843382,-0.03467778074746293
NDP,0.05835254048981713,0.04687719535142135,0.018814030190284797,0.003391495387424693,0.09780899314577839,-0.062451195945987234
TNFSF18,0.009138362247369585,-0.022820650639908586,,,-0.020115893352055905,
RTN4,0.03068032939848284,0.12247945103246394,-0.07577621162991412,0.07883562632673934,0.014194529344860684,0.08631246962075528
HEBP1,-0.032681955479110146,-0.026912262967783606,0.01516357967388129,-0.06363600589700076,0.012944077154297233,0.07044226298798816
WNT7B,0.01603305948529765,0.06272765043551594,-0.015983168917061228,,-0.01763138514209312,-0.04256269448430824
PTMA,-0.051190229440840444,0.08858854653114535,-0.0015644468726402653,-0.1089248720175489,0.026689299288318556,-0.007887936887688433
CEACAM1,,-0.030030676475046342,,,-0.028904438619213255,
PDAP1,-0.021768108144371367,-0.07205796337871813,0.005959437637674746,-0.0035070901565825026,0.13262459070295032,-0.056329091735932695
QDPR,-0.00378733001685097,0.10321852419908417,-0.00448666728349521,-0.07096465832814927,0.06645008700628045,0.03181405297492963
POMC,-0.0006646244489803287,-0.027583091280755024,0.0647265522838291,-0.06559222193504465,0.04106132495399649,0.12201465101979424
CCL18,,,,-0.0703524263621179,,
CCL17,,,0.008906365297668306,,-0.02571715051302811,
VEGFD,,-0.025745107211033295,-0.014510836920322958,-0.02295579643394038,-0.027123656210257256,
TNFSF13,-0.02244247152087557,,,,-0.027578318103328912,
WNT5A,-0.04489697078597872,-0.08174957927033859,-0.007123453919823663,0.07412624934997893,0.02943363067587624,-0.033746668448509085
CXCL8,0.05374179003521221,-0.05119119438118998,0.007739291521398299,-0.052308584337116076,-0.0222076371200975,-0.04927775310566445
GRN,-0.014982018435827894,-0.09192067278475873,0.007154823392991732,-0.13672348096209513,0.004576433266493427,-0.038066483157636596
MIA,0.014221340719466317,-0.04389940245340471,0.10748269220794367,,-0.013857651904600712,
COL4A4,0.015076441348129568,-0.015143779102847806,-0.02772376291062611,,-0.039615191518791906,
TAC1,0.05069825557814625,0.08732132715745453,0.01361808795010197,0.05180437323085603,,-0.004815392107124921
RARRES2,-0.08994611023934551,-0.10692611388236647,-0.006548836775023083,0.0010218185942538025,-0.02749866377903047,0.04692583526218414
FGF7,0.05964941664450306,-0.04315746467687809,0.01405182636262141,-0.030370815724310152,0.10814859947071095,0.0411047479508919
HBEGF,-0.05428681165292239,-0.06550975571717352,-0.03726522054826687,-0.07765297327098578,0.040265319788515774,-0.04109573271816847
CSF3,,-0.016021826809260613,,,,
PI3,,-0.018040788452452213,,,0.02450324634626343,
PCSK1N,0.04813252072484383,0.028685716515709482,-0.009853778493892828,0.08136903452103382,-0.015981226553419946,-0.11330116670635396
NTS,0.03198270988559386,-0.019692752435994706,0.035961084785164216,-0.020667590814395273,,
SFRP1,-0.0567094374995889,-0.04171630379703999,-0.019782682789444648,-0.04529027020680576,0.09583163336004608,-0.15200366266607043
MICA,-0.04100108964656173,-0.07747003866695426,-0.013633136942674004,-0.0072152692310262275,-0.01662647839156651,0.02183249346378098
TG,-0.030088404304070334,-0.019336911518371205,-0.01431664148184449,,,
ADA,0.06655296380121054,-0.09938708580281784,-0.023251377111589738,-0.05894917409289596,0.0614934362538739,-0.05967275798104007
LAMC3,0.04365043658524795,-0.056034184940110796,-0.021090160286418767,0.015143318691301805,0.013186068068971504,0.01236328081977969
NGF,-0.02871240792833496,,,-0.020667604422632553,,
TNFSF15,-0.034863157933979504,,,,,
HMGB1,-0.03522943198101033,-0.08504342214180197,0.031001470752005145,0.026377333554738844,0.03241340709663793,-0.05823037989706324
ITGB3BP,-0.04026438919540708,-0.046843506342075604,-0.02057750816095077,0.05238765782789383,0.04389107888159841,0.03686127055103974
