,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,-0.01929671347981722,,
BMP1,-0.003924228846494491,0.002317523578127813,0.06806283782754191,-0.03751497383116558,0.015983734026759937,0.0048017478050068575,0.04955953308568313,0.017817816420685022,-0.02625336839492187,-0.049950891967996236,0.11329783319294685,0.024387359229811625,-0.02733765254251275,0.053503910197863755,-0.0398157390621991,0.04290703820435367,-0.0521031606088146,0.04562597184799358
NDP,-0.015418778083945069,0.019405132254711653,0.022358374026373733,0.0074639535899807844,0.0312141115683549,0.023793996673189027,-0.030024429937620223,-0.000533938176720281,-0.008454622369515446,0.014469217636950185,0.002754725668036243,-0.05947570505370813,0.05077090120649079,0.015510666292129464,0.08916813751747295,0.07474029947847274,0.04698009300439838,-0.07564515125298503
TNFSF18,-0.026427546679245198,-0.019637091288411665,-0.010239322155761392,,,,-0.015079732049354725,-0.013506325325882383,,,,-0.014711537866606311,,,,0.10765387422893984,,0.04330989429503042
IL36G,,,,,,,,,,,-0.016310187375912798,,,,,,,
RTN4,-0.004753504395633475,0.03361031608462001,0.03537500992385629,0.0348304250298995,0.0318571888796899,-0.018478713034996597,-0.07128809127445941,0.0004286293685848184,-0.038172168050068594,0.0230245978017428,-0.033581533311500246,-0.11977205999402614,0.0760469125862797,-0.07630456671001427,-0.0933352674843493,-0.05918624233879333,0.034545404935579435,-0.07116286761296071
HEBP1,-0.010157628367710865,0.03988872999400692,-0.0011511910400666108,0.026589026456626058,-0.014405032116678158,-0.009448666034785865,0.06095658170692221,0.07784810014287481,0.002769550089512721,-0.05531505383665101,-0.030168578321599734,-0.05116834442053862,-0.04883117822072266,0.01191188895608457,0.06080919068611713,0.010709182156285036,0.03903746269376403,0.04406290853755509
WNT7B,-0.06168218772240319,0.009332606231039426,-0.019571378531635483,-0.05262566732786313,0.04764524030157297,0.05752675721749799,-0.00045189036352364314,0.02053329821649756,-0.011878754061994292,0.10578715031206246,-0.01792677553494723,,-0.029991950636248366,0.013588564086899785,0.1088291919190399,-0.016081419298409876,-0.017857226402369086,0.06525178911305511
PTMA,-0.10793859260624519,-0.023059411614757434,-0.028317467684926295,-0.018360236397258433,0.01758615768866951,-0.01935481028238704,0.10827729163679267,0.04225791684403284,0.014976749429065475,0.006499624166043686,0.060171348683884456,-0.0026826789423542554,-0.06816425812090789,-0.08531871296619344,0.01723773776852501,-0.07939359663930841,-0.02277809053327722,0.0696588055547299
CEACAM1,,-0.019506063426587724,-0.015019855883876249,,-0.021410298956362588,-0.02406768323632116,,-0.021242232071199903,,,,-0.053299949073208494,-0.026897261722104982,0.015441356184567878,0.010641005488044404,0.0067124304565935895,-0.03240107282908726,
PDAP1,-0.024611951381611156,-0.01666121651637845,0.03421957087568369,-0.038408998416031556,-0.01635536466998597,0.0626807556494396,0.06355100049738964,-0.018438989629987853,0.011083252936505618,-0.0349590879216302,0.020181050601735567,-0.000218303952031947,0.035110133758542904,-0.00839035036886602,-0.02318876394855054,0.009747471036735582,0.032727133716852444,0.08561771066164915
