,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.007826753055285313,,,,,,,,,,-0.025215867466438,,0.016325229050713513,,
BMP1,0.050772894891189746,0.05580259818744027,0.0026103248291401487,0.039937560148724245,0.004566563931662166,0.05812254345639631,-0.0522196136640321,-0.015586491815113616,0.014941987454659144,0.0878760503065657,0.019129274503539073,-0.06154924167643836,0.0368973316003113,-0.07688328011519256,0.013654755685784618,-0.01899172569232631,0.004378203079506327,-0.0051424554428092795,-0.08924859361219745,-0.020801794412892163,0.010901862883636882,0.012863482075013678,-0.09454492565673878
NDP,-0.03656592970550963,0.07721388252114979,0.011527792668658199,0.03503004783571767,-0.002992419256775483,0.02264703492729024,0.019064323333630125,-0.03941751913256143,-0.022585127713595794,0.01700230776923007,-0.04226384429569018,0.002613515623474581,0.0683771901801672,-0.04663542630846345,0.10622937684750808,0.05636024831421941,0.01309938008140604,0.06525316887398336,0.04472905846012072,0.04523609716583255,0.10169413549708652,0.033434328956592825,0.12112607821716254
TNFSF18,-0.020634600393495503,0.028147576872137862,0.007472090324680187,-0.04536991653809205,,,,-0.01668935622251513,0.017949280247764765,0.015763609715916862,,,,,-0.023682922094446064,,,,-0.026004679031939024,,0.11326201475570305,-0.030335018363958664,
IL36G,,,,,,,,,,,,,0.05397020632296404,,,,,,,,,,
RTN4,-0.008563448432787208,0.062135535490365615,0.052027759299469664,-0.0005273721441452582,0.004143282447354923,-0.0501329099764771,0.08105082636601466,0.057041734926699374,-0.06319110386348002,-0.022397585146833286,-0.02275813848804124,0.1945658262417796,-0.012202564680370757,0.020115827684374775,-0.011267976318521625,-0.11228111597625974,0.04298810760372246,-0.06255156611810575,-0.08787021079768322,0.06774663535258789,0.03500945563410302,-0.003888291398287609,0.0193577666159418
HEBP1,-0.02179316906341845,0.10850518677674463,-0.02780631444457439,-0.012487293861621096,0.022966412593220766,0.02799624996759377,-0.031034918467498535,-0.035872732933619915,0.03866781130626277,-0.04746250207665275,0.040198784668933715,-0.0311049159159756,0.05156837162240623,0.09074872465618013,0.034789159983197794,0.013356581164367528,0.029052312787288793,0.051188689988570894,0.0073034526875816515,-0.015338512745987026,0.0799313005277654,0.019969498793211693,-0.04340873949248772
WNT7B,-0.018178436653013122,-0.009071987118945964,0.048647372590250815,-0.016832643954757986,0.00848034937354578,-0.003618884192947736,0.004962195503078811,0.0168043987604165,-0.006681596109371868,0.005835366825461568,-0.013194808220927803,,-0.02593633559859451,0.009521198548631003,,-0.04189388075453623,-0.01803891214416816,0.021485753179130634,0.041917395463774806,0.017493492871440086,-0.03856059524259686,0.13345824197799597,-0.04739487273386317
PTMA,-0.07032816722391544,-0.11013141260583534,-0.11036974740621786,0.045205538474556314,-0.021091022177553907,0.01326668988441099,0.002487441180617469,-0.06747503070263135,-0.02363092089328218,-0.066455469554063,0.027449600541557904,-0.16326591571109364,0.058893150431223805,-0.08699111305974662,-0.06935303819581216,-0.15647044041679575,-0.12297608476801042,-0.03377590386386269,-0.022616413517894878,-0.04715880569156573,-0.04785258873213514,0.0017375429379434288,-0.01894979507222873
FASLG,-0.018178441792010596,,,,,,,,,,,,,,,,,,,,-0.019403851554384222,,
CEACAM1,-0.0252409255202432,,-0.0060504981526046464,-0.02162828600098122,,-0.03546703013505956,0.11019531079979235,,0.06796620562575682,0.04253688189119283,,,,0.07205810785256046,-0.05585749572784058,-0.049701320870984306,0.038439687589621845,0.03524139213887956,0.01975819351588481,-0.02703669426197121,-0.02699760953087835,,
