,UKF248,UKF266,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.019648799315725426,,,,-0.025796198134954644,
BMP1,-0.001714623384597303,0.011172928970004195,0.11554731650589718,0.026137456542635298,-0.021904617265952626,0.032496368294234,0.016384366674188553,-0.031287946846406865
NDP,0.03265557094539666,-0.025973465267608246,0.025231430993463838,0.008738902919986892,0.09758894025963924,0.008722153748572667,-0.021237995786755146,0.03320092043403098
TNFSF18,0.002696991035941474,-0.010177737437628436,0.02323011156284497,,,,0.015288060032975075,-0.036917064560665395
RTN4,0.03383883265671994,-0.03589827500735676,-0.11421137907909182,0.04971077669460953,-0.016159612472900004,0.01014280793648291,0.012963512880004819,0.010677555171584837
HEBP1,0.010668103996034257,-0.006909069365973312,0.09189471858687594,0.02727538067387722,0.021406278728087008,-0.0014303329228327868,0.009295088067907778,0.07309125111842044
WNT7B,0.07287684914912942,0.014681293072191412,-0.07656469896203531,0.06527028936996819,-0.01914759850219923,-0.03183423880694817,-0.0072397844127474985,0.012257577002720954
PTMA,-0.04651590985927296,0.04215418557501843,-0.08057949803977146,0.02357182082981842,0.0033568388046158054,0.04670244505465313,-0.052562173574907556,-0.13818011152812842
FASLG,,,,,,,-0.022373033841946003,
CEACAM1,0.0056406790866612815,,0.1050708870898811,-0.03583821934204945,-0.0273157980211612,0.014099449307189711,-0.01786474969819874,
PDAP1,0.007993908550105741,0.0259831001763636,0.10751125016048604,0.031953745440001784,-0.016879877940325697,0.03354798398327977,-0.025834177183947954,0.019429592052249346
QDPR,-0.037305023494333546,-0.013476896590574949,-0.14537429092958742,0.020276994429171337,0.09757286786271394,-0.04552140351074293,0.0013891308163355533,-0.0021885084525201963
POMC,-0.02844761797870961,-0.02685092411252202,0.06694181700490054,-0.00931779995771766,0.041869816183197225,0.012569490260403755,0.026278274010529134,-0.007084954711948782
CCL18,0.0483687577508592,,,-0.00379073594764934,0.04109588471176134,0.008365122277481481,,
CCL17,,,,-0.025425482004609024,-0.039432069313882295,,-0.020278642247088797,
VEGFD,-0.019721824781152864,,0.013588710564306042,,0.07481215975029158,,,
TNFSF13,0.030872576196207292,-0.009870282118700594,,0.00633454380485079,-0.023160890998281544,0.009593896413547265,-0.03304235495213618,-0.04016050040349984
WNT5A,0.004971441959380187,-0.019332997644806813,0.017940793003044422,0.026278616842813872,-0.010952231565213438,-0.00460076051919059,-0.004734188689694983,-0.019041910525682628
CXCL8,-0.035462588315335046,-0.014039836135687904,0.02827615971285154,-0.03420490575460536,-0.06052790715524187,0.006590763497569685,0.03146152811706418,-0.00809946235741686
GRN,0.038975660701835876,0.03526686483063462,0.085488754785948,0.028178122845796995,0.033461617401879945,-0.0011897083183648226,-0.049005879901576725,-0.004841115291523098
MIA,0.02445243264598205,0.12449443215155569,0.07616478640236314,-0.069805545360345,0.09886256699790567,-0.028516006712430847,-0.016204481409583315,0.05468510960792818
COL4A4,0.03731001045521427,-0.009391137362774995,-0.019362433290234272,-0.053233977125919874,-0.024532255281361253,-0.0066632583536321835,-0.04412729415067768,0.05335247522458616
