,MGH258,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.025326636297100774,,,,,-0.0197126962943788,,0.12034680203054195,
BMP1,0.013145339643501662,0.04690893314977197,0.030001822571368155,-0.02582935517735219,-0.0050073817775018875,0.018982852794537236,0.027593181569421647,-0.05377743139190051,-0.03453316216818801,0.021136285439940502,0.0768232436013032,-0.0022490256164727895,-0.0033288251479162228,0.03914312985807701,0.03463381609445766
NDP,0.0072104373491163635,0.028579156980870078,-0.008348287421924599,-0.06537992751700532,0.04200724741314213,0.03155801174009032,-0.004338659191711984,0.01682060600440667,0.02211609691018631,0.007071696210052497,0.02159196188622322,-0.026265155088929116,-0.03070126579572043,-0.000511797772162565,0.07526630384631565
TNFSF18,0.08725306211062503,0.026214717549890965,0.009775176193392333,,,0.03508818066601684,0.02292300644864647,,,,,-0.020329355738869914,,-0.010155260562679765,-0.0388176014984341
IL36G,,,,,,,,,,-0.0027357973071344306,,,,,
RTN4,-0.04958686013010571,0.001097963084461228,-0.04365478552277636,0.002306440809303604,-0.02849915168857511,0.0026870545690796627,-0.023731169901853283,0.06951609838404019,0.1277592021440895,0.01932498727342237,-0.02031918601036834,0.039594660459608855,-0.07129063908292947,0.03846691247295393,0.06414607695033192
HEBP1,0.033845302830281754,0.034975564642418126,-0.007623178821370224,-0.006885923354440423,0.013643642801611745,0.0273699929353045,0.028324445222447994,-0.02617383719744232,-0.050111754577097725,0.007056950759475075,0.04241729084400968,-0.0007628646237347799,-0.021721982707273168,0.00400314967476878,-0.006669275731900938
WNT7B,-0.0225563503605677,-0.03480793429580492,-0.01659309994444174,0.07523695436199578,0.04741602481299195,0.01730791822345999,0.019941546084274255,0.06062842228894543,,-0.03006509275729805,-0.02950957449211772,-0.017024378167894354,-0.020366669584270233,0.011588866629068209,-0.04324553191735899
PTMA,0.03550075576979938,0.04293724574748634,-0.021625458660508426,0.0712101708757087,-0.044372597541543594,-0.02279071682279682,-0.015581200681471095,-0.06736067419767397,-0.11562511672072472,-0.021396046476916602,-0.057388186593394806,0.06903042394038271,-0.001472373741621003,-0.04359409922072063,-0.13943996704653916
FASLG,-0.02255635673719016,,,,,,,,,,,,,0.005362132032374267,
CEACAM1,0.02701537655571078,-0.034162221997122225,-0.01273420619959995,,-0.016131335349647058,,0.006426899952388133,,,,-0.02646465906966194,-0.02921116178329016,0.09839755143986388,0.05916847189885209,
PDAP1,0.010558562550773745,-0.004803506267223414,0.030848820600500777,0.06270192377598267,-0.03819700550918739,0.01670366541862043,0.02757217403685352,0.018467187915372964,0.08530145631328213,-0.028989571583372935,-0.024037296004516005,-0.002576343783717995,-0.06666414632334294,0.0019010565983488032,0.024214696541307826
QDPR,0.030439275806363904,0.04590437795805111,-0.017755484705190314,0.047541738285344616,0.08743669817734467,-0.04135839977768058,-0.06358507763960487,0.028935507973371546,-0.09162462796612157,0.016180709170747647,-0.08909284348632074,0.010827145312065216,0.02418974033446545,0.019367350736675244,0.11973070328994001
POMC,0.0011181373500953043,0.008542182498524458,-0.00830310867481405,,0.026741101374008206,-0.018731599752321124,-0.037392038442909226,0.04393303189668671,0.02158860800763403,0.04950744266886334,-0.00957338941367276,0.044232060114842625,0.06177980813638588,0.015079225777795054,-0.017558099210558575
CCL18,,-0.0339647571294336,,,,,,,0.018074984087774998,,-0.01876387840112489,,0.09471650617353279,,
CCL17,,,,,,,,-0.018289682489267135,,0.06801455918864167,,-0.0259900513598605,,-0.016460413896226052,
VEGFD,,0.02691738678790634,0.06936589142270791,,-0.02760408867899723,,0.03472580109929765,-0.013415703290790833,0.07685807520406891,0.013034430250574615,,-0.027411482373004944,,,
TNFSF13,,0.09014873605616834,,,,-0.027820193173131447,,,,,,-0.027870968969170313,-0.01517942036393375,0.17087021824590992,0.042285230729310924
WNT5A,0.028550633781478704,-0.012243385091409058,0.0850249809858151,0.02239991942185059,0.008014339477676706,0.011938744663392216,-0.014180137618063767,-0.005270758498127683,0.0773677556498392,0.001020107362279582,0.03346446255929621,-0.05857802394545161,0.05245035452297875,0.04218351893011486,-0.07589543674535107
CXCL8,,-0.04338781035019537,-0.0170781016182097,-0.0557135870503545,-0.1103861874652984,-0.020583257374067045,-0.03115273445939257,-0.012493286238556613,-0.05082485657383553,-0.01629101019803429,-0.03303676217086367,-0.007565944113344694,0.12164396456408479,-0.014792895238140605,-0.10676244158603966
GRN,-0.06761519249581766,0.05989727833142547,-0.019323528276829767,0.031529024580092144,-0.02346696865352152,-0.007099230005426545,0.007504598882240196,0.04805869678292231,-0.06565356120811998,-0.014641372735082247,0.08767249343947137,0.039142634250208454,0.000386096021499164,0.011145963581864487,0.02470248017542544
MIA,-0.02952432543464107,0.02752143841881877,-0.01622066498167995,-0.04145081684273764,-0.023620568005482203,0.0023470476170141755,0.01699126780438084,-0.015257537172468862,,0.020319140279367827,0.02016419555031502,-0.06560167883130617,0.011208753870440373,0.04436762966973295,-0.002930498234849528
COL4A4,0.07855225002188028,0.011758822988506345,0.07042347603791625,-0.014374645589524348,-0.018526106529057933,0.029193209881660114,-0.024957520196980793,-0.025631449058068093,,0.022937123404623425,-0.023723405134213962,0.09787753904288866,0.0018637629515192537,-0.030847749217283903,-0.04719619916092575
TAC1,0.061706048105500184,0.013711296108712159,-0.018569600377206865,0.04546893160067327,0.08277284664801725,0.06929914238992417,0.04164315530064047,0.04608954508576289,0.05490029160216406,0.06536889936763993,,,0.0942017353645424,-0.0027727455421060034,0.06655517893764672
RARRES2,0.04722709705474641,-0.0207803213337238,0.06654637534287237,-0.02691790970308735,-0.09407405399557636,-0.057791571347139976,0.02616845206900183,-0.007880156360289233,0.023371838059688108,0.029375074640476256,-0.0032869232124224964,0.04581193536237419,-0.012743998275557842,0.007530644017245806,-0.15477872275839114
FGF7,0.04589748730794402,,-0.02058630472212682,-0.00646823920360029,0.010850364908321765,0.011685518880125173,0.06488440803131192,-0.017052692304324005,0.02134721367619039,0.012112275073630174,0.030886516681182554,-0.05572604840798536,-0.0466515457741722,0.07712649130753702,0.05908808041296204
HBEGF,-0.017467084226585286,0.015301877095391807,0.042948358331658644,-0.004906362402931383,-0.05321724006249719,0.015991081371636257,-0.007992087669893724,-0.025489367608154682,-0.04346745654119768,0.027824058810083437,0.007649733075352226,-0.016801025776243664,0.03572031491219187,0.032586752410603194,-0.07286351128168927
CSF3,,,,-0.0220780477736581,-0.06182910630916305,,-0.012197377445095704,,,,,,-0.019379404663492333,-0.017330276514169834,-0.04964500152237131
PI3,,-0.028166980577381834,,-0.05230598296702724,-0.036999896932350285,,-0.02973190107394417,,,,,-0.02208278751181364,0.05314251056827904,0.010973318565937933,-0.09817266717353691
PCSK1N,0.0607524923891425,0.02275008022220355,-0.019390897946994425,0.03905267082093015,-0.024772646089203015,-0.003683602079537853,-0.010106559902306569,-0.02336362711638011,0.08923921989483784,0.06624765704538618,0.013697398336647482,-0.008616748157488766,-0.016517923254195,0.0535649969017894,0.1355858219139383
NTS,,,,,-0.050197696040466255,-0.02014728166090215,0.019332741153365973,-0.011606630954044753,-0.023815531585936023,,,,0.02050742562983104,0.023378173981471892,
SFRP1,0.0232727979038938,0.06326842230727739,-0.017295734062835497,,-0.008057864527456817,-0.02750152447034802,-0.03129279826332943,-0.01828968267345926,0.002673371476804731,0.030339622418845448,0.026153463649775107,-0.028605285920827436,-0.0723253789149836,-0.02506741519542758,-0.05363795861367359
CXCL13,,,0.01016916175764963,-0.016031275019935613,0.06629340426080745,,,,,,,,0.06120911494135441,,-0.027081750714564562
MICA,0.0018234503625653249,0.0019094400631838229,-0.01598853516088191,-0.030998606353216534,-0.03478839794482369,0.016901249724461855,0.04764333012458177,-0.010360066644883061,0.04170090773489674,-0.030745911018808126,-0.04173105184572742,0.03766637367654014,-0.0424951587303931,0.03852525660356032,0.07315816164815221
TG,0.06076944383704412,-0.02649432048581224,0.0213052237467705,,0.04168161556435667,0.09986765950593982,0.01700678150203683,-0.013236163792321013,,0.025845070759723345,0.10870737274458293,,-0.015949547833242178,-0.008002463290395298,-0.032969335437774375
ADA,-0.045733217147859134,0.032593363046915874,0.02246431418850118,0.0050926746403180895,-0.006670709011383952,0.028086771897443057,0.04356141994945958,-0.021496594451729984,-0.021707820319917123,0.015046843437718083,0.006416735668443347,-0.04024047496949585,-0.04349131018840122,-0.010551116487484568,0.014293602432677237
LAMC3,-0.0145831691226467,0.042449196495637984,0.010169161795900664,-0.0010342397674504387,0.003438864849901145,0.06755374405270459,0.01798004232318585,0.039903703608556315,0.04557513377140423,0.02554202926485407,0.05100329442715629,-0.017668233498128603,0.020331215471262615,-0.011013844456903623,0.02211660728844994
CCL7,,0.027070803693454614,,,-0.041376660799552586,,,,,,,,,0.02629310435832837,-0.07194766797555896
NGF,,0.005069990444401976,,,-0.019771144221758453,-0.025413569609655986,,,0.06475164806497177,,-0.0024570108018490914,,0.013880234932212332,-0.05437183959902802,0.010881647963686401
TNFSF15,,,,,-0.030635139247493306,0.02855173849841597,,,,,-0.028160793468054016,,-0.012034277592701441,-0.02148559934581021,-0.004428425248537939
HMGB1,0.006080987827743073,0.028625970176498896,0.030137438045543242,0.08504777339936131,0.02837945701102552,0.004039752967286949,0.02457211224333018,-0.03610259514851646,-0.08754241079913143,0.05242393133080723,0.020395165852627427,0.03033967755938815,0.007968565557341626,-0.012830635149765013,0.06226417678921755
ITGB3BP,-0.010250629391880275,0.0013531378781218456,0.043973793147713935,0.04405739720608823,0.015642056485265506,0.02968696536710875,0.022536299551621345,0.002702892307980716,0.06058466194835997,0.0034953990777029996,0.11781694500199175,-0.0670824971561625,-0.02901866610386613,0.004911632732198438,-0.04069423570011796
AANAT,,0.0046960640714662424,,,0.012105690877605267,,-0.023817642106743628,-0.015257538021132035,-0.022390116892825624,0.07805375983653079,-0.019543365901659553,0.03181266034317659,,-0.019214513305328987,0.0372171619708329
RELN,-0.021656662637864945,0.02138939816242411,0.08828171541889245,0.016587057020311633,-0.015116616470221014,0.037645385290124664,0.014746117887399308,0.054747197759922143,0.02867518597837441,-0.02725315671155307,,-0.040204131397360766,-0.014536103149305243,,-0.028460277467210443
IL15,0.019534969913292333,-0.0027459249777015246,-0.02206026135482646,,-0.04885351028301073,0.030328920367376732,-0.023493223124601306,-0.007105574886290533,-0.045882350698204746,-0.031088040740932014,0.05185614452771433,-0.04003556813982671,0.06869219143423502,0.09425070219156126,-0.0034610088717431414
UTS2,,,,,,,0.06764387898484633,,,,,,,,
BSG,0.046351441521789424,0.059566269426708014,0.0006322212173335897,-0.00460251234783442,-0.031533544693845644,0.033424036666312655,0.011750437232299203,0.04896833143512313,0.042122871407857705,-0.0164263659086499,0.040666497256333624,-0.002001766877034207,0.0094552246106933,0.06915992046122858,-0.015613075600004108
ADAMTS3,-0.011336133699233643,-0.006179358515423514,0.013652810579110938,,-0.03387200552787786,0.012796191382166987,0.012765675997084447,-0.003708712330250437,0.027976401016907192,0.034789921505961656,0.09534158644376062,-0.04981254237931852,-0.026105661420269387,0.0518535385402085,-0.014667803240040514
CD34,-0.05179626569451984,0.09416343454013565,-0.004002087929144539,0.02317719109666705,-0.0040444982251046585,-0.0038487482157879465,0.005351716305843831,-0.018673786707565504,0.021043417441955252,-0.028737485487929655,0.04054436951976024,-0.015839235173656034,-0.018790953262712018,-0.032440860662700174,-0.09669076577812544
CCL23,,,,,,,-0.02710069591563895,,,,,,,,
PLAT,-0.018932094845699805,0.05268374372872882,0.08317751736281559,0.050225395248770066,-0.04117076074020463,-0.039821370391117605,0.03807019813261925,-0.01682552597066877,-0.029981052169582884,0.030010244393203416,0.04741702267408118,-0.05368589776417279,-0.0664890708871166,0.04839447135257346,0.11485193355480883
NTF3,,,,,,,,-0.02462930612080714,,,,,0.0025211767558505306,,
LTA,,,-0.012734207506357599,,,,,,,-0.020461151005497627,,,,0.039714432275373336,
CKLF,-0.02296929483977478,0.038721537926134676,0.0016203216740390592,-0.0262730661400327,0.014122001611889298,0.05356861808185573,0.04358221597025923,-0.022185581331010725,-0.03223141452480354,-0.012551269096111074,0.04607066018153128,-0.03260874444350538,-0.04210514575690132,0.06667183245703076,-0.06405222148182528
CD24,0.030629746789070378,0.011047997299178774,0.11351102420709377,-0.032385463599748435,0.08770952065433231,0.0017719439458370476,0.03194638107963873,-0.06330905489242382,0.043212188314239015,0.04358424546932306,0.035187563718126924,-0.0186170559555837,-0.05466579716254587,0.00928958988642721,-0.023711127152852788
HSP90AA1,-0.0218906054159353,-0.02180105688024356,0.05764276327878379,-0.08152914490585694,0.0354450504268754,-0.006536484273762547,0.015992068966419904,-0.02550386943153547,0.0863066095554872,-0.00962864469132972,-0.029745826823844454,-0.00905270046816414,0.0750001965952083,0.0041962886754813335,0.06211913980443306
BMP4,0.0997858260799996,0.051977699457255944,-0.013499006436055576,0.05475883661213049,-0.03146541736310307,-0.013865759257730259,-0.049107515056812566,0.015379703984778241,0.009165197855401685,0.08917154000414709,0.08506316740901015,0.06120473314745599,0.05171557545379724,-0.019302870579806362,-0.008356644254335407
SCGB3A1,,-0.01458647387900399,,0.1300284036332626,0.0379802721810871,0.030647966949059715,,-0.012869882550066275,0.014073497316785309,0.039810028921503565,,,-0.024991397215639158,0.02840064283514363,0.013045438336241378
IGFBP4,-0.006460670391499842,0.019098384128453754,0.011417357421602986,-0.01948583025850249,-0.0708894551114915,0.013097930191908688,0.09448468590349442,-0.04476202020263616,0.039871597340980613,-0.04345884547222928,0.02516164736456255,0.008955169419722873,0.00559276720480207,-0.0348255727789949,0.02614844518765162
RSPO4,,,-0.020586300813818174,,-0.006357376215694556,,,-0.012869880667554814,,0.007196194037209038,,,-0.016830642449330406,0.04007849734245365,-0.01148518707123901
LEFTY2,-0.02586471828311727,-0.007436460056968125,-0.012890602949293048,0.02881308887120905,0.02714474825041755,0.04672060314971232,0.09631498813755918,-0.014111981554072808,-0.02381554726688344,-0.02072844119358085,0.08870414141447136,-0.0310664123834027,-0.02288856180041278,0.0039495374403357465,0.001680238857954901
PF4,,0.1083224374616823,0.016467086634027288,,,,,,,,,,,-0.02585983322816214,-0.01283502653544852
ANGPTL2,0.032062413157256206,0.04628092391666565,0.10460449552122644,-0.014208384092085514,-0.0763544956597482,0.032498890350563164,0.0573513537793279,-0.019047180216780202,-0.04192690091599611,-0.013441402944114975,-0.024615195067943352,-0.06417738167515145,-0.05947464969752071,0.06853544766509767,0.003483520058293565
LRIG2,0.029640665654356493,0.031594139844022644,0.012584045061668558,0.017704820303386538,-0.00342686427423231,-0.04556808015901145,0.02261864119486178,0.002407720527205885,0.03433620739155757,0.029982243635537194,0.08034751462281214,0.029891428197306263,0.006461586347859275,0.04351052221209129,0.010437712218138395
ICOSLG,-0.045622401855204914,-0.013656507454401669,0.03291131146539007,0.023820940467618103,-0.027149918478669925,0.011926936861036361,0.05389667455210752,0.02292958489817406,-0.013848313697319316,-0.002095029633485464,0.08001053470481227,-0.08632907879212792,-0.015227348626051695,0.051623946981537966,0.015749139856381284
