,UKF248,UKF251,UKF259,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.024344693342488025,0.020197231020865264,0.026839244525769603,0.04988070708357852,0.06250039177892253,0.008968427961841954,0.026322958790800464,-0.02013746662074029,0.006857301875601773,-0.0011043636301760434,0.0889493466539757
NDP,-0.09054431020649703,-0.027523704170885017,0.06023083506842517,-0.016401233972489996,0.01531637689493554,0.05433946032149596,-0.06432760136993756,0.05020162906081813,0.048473388283115613,-0.009751947995391901,0.05155147359027349
TNFSF18,-0.028829764201458125,-0.009073598498074053,,-0.02086831998819876,,,0.07237003945984755,,,,-0.0007224834183222691
IL36G,,,,,,0.07467397624543382,,,,,
RTN4,0.07653997056405684,0.012445240827052713,0.035716241565400826,-0.008524505129017883,-0.054929567548594446,-0.01491903613155131,0.09788033742249694,-0.007359721037376087,-0.094032693255434,0.0385880534429417,-0.07241640790864971
HEBP1,-0.00866265268272405,0.06284782719390067,-0.047378322372174084,-0.008009665163404091,0.0032058273792539456,0.004151830995075099,-0.008599861207607369,0.045311563772925625,0.05647102101061741,0.019597136392229184,0.0705316097382964
WNT7B,-0.04266865807743689,-0.0012377409186227852,-0.03975649143744698,-0.022827042035703918,-0.013333402474102975,-0.02346274754851194,,0.049643611722772325,-0.001256908073532914,0.027084533882855866,-0.027016037589262545
PTMA,0.06326807913845944,-0.048345175668084064,-0.032832166453794165,-0.023957229764134978,-0.0029147329412013844,0.018839171281179585,-0.0033331239397626075,0.006008880694118754,-0.03708208123393282,-0.055028517536749706,-0.03643922125875073
CEACAM1,0.03223725601102304,0.07547282597249888,0.003711211112341988,-0.03282089579731169,,,-0.04158865058926569,-0.020585074098892032,0.10937611871698394,-0.014826659356958415,
PDAP1,-0.04010346273971813,0.007402933260769295,-0.007545580421588267,-0.003784312084259973,0.029772946016436045,0.022086164665845526,-0.04252222341735711,-0.038336154110214606,-0.06675308573600985,-0.044972483450610716,0.041919773341146584
QDPR,-0.012539043379336692,0.037854320317496026,0.037897694163198686,-0.041911517400473795,-0.07643131804350359,-0.02703678469286762,0.057816811930257075,0.06708988646090429,0.05182835590190895,0.02210527609831356,-0.034103008407131104
POMC,-0.05012829635091456,0.14215894916818125,-0.015454056355940235,-0.024213948286433428,0.09537035987644867,0.003711881960212901,0.016966743911118007,-0.021188906764416173,-0.02803546395311623,0.039978906427354195,0.08983366323802339
CCL18,-0.018213070717429586,,,,,,,-0.0017838334773555215,0.00044989625311050047,-0.014221768422367229,
CCL17,,,-0.031371290578794196,-0.015355663442005348,0.0006309061502308818,0.049839729326858394,,-0.014604113727570943,0.06774471626515073,,
VEGFD,-0.01786098014095144,-0.020687735869642915,0.0007280519310473952,-0.027729415776990857,0.011643805385975247,-0.02089986439287499,0.03794879694092384,,0.0073687177971728315,,
TNFSF13,-0.006939546972625759,,0.006788232187964754,,,,,-0.028023100671673185,0.0899962598807561,0.0057758856305697255,0.09433691679930789
WNT5A,0.049703316456430856,-0.03818785601421841,0.03409843838868463,0.0456071217047759,-0.02517984696074152,0.005865063461200236,-0.03332683400748656,0.020835881584210823,0.022341513754255568,-0.017272459614648832,0.10186363665313211
CXCL8,0.065864150553036,-0.01937076966712285,0.010346935889470842,0.03886498420124412,0.03840096989856615,-0.009089653698862993,0.11076160138218107,-0.07177930674596598,-0.07401017915757256,-0.019114939265060398,-0.03954385353290228
GRN,-0.008168971092993822,0.021700525849689435,0.01766131529348596,0.005716365770373079,-0.01779498182550424,-0.008513997428891239,0.026546550527131785,-0.012508953952574358,-0.07714001303275295,-0.02819374526397202,-0.0002808742030830362
MIA,0.02462215911279966,0.05374515975293302,-0.025697298153374633,-0.03918329095655229,-0.013767071019997586,-0.028623322075837013,0.027396306698457662,0.12007125800208254,0.14841559169091614,-0.05365537490719195,0.06806946723619378
COL4A4,0.0045265146658168874,-0.01986677644838042,-0.022314134886568148,0.01480555407616772,-0.02312758445475737,0.03457829099159269,-0.044271040172175875,0.06943577621346146,-0.029416462549429135,0.021494353300335597,0.000737140747352332
TAC1,0.0201946468764069,-0.010182283930965562,0.015750171172823922,-0.050528333736111194,-0.054316848915255074,-0.020162553303880778,,,,-0.011339225116131488,-0.07048986225253548
RARRES2,-0.0026640354358245123,0.0454635320816188,0.04607110218721213,-0.09331012175030415,0.01483854733696456,0.01690548476699302,0.03856457582035813,-0.0008459412999872306,-0.02531569928847139,-0.031191733869862667,-0.055814516837753805
FGF7,,0.032602657943239105,-0.0077414754216861064,0.013523609198493129,-0.023399698654174298,-0.03376005312510341,0.020165715200953557,0.021736584665491086,0.10268226146585785,0.01928107562205885,0.010577690040046297
EFNA2,,,,,,,,,-0.0237293391130114,,
HBEGF,0.010823654008781665,-0.03324913567910509,-0.011170515810805533,0.10407753455902885,0.027419513652149383,-0.010442708293192982,-0.04299448714251382,0.0017818423712138937,0.04545812243737023,0.02413579413138788,0.019494728637741637
CSF3,,,0.020556660098344646,,,,,-0.01191806952699898,-0.06573457897853353,-0.02125604149008761,-0.016200498789961805
PI3,0.08127712090499141,,-0.06452703208968032,,,,,-0.11034004139074918,-0.0909030763718851,-0.07161898453778025,-0.020150159842830206
PCSK1N,0.029063001052094063,-0.01035919516579366,0.06828208365018436,0.031852801764086086,-0.0040307038472954335,-0.04785007308678321,0.0016062210603252048,0.023006813891586243,-0.0664268314708638,0.060733199450768376,-0.01570170464102673
NTS,,,,0.04150671038505157,0.008650186323671333,,,-0.034069877094210874,-0.02890969674856914,0.048279575437607754,
SFRP1,0.004130690898092332,-0.010793901186231579,0.014554948863920641,0.004982768897177959,-0.016503014703649534,-0.008953119777204236,0.06148439506948702,-0.0019836153044301553,0.005207120020247551,0.04613304415085876,0.02768816753584333
CXCL13,,-0.03492616224360437,,,,,,-0.032803833694973264,-0.03965950894087691,-0.034673026964766505,-0.033220193223664
MICA,-0.02941466341117361,-0.009591981952441842,-0.028384630684135912,0.05182434637294463,0.011559501417536837,0.009898116770043338,0.040125868188552086,-0.01304919808974167,0.06577384060266901,0.024551863107412777,0.06922805021485169
