,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01827610844667525,,,,,,,,,,-0.02635491170787915,,0.06367989007775214,
BMP1,-0.03159889985405377,0.017781003114671828,-0.03282232013395026,-0.016634592814896508,-0.02378660503448399,0.04126824297496548,0.06421844063418489,0.12689286692694976,-0.008883789929889387,-0.04306137502503266,0.05078081202896525,-0.10885417221221122,0.010304185165229015,0.12400378734294325,-0.0013802426951712125,0.017510126212896042,0.014595154565460657,0.07825920396474759,-0.01827384530045133,0.06611997224904057,0.09788908634943462
NDP,-0.025555356819724945,-0.039705104119674726,0.02177060875370572,0.01742539215718347,-0.005530117806483789,-0.0501591240178819,0.038136303913643414,0.007566513064086892,-0.023213115217229536,0.012208483992253022,0.0922873081616589,0.021561259164986663,-0.024490674492527443,0.035290752765750076,-0.059372253827918706,0.016980462895218585,0.06838509784973548,-0.045982796083772016,-0.04239807245151057,0.013070672418312872,0.0531800032391021
TNFSF18,-0.029214548278508206,0.0018687274121092557,-0.04043850253959895,,,,-0.012582394881581934,-0.027139472379502125,-0.021114518553770896,,,,,,0.07007233680271291,,,-0.02717935525282573,,-0.02709569758926869,-0.02145102696283399
IL36G,,,,,,,,,,,,,-0.015082912256850173,,,,,,,,
RTN4,-0.02146900151465942,0.028019859203805765,0.0073992574941255775,-0.05878574663365721,-0.025589879485726323,0.01103712517948898,-0.05207824547660782,-0.13912691948313033,-0.007484546928555707,-0.03331044790841867,-0.03694623794991537,0.019525942003001978,0.02294451513705012,0.05295656008116786,-0.014915438197908663,0.007366740065812381,-0.07524083422722196,0.03838954174021268,-0.10305288484631223,0.04690338415388492,-0.15549229516548846
HEBP1,0.04594853444120791,0.020663009631623864,-0.0018654776439101033,0.03909642506293823,0.009576771772832338,-0.03124010644793779,0.014252077914501558,0.07212920987645484,-0.01084028504131376,-0.009493020136243925,0.04351764295989283,-0.04787182384523326,0.0074394143823382506,0.044984234891395435,-0.010827535433186321,0.017432797906637508,0.06322221207443968,0.013071266628469668,0.023872196879840397,0.0016399633260823813,0.0832502034601573
WNT7B,-0.04084749720464138,-0.0430554492643423,-0.02511914423430565,-0.021196441572955096,0.06882983512175142,-0.007439984479255264,-0.0015813490968123506,-0.06042381747787499,-0.03198751520860276,0.0022043617179883326,,-0.0498245068172808,0.04498542693604528,0.011153979015651665,,-0.006081540498808293,0.047614433703072404,-0.01800074743166754,-0.030440100118935706,0.09902123430508095,-0.07612739501151358
PTMA,-0.05364581903330344,-0.019117511527570633,0.08920954792043073,-0.028675539910931847,-0.021691117345582062,0.001098979884741943,0.0810167992731162,-0.04361644379490357,-0.06148903195246926,0.02017114790213846,0.08573571161641401,-0.06290872079447898,-0.021394203851613298,-0.07904982046175667,0.03255688503842549,-0.0037358053441390033,-0.04585067008177895,-0.018560937017706863,-0.03996579654057132,-0.06471052025351767,0.03947360892165087
FASLG,,,,,,,,,,,,,,,,,,,,-0.017056402311036528,
CEACAM1,,0.032891020134556796,-0.01927743238503721,,-0.0290271875767218,0.08726620095116107,,0.11173101811008752,0.009670063265676775,,,,,-0.06007833537894028,-0.012380654585431104,0.014719089004170184,0.06195506857983473,-0.03905389593521591,-0.020203537160635342,0.07038871964827466,
PDAP1,-0.009314223328128764,0.007560065046379272,-0.024201247432329504,0.03138503322459996,-0.008943908646530063,-0.00027445706766887385,0.04223869325850767,0.06425359890824113,-0.003679588518618374,-0.01482434224472148,0.032340592236450263,-0.024431927656528026,-0.013638775461107918,-0.03599515957556457,-0.005903295550981502,-0.06483109012639186,0.0029606623888829733,-0.024681760739122826,-0.08080884774096252,0.016076042229936718,0.023007266810631352
