,MGH258,UKF243,UKF248,UKF259,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,-0.019802426623888203
BMP1,0.010903819961213625,0.05192328210606291,0.040624107824187586,-0.04520591453021456,-0.035679663743151006,0.012188165260123698,-0.018663454981626748,0.02820285612070024
NDP,-0.04981378881822417,-0.045000573228835446,0.009434954192226416,0.0051619976890997475,-0.01685011797513741,0.043283926155683015,0.05449189243153367,0.021064416984591675
TNFSF18,-0.020634608982327773,0.010729731947599274,-0.017735132254041,,,,,-0.008938819783014028
RTN4,-0.06412115102705526,0.01748367105576483,-0.007124978989361507,-0.04720632009458137,0.0009818720977317794,-0.1113503313775299,-0.037865538288038084,-0.010731771277906034
HEBP1,-0.029129372697945893,-0.0052711515376904225,-0.04574833221015233,-6.056109020605729e-05,-0.045623814123625,-0.026299113113490414,0.034015700987459235,0.013855180698346122
WNT7B,-0.018178444219505343,-0.014472825295014497,-0.009660451113022727,0.017995063361004874,-0.009953842615931217,-0.031487766325190666,-0.011070711122480044,-0.04226661039945545
PTMA,-0.06153971994569884,0.0478397706005241,0.018817245473070156,0.03767461794001714,0.012946854371985913,-0.04426238594026572,0.009910823862636229,-0.026244309825411077
FASLG,-0.018178449358504958,,,,,,,0.08200060420878597
CEACAM1,-0.025240936026386836,,-0.018547732883210464,0.019598853175305745,,-0.017644148507422942,-0.016893073170700663,0.0971629006969544
PDAP1,0.01843904411048727,0.01538212991027417,-0.010093800976121427,-0.012595544436969038,-0.02880389334796308,-0.047371646634646686,-0.01782974822971843,-0.004098424342522509
QDPR,-0.05119675539703671,-0.011977513439330482,0.022477189945785094,0.013040104340574014,0.03339897888339655,0.02393254265001563,0.011408139410448164,0.06573319439994203
POMC,0.12038783016032718,-0.036414481041687846,0.00026162225410352363,-0.028706327832660382,-0.022929648879167968,0.03468692647078491,0.014257334211119055,0.04038854489833926
CCL18,,-0.025863610665868283,-0.02314581817374901,,-0.007532698929386945,0.024757681037440957,0.025216529346034827,
CCL17,,,,0.014567840906760722,,-0.012517669365223461,0.026708016305583705,-0.0155668801669623
VEGFD,,-0.00825412707552531,-0.008128182906359875,0.03868404873721932,0.03475783354460385,,-0.016893073170700663,
TNFSF13,,,-0.017466582685315715,-0.012324306601529136,,-0.024019527329079575,0.03690370500048009,-0.02536493191737133
WNT5A,-0.023302002228839363,-0.09356829028674642,0.00578683394894493,-0.037031964686522686,0.002369511246475533,-0.018094889248355873,0.03843386503508804,0.025159557385442156
CXCL8,,0.03302886946528866,-0.029848915579674156,0.025883322178032492,0.076491117712822,0.0007700366373581018,0.04008087051226325,-0.02288343021926978
GRN,-0.0812692141675905,0.034172715076206915,0.05953415580852849,0.004793800998519412,0.017951431189314266,-0.0003257396011501937,-0.03172015282449135,0.026668901268437534
MIA,-0.023794022279880818,0.006752322120190693,-0.03102593798044033,-0.029974501008849398,-0.02101020327038118,0.07278865003233165,-0.019691483425040148,0.026177651486464986
COL4A4,-0.021052859389404432,0.047715225608072356,-0.0277979395723159,-0.004221113344933048,,0.025581964782944184,-0.027048451528844452,0.051353317745974215
TAC1,-0.01817843946835863,-0.036740088688021484,0.07577697917356517,-0.014555400657093995,,,,-0.02046424688647201
