,UKF243,UKF251,UKF255,UKF259,UKF260,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.028016905882357807,
BMP1,0.02749813456407903,-0.00401342659886468,-0.09636484627065739,-0.07846056974177433,0.05219180537287985,0.004445306846594315,-0.09429941354693122,0.04182023720325098,0.041278652655178695,-0.0048813271905904475,0.028178244802336508,-0.0326268936915936,-0.002358126191892192
NDP,0.053276189550383574,0.00015496075451110487,-0.027952452968492476,-0.0019994685042042464,-0.02118227515731471,0.03613478285468061,0.02150553972830908,-0.05436855252035757,-0.01936156277833212,0.05728118741967803,-0.021719257930057287,-0.010710353976342003,0.05600580086060084
TNFSF18,-0.03563489460302587,0.054077030944266864,,,,-0.014568918471989866,,,,-0.04723465673825112,,0.017498514015079587,-0.0410890139393967
IL36G,,,,,,,,0.043774368336414606,,,,,
RTN4,-0.06927518310497546,-0.03763638240305053,-0.0019921168602565257,-0.033213428664128276,-0.03320220830902109,-0.022834597948718595,-0.018145201692002264,-0.06200628733041831,0.006035735692914128,-0.005293915120537167,-0.0725965787243119,0.044677144255500276,-0.04197621710100617
HEBP1,0.04150409000788508,-0.038574447711559136,-0.06371987484596205,0.04457062510324314,-0.013717492080419827,0.017173493348316724,-0.031137871869562253,0.052623023920798914,-0.0005660782637269556,-0.07145957921432224,-0.03669378706717129,-0.036875251689334976,0.014722962183771894
WNT7B,-0.06615175992881493,-0.017227634665107655,-0.03348781271214017,0.026904771933472262,-0.0065463611420081246,-0.00890873080317868,0.015697994394786786,-0.019879247532657372,-0.06415469229960973,,-0.021145921580542813,-0.036421664615154184,-0.012220263778403767
PTMA,-0.12280430387518977,-0.023044482767508177,-0.025690687730701926,0.07827821345379198,0.0407380096920485,0.05631868871031967,-0.056166365373002,0.10762879464524965,-0.015896036278761308,-0.06827719215711656,-0.009181471980927584,-0.03738853357824388,-0.03941585342883338
FASLG,,,,,,,,,,,,0.06211357128831356,
CEACAM1,,-0.013221173433017479,,0.04813607278946821,-0.01412226237937184,-0.02291343794417164,,,-0.048310092098751,-0.033213980087103676,-0.016268859588821013,0.06604593075980517,
PDAP1,0.11448565552622325,-0.013611647659544507,0.01040574362623302,-0.0017518497067612053,0.03671677100555225,0.0058552377085289275,0.035684738598989706,0.016926292095315317,-0.020028851101884234,0.01888386108280777,-0.06538837981537096,0.08208886958209437,0.08998992341179587
QDPR,-0.025212752718677116,-0.03180777898705088,0.04044933176856952,0.017112976241553286,-0.04971865561054335,0.0250856331036637,-0.06799330381237559,-0.004791864592626102,-0.08223475917520466,-0.05742786080891392,-0.02060153693833632,0.06429749279045155,-0.037921353864345704
POMC,-0.06728462799999504,0.10751711727118446,,-0.020867095505220676,0.023980395731115964,-0.016904620911962383,0.07820603413921211,-0.013759174560181732,0.10218417825453491,-0.08688990262420511,-0.0046197828214607165,0.013820539433933934,0.04113199472590881
CCL18,-0.047789323714305235,,,,,,-0.006502613717629388,,-0.041423378329281786,,0.012327581138675998,,
CCL17,,,,-0.02226931386293835,,-0.018170277815872393,,0.014868653479053601,,,-0.0234851201662582,-0.02202436220587241,
VEGFD,0.001080689070958479,-0.01893667838715236,,-0.0005386217400302923,0.04171118019543501,-0.01935889414956969,0.045808055420481976,-0.0026551128324104447,0.02476711151719237,0.040744185203447934,0.08452401563535573,,
TNFSF13,,,,-0.021795180121741912,,,,,,,0.007161104198847906,0.02283482929571591,0.012954798499642303
WNT5A,0.02485757303712921,0.0038015722490969497,0.020522242950560626,-0.007656577602162957,-0.026607968848195728,0.004723399554091068,0.0009878974207653672,0.0693823337378603,0.06695731375217985,0.008993862236228879,-0.05512190044107631,0.05269537758115787,0.02033649921681615
CXCL8,-0.012356500383963994,-0.017731183229005687,0.01870457386189147,0.04009862634699491,-0.01150585187852726,0.008993656662739456,0.050154336573533895,0.08748913418626666,0.005784751027992607,0.01900041434282711,-0.02124149623712777,0.02964247226859534,0.03591197607584864
GRN,0.0026690070902088536,-0.020515730429395584,-0.08040840583738106,-0.034260139464782034,0.001098192577996804,-0.01816022238779336,-0.0319858012281226,0.03195377895725538,-0.04616967493925922,-0.0847627160635642,0.03622661697053884,0.0055185022535344155,-0.10583276079777638
