,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.019648798982398637,,,,,,,,-0.018656945104562454,,0.016417795756888086,
BMP1,0.021733868268736755,-0.0045545052091014206,0.020459476976302304,0.14568878835767957,0.0356462501574287,0.06459591474366153,-0.025593144041691496,0.10315771391702647,-0.049907268562404496,0.04137768004352896,0.08588449212304379,0.01583410965299021,0.09281866756572885,0.0234198817619967,-0.0012207012189003575,0.08784248659296275
NDP,-0.0757662643062535,-0.077459205716608,0.012841996274896834,-0.023336202982257866,-0.003174279349459582,-0.007145598579498885,-0.012204645264198866,0.016145131979770053,0.0191620395837238,-0.10593569307299681,0.03190717582289912,0.045057796054211265,-0.020316413346147755,-0.026229966702581025,0.0595547349066119,0.03237968840507013
TNFSF18,-0.026901505617214046,,,0.09630065448814129,-0.0162786983778737,-0.012622089051545443,,,0.10890411593659062,-0.059779698750967704,,,0.034128910977455615,,-0.02440017588418299,0.022518035985493002
RTN4,-0.012379975599486932,-0.006397355831850874,0.027996428123387953,-0.11286787613694628,-0.034850634660607185,-0.015545296205146952,-0.006718361477961869,-0.02555287278803104,-0.007879822204190222,0.04741591456644532,-0.04730232591634831,-0.017546072268505315,0.02221989329601385,-0.011092345397912597,-0.0199624978762059,-0.06420854837358636
HEBP1,-0.03215908826508452,0.011464867689004253,-0.012972291196430981,-0.002546098118563682,0.022264889945622493,-0.002545183521898356,0.01841438876528846,0.059775412255714006,-0.05634770919350813,0.03085198900720463,0.006098073109810008,0.006596123972627292,0.04992861261742507,0.0027757446774814873,0.004769019317979314,0.01086189401470747
WNT7B,-0.03981127750174399,0.024113392216070718,-0.021440821499680896,-0.03219310540639712,0.0256364935068441,-0.01999450248899872,-0.016779663768778312,,0.017184173232270124,,-0.008921939799323016,-0.036924338482959666,0.05955733245664164,0.001317443025447051,0.016793141731876304,0.04905416402972576
PTMA,0.015084557768054726,-0.062397926094709094,0.018050304933866623,0.13732928185412596,-0.03337145075609987,-0.032937184065778814,0.02994949875108747,0.09250392305036668,-0.06283493932359178,-0.026982996656056354,-0.08601545401997696,-0.0031597215127918423,0.01683239964423436,0.04224096876007537,-0.059914844117234335,-0.014437726257459909
FASLG,,,,,,,,,,,,,,,0.0679004146204878,
CEACAM1,0.022149616467778133,-0.017352502874676476,-0.01734562127351712,,0.004681353564663799,-0.019851539066845565,,,,0.047658677802053594,0.03377161049832802,-0.017888122936370193,0.08273026601640333,-0.01793008059221587,-0.026145534297214126,
PDAP1,-0.03163138864398063,-0.02721425952377605,0.011915275508624595,0.002011737613975724,0.040247906328531695,0.023452523107639844,0.023901187946344524,-0.0038164940738311306,0.044554163810643144,-0.01000062156174544,0.005421694720478691,-0.007487518814779937,0.08798851557740582,-0.014067142548210773,-0.012290736052816472,-0.05731105815929549
QDPR,-0.011847521987265078,-0.0075866616391002065,0.01665866735950999,-0.03161375364480464,-0.03853320769789313,0.012817236657876735,0.032212382237982395,0.10944338829671033,0.06791354698934242,0.05985003197195957,-0.04326230612301596,0.03435826272628351,0.041368247053819605,-0.08599012620530905,0.01853100485889259,-0.05005888702750201
POMC,-0.0021321242951862812,-0.026504492694077758,-0.011912083701226617,-0.003980348266178826,-0.04154914069390474,-0.014645674004122807,0.057093675904123245,-0.0033429605079983863,0.015036914694538816,0.04667519690535522,0.0073801870052769645,0.05386654849429533,-0.017685929622798108,0.025322804229989376,0.018162802048008138,0.024545468431287885
CCL18,-0.02136672693418455,,,,,,,-0.017259184821539042,,,-0.03300677421946233,-0.013427637245035953,,-0.0016219700972684844,,
CCL17,,-0.016496630646253042,,,,-0.015742202492532522,-0.02076851993686719,,,,,0.0723864799412658,0.01574501318610083,,-0.017032333293849265,
VEGFD,-0.02136673371912111,-0.018379068258236878,-0.01659530835736594,,0.03942063533106439,0.047976340560030764,-0.015233960536241578,-0.02268755495462358,,0.0018166163002717732,,0.02682964650861716,0.05510632709848885,,,
TNFSF13,-0.01612402291891191,-0.011379006614289429,,0.014630882423182667,,,,,,,,-0.012871439466487045,-0.007174776647636428,-0.02013427878559987,0.06448926382711026,-0.02445289673525178
WNT5A,0.041483492310810006,0.07686868236177205,-0.01989748668327849,0.11202980909448289,0.010586605034322925,-0.02382766555415153,0.011300612552904465,0.003126485653309495,-0.03927990972119436,-0.03902505306097312,0.05263058789070056,0.017760504581774795,-0.00571518619457851,0.014658517428311608,0.06517153344949105,0.07481790476777436
CXCL8,0.06072978999021211,-0.040568115960603265,0.03501101257452062,0.0428334853873913,0.00725383689058338,-0.023485298999146483,-0.014186526445973765,-0.010491861817201886,,0.031176136561424497,-0.05811362270661485,-0.017573052367965546,-0.03492394624185918,-0.016652709558837023,0.015789276782113965,0.0035129623143755418
GRN,-0.02366935666436698,-0.01318863122594659,0.07806173848205472,0.06764010365060379,0.08143039743634643,0.025144584459507565,-0.036070912832978,-0.013018603058443623,0.09575113037093753,0.04838617843094606,0.07990177059696119,0.005730067206328029,0.06740518030565985,0.0686857703570239,0.0147594907646787,0.017556491583276386
MIA,0.011621884561101564,0.0032968166798374933,0.05831036290138149,0.007283355560849571,0.05110006691398398,-0.03094150723549087,0.048649984328973904,,-0.00845774377547848,0.04400924524022654,0.16750037241830804,-0.01508713530551054,-0.04051980055607582,0.07620127701669638,0.013409789230139685,0.08501216737699979
COL4A4,-0.025661265448299008,0.04518100356637492,0.01245350339246644,-0.012422787652212755,-0.01936243296176546,-0.01643534644503552,0.010058691153766088,,,0.009384371978699076,-0.04173087568798629,0.00015888322158475707,-0.037891391442220236,0.034080628320273906,-0.025620248878509215,0.06485761644101366
TAC1,-0.00930516133845206,0.057372854724699496,0.0060726799263322055,-0.08294864077715261,0.01002688333599487,-0.010995161244173402,-0.008928123227684001,0.04119846060934384,,,,,,-0.030934496987619957,0.014668128180446799,0.0012451560551657802
RARRES2,-0.0023463291007622877,0.04216345517408994,0.032622563495060146,0.05283521515540967,0.04106382611293828,0.0039283584062961684,0.0037789651364979076,0.023982625143877084,0.015737261786212462,-0.03759516317337098,0.052652558987665465,0.05184622310555093,0.05134005439777765,-0.022272362919144098,-0.053438748491215486,-0.05073198287986344
FGF7,,-0.029241808424966553,-0.031775189124463046,-0.035605798553717684,0.14065368870524475,-0.02266924697718685,0.031100266882324024,-0.05267102766312594,0.08654584105935426,0.12101333095466149,0.02402587725085098,-0.0327666017027237,-0.00895767015927407,-0.08563470010453485,0.017897224548793087,-0.0034958393203686593
EFNA2,,,,,,,,,,,,-0.01700146372278804,,,,
HBEGF,-0.007523458946213727,0.009115047622307838,-0.018463523943509856,0.09184397001615639,0.007405640436585325,0.026930838800976593,-0.03912227132892356,-0.023251283159418556,0.0350861935137845,0.010386449772375373,-0.034987556190489405,-0.00676725632214966,0.002514621831795376,0.08731382512376323,-0.01741201719939962,0.052323195355286
CSF3,,-0.01966254533900148,-0.0477147005236335,,0.017697372072876187,,,,,,,-0.014844131857100424,,0.06307582199181988,-0.017932419410886438,0.04326172305917871
PI3,0.008486343997752771,-0.0339316169479467,0.019398174279571044,,-0.006164955751207371,,,,,,,-0.027260697883373958,-0.020900101549330315,0.011156204810570022,-0.03896118991754178,-0.07266379394122413
PCSK1N,-0.006362637749169483,-0.02384209677553439,0.040730875655769855,-0.0684883234336927,-0.014166799590569467,0.0449866462792093,-0.03966297157724741,-0.07892646043101201,-0.006784401217303948,-0.08347264618393108,0.036314225761808226,0.008440152438423764,0.05513677861282064,-0.0046473542937264046,0.0552068960901231,-0.016974127849709506
NTS,,,-0.016344715292864166,-0.015165401164406626,-0.025178629210385613,-0.01877547282682173,-0.007513698641691983,-0.020426087316578443,,,,-0.020713057290251104,,0.019503856334483566,-0.026555467860979478,
SFRP1,0.005843519062389417,-0.014393947892861223,-0.01893237291289477,0.010845418090289407,0.10147207983561062,0.06694320018323552,-0.020768520146023244,0.0915497061379888,0.05939846654698148,-0.020525667015720835,0.08150724067002214,0.05154700651492756,0.060313509987671834,0.054211817044478486,-0.025938386064624678,-0.03586524268991033
