,UKF260,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.008334379032322009,0.0658762369331001,
BMP1,0.010168622615407397,-0.03698896682364877,0.006653467520594238,0.020664391512035554,0.012714421318529798,0.033667569399361046,0.044687933976238776,-0.010231694759183198,0.07177176296161834
NDP,-0.013885135722519957,-0.014229243541882947,-0.020927859723853255,0.05487978572656785,0.07193031057152459,0.01840682708809659,0.10021567559862778,0.10914555039808774,0.06291367041661698
TNFSF18,,-0.01079999750325611,,,0.06085043183648923,,0.03223775075124893,0.004627714555177408,-0.0043699873179549225
RTN4,-0.045786265940701024,0.015584036699752354,0.046786396789468686,-0.011897961535548304,0.11266642099533726,-0.08296582492089594,-0.12700482172324912,-0.02016003796560527,-0.08882964501240499
HEBP1,-0.015414946510894633,0.06599490552409314,-0.04952120211756553,0.0801785078961842,0.07718090460914472,-0.008763898704745362,-0.010860812921528332,0.06671141248719524,-0.01653829096900994
WNT7B,-0.018816733315507046,-0.0309571874965461,-0.011878753494335013,0.04189556627484615,,-0.021151026009450864,-0.015079740995159416,-0.01283290324555645,0.04685630861967346
PTMA,0.027886069088233267,-0.06106661882685401,-0.036735637488069975,-0.03136000258637566,-0.044209817344899274,-0.20974459246369825,-0.17885762761011798,-0.0573446758403058,-0.018584550201384088
FASLG,,,,,,,,-0.023288781603171917,
CEACAM1,0.018392603803195753,-0.0008462902539462393,,0.03852281612666783,-0.027499203855282556,0.015650172856939402,0.04627047907968464,0.07129390321775804,
PDAP1,-0.04327665220766442,0.016251294068795077,-0.015383822732350743,0.01000090237005765,0.05176862019892979,0.025030304059254164,0.0470589095816008,0.04865945895143747,-0.009359518882307516
QDPR,-0.020919155759773652,-0.007740093673635179,0.019990433345080477,-0.05702929714367615,0.004102081587250764,-0.1407998371821817,-0.12802052760035887,0.0382634317307296,-0.020590455413069312
POMC,-0.039107093774830466,0.07421497696918938,0.006378747701011559,-0.03695400009776687,-0.11782606190512995,0.07920487900508315,-0.008873715496386823,0.013841679354658677,0.021467461463540578
CCL18,,,,-0.04194779136524601,,-0.043002144190855074,,,
CCL17,,-0.0134696995814878,-0.014702566879275998,,,,-0.004626203280380683,0.05812874479423566,
VEGFD,-0.01859396431296663,-0.014350825621210017,-0.010784510610346791,0.023085797150648,0.011284954568513585,,-0.025943401211008153,,
TNFSF13,,,,,,,0.05195680754144353,-0.02192986736260294,0.005870766227333913
WNT5A,-0.0498866399364119,-0.024818409858824393,-0.03440008336591465,0.07796198597771985,0.13515419281514615,0.12512971218044178,0.09789277276287874,0.007341049421536443,0.02069614930402343
CXCL8,-0.01593083305961717,0.10057284082226864,-0.010043005206465845,-0.07812475328987144,0.02136379048317687,-0.004651821372915839,0.08231157810786514,0.03477014143185589,-0.04823753258332391
GRN,0.0009253027472071534,-0.008805959102118304,-0.05514210219837663,-0.10177155726685765,0.13055475303048958,0.050999262664181505,0.10891014440475329,-0.04956150673464482,-0.027939999593835856
MIA,-0.03065306033325161,-0.026474872703371306,-0.012265109622482664,0.05657413567409488,-0.08522703488053485,0.18046723836922415,0.1290046670811863,0.06925350047435862,0.1313499570242189
COL4A4,-0.00666333997246111,-0.01406278309768378,0.03441016917531228,,0.07068810524754239,0.061591367855035654,0.015886923128460635,-0.02058409682619746,-0.004464507135762485
TAC1,0.009355680965298216,-0.022426721047940464,0.009081224488400942,,,,,-0.027749486215108934,0.000790629756135504
RARRES2,0.03085271801862262,0.031923314716822186,0.06187265487103996,-0.03400530893545419,-0.09060219186978903,0.1172045599252686,-0.01284538027483421,0.03742002539764569,-0.07607251968293048
FGF7,0.08524645022095144,0.05225517964621656,-0.027180063539358906,0.07789714300504333,0.1221294960305417,0.126293962661568,-0.03548168415767713,0.003979528669892735,0.0368652652286276
HBEGF,0.06324595887635588,0.04900303145053233,0.013747494339529246,0.032592284429767464,0.09628185039267681,0.040901679018257725,0.005162748345374515,-0.07154915998593901,0.07417592697299236
CSF3,-0.05579939705415372,,,,,,,-0.022224167571335114,0.08337995958067317
PI3,0.043539330935013124,,,-0.0005243153057645286,,,0.1694154057594641,-0.04828573287664692,-0.05883999524469116
PCSK1N,-0.07686772128366041,0.024117436564543362,0.01321140550453155,-0.022221192998160926,0.11223040565313858,0.03380346068988072,0.0659192216032844,0.09508076331570471,-0.056159153442119795
NTS,0.12589225240440563,-0.016065094995293187,-0.04076146311968107,,,,,0.09912919935224018,
SFRP1,0.11553978591151277,-0.011632273048369866,-0.014702567027342921,0.048028024479928925,0.008645705978789477,0.059319783517699995,0.05151797479645673,-0.006526413708150708,0.009086481415250456
CXCL13,-0.021021851694113972,,,,,,,,-0.03516497578247336
MICA,0.06046621151119242,0.046754661199134843,0.007445379102869304,-0.06029420197758913,0.0704152904415433,0.09639437679830132,0.08113302739327052,0.004218408490618035,0.03036382121632094
TG,-0.004744003264761978,-0.013570212587862562,0.015552607424149191,-0.050218499528165414,-0.0384691808722351,-0.002303711574529502,,0.009949195987174883,0.040864845930973406
