,UKF248,UKF255,UKF266,UKF269,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,0.0077888466643398525,,,,,,
BMP1,-0.009679859251931133,0.06616395926424012,0.07262028537478907,0.06207150878668703,0.008606817262688632,-0.05084851028055368,0.04112286555117432,0.045395868046835236,0.021414853684228664,-0.023883373877124192
NDP,0.016987253127038568,0.00821100577361482,0.027381020901401577,-0.02329450476549866,0.04573247962451339,0.14135359650185902,-0.02950543280746988,-0.009155614912557826,0.045127922336313346,0.0626325798489511
TNFSF18,-0.01990247454614149,,0.026867930569480884,0.11242353139688165,,-0.0270503104085294,,,,
IL36G,,,,,-0.01729702318663645,,,,,
RTN4,0.06246278637447623,-0.04430454330707579,-0.09414707068878958,-0.17228957087502564,0.006267247935757623,0.0013588906379144294,0.11849699883282526,0.022454499618412227,-0.02444961020228478,0.00990671024406022
HEBP1,-0.04109938330331313,-0.027192491087865523,0.03568992462674583,0.04388973891081587,0.06571924181592616,0.07161069463443206,0.023992400304986262,0.04403969473115996,0.0014315252957043357,0.005550387841632835
WNT7B,0.05258483921635469,0.017549742766236373,0.013602963644845367,-0.004223544945323818,-0.019011421815272416,-0.029779751503156503,-0.030324359374639526,-0.004209906304296608,0.031013711894257577,0.04509148689564801
PTMA,-0.05674049170890481,0.08756563226616984,0.12199167002315801,-0.003393813647931312,0.036252417829014824,-0.027272156758583566,-0.0274360511489641,-0.0393318833735785,-0.010585781857448608,-0.01141734552840974
CEACAM1,0.055763868844865366,,,0.04478103263724231,,,0.09572321127088687,0.023413004536909112,0.027479333962424357,0.024751828969618382
PDAP1,0.023846255462476092,0.0796861786940277,0.030787796576124987,0.08970390818987083,-0.01507978141987154,0.01740269246087591,0.16511456955523204,0.03789169128870327,-0.019109554719594433,-0.030003122637626424
QDPR,0.07926172274607131,0.06858424526604633,-0.038605771801489934,-0.11027783519497415,0.011771639744659028,-0.009953450726378118,0.07325073023496614,-0.01993177044416772,0.02803170906022909,0.008505513191004944
POMC,-0.003824642461335484,,0.004519849351877761,-0.03995004994790915,-0.027255381807238577,0.10945647971223227,0.0008032652154548197,0.12355162320563093,0.05004117023627519,0.024373381893248336
CCL18,-0.03117838598506793,,,,,,-0.05705537153461694,0.06827284197518241,-0.04415264913858443,0.02126284145082811
CCL17,,,,,-0.015801321743314174,,,-0.019380248807154724,0.005823432694484069,
VEGFD,0.0618991014482072,,,0.03323148268378962,0.12670928889523717,,0.060139118199127276,,-0.018081018205107012,
TNFSF13,0.06181740535902559,,0.006137757551955543,,,,,0.009813690093577245,0.059688594778298625,-0.01962222748529959
WNT5A,-0.013335528522678984,0.017247056707944,0.08896352155619121,0.02194651118320939,0.02071979819381304,0.03762186745899739,-0.02127405787416213,-0.03020618794891717,0.013492200850791766,-0.020565504818485042
CXCL8,0.03054253849062348,-0.12171416202886735,-0.023405258017544117,0.04230243070912575,-0.02071170940961563,,0.015275436491132435,-0.056868289764377807,-0.034908704844325074,0.03406028253779765
GRN,0.017878584408776266,0.12562966239814127,0.023514973176731742,0.045555065761186286,0.0032338308196953433,0.01635853412754395,0.0750408578037447,0.06005782373293171,-0.038060828290128385,-0.014071126279679477
MIA,-0.02469081160693724,0.019795832696748124,0.04513143890260141,0.0015268824743622002,-0.008761258492530406,0.14559638164525113,0.09068134854482655,0.06503300637299016,0.1203306374089417,-0.07237143804097573
COL4A4,0.018905330312894136,-0.033959321570463594,-0.015655595331004767,0.009193249336909097,-0.022498010319243127,,,0.04071931934628828,-0.028950537274722913,-0.03521632300949685
TAC1,-0.05068822503911404,0.07314559718453496,-0.04625288114899941,-0.011327939394164412,-0.013662520322149607,,,,,0.03382742474375384
RARRES2,0.016157398669921157,-0.13216939307071662,0.04355987120212561,0.07311772201982547,-0.006804934366153645,0.022425474023986095,0.05068981632180127,0.013336010057963636,-0.0019846880387801753,-0.041275148870916795
FGF7,,0.011579539147376104,0.02284803519029768,0.041388547936833865,-0.02835380178136515,0.07016236591911376,0.027728501896830942,-0.028638939765440134,0.0056148322862774715,0.013494556684370712
EFNA2,,,,,,,,,0.07983087496493396,
HBEGF,-0.04056664982577005,-0.007800613321690623,0.029165998408462544,0.008822319139549928,-0.0015969141003889535,0.06429755164841224,0.14946703482678225,-0.018453015902138614,0.01625664922759181,-0.041785482617499856
CSF3,,-0.023770234218319128,,-0.016534560223005663,,,,-0.00706550370391277,-0.05578792988077521,-0.025051489300621496
PI3,0.01115815146192532,-0.05631500932021231,,-0.018618133043677702,,,0.1714162306996954,-0.04615699968502427,-0.0893431030416014,-0.0492996583480201
PCSK1N,0.0355550163844253,0.0430550486939034,-0.030784263961705916,-0.00953186860732836,0.01696506376332109,-0.054318958428341696,0.13543057601754802,-0.024745415972094273,0.017165016890500616,-0.04637894528502621
NTS,,,0.02073584973568313,-0.020322963478889487,,,,-0.0452121030575411,-0.020936415032512614,-0.05104541450217124
SFRP1,-0.0031096055139022893,,0.04166833623740406,0.03469439402906539,0.044826948956937694,0.098778912790999,-0.0266677796293403,-0.01711314227871612,0.06805744752947403,0.009512969799115024
CXCL13,,-0.017260002602984652,,,,,,0.007006392780394974,-0.03453750765109712,-0.03156749499197187
MICA,-0.016243307400307445,0.1178188760764858,0.023259948633396456,0.005385329007321313,-0.04688065435737325,0.10063900766832923,-0.06278664306646808,0.054199256316318056,-0.009406950034812974,0.005982368335203582
TG,-0.020533278871637105,,-0.022060199399220843,-0.01995573487554105,-0.023735814871392643,0.008420428695443726,0.001907343659491345,-0.025751505324811574,-0.025785483806605735,-0.02061776065014646
ADA,0.03305652456498736,0.025357331120629392,0.07678965064673655,0.010217671452820523,0.06141539058686147,0.08260647332404578,0.02546852726343307,0.07882237922190799,0.039430647677607414,-0.015220969863350203
LAMC3,-0.050101530178804886,0.018376019938658793,0.11062292342142017,0.07741816970718551,0.01267038131540941,0.06266478725842584,-0.11669866525511509,0.0653434647148194,0.056696488313014895,-0.013026893932822357
CCL7,0.01561087735722432,,,,,,,-0.029046525802523055,,
NGF,-0.034050709165586786,,-0.021051347147882905,,,,,0.03256272341202985,-0.016953805173140348,-0.02408484007512924
TNFSF15,,,-0.011270690321878144,,,-0.0319534939766567,,-0.012834803042753935,,-0.015556544774680423
HMGB1,0.013623372639616606,0.14283610191875157,0.0724496523701535,0.12162191965256856,0.006378097682790566,0.030686525451470794,-0.03600548413104653,0.008331322434546795,-0.027152847449759897,-0.03995578810728005
ITGB3BP,-0.02592934057055382,-0.00021577892833438532,0.10799895361615283,0.0724459388591467,0.024067190557483898,0.13800648678935112,0.015037566549507182,-0.06836755362075582,0.008923081688120343,0.023670383804232004
AANAT,-0.028773341527899284,,,-0.014914620778106442,-0.021195961705906072,,-0.03145288270520287,-0.025481999039652172,-0.02312608336636247,
RELN,0.03269099603397165,0.011458228541087174,0.01100482165520732,-0.03504866539716753,-0.02346575910692588,,,,,0.02145414388201886
IL15,-0.007015846866187195,,-0.018188135924836046,0.024327953039965915,-0.0196582748208141,-0.054544233819906,0.06445018217565261,0.08288266207919945,0.008169304275757064,0.03310921355912989
UTS2,,,,-0.049198028591969936,,0.007735246317600049,0.007526310142098306,-0.021699787148318612,,
BSG,-0.018163441944914607,0.03363762998113335,0.10725657777925808,-0.08739711504577699,0.00045670155685926226,0.052025382459083926,0.16645292658509314,0.012093497343188889,0.0663772031050636,0.01830722099066365
ADAMTS3,-0.006382294619401082,,0.07213941957298206,0.07481693220999047,0.054166015972110716,-0.043893857137193834,-0.0039395166880385616,0.013181244784482361,0.04411045649593685,0.014051918361904328
CD34,-0.020596196790224276,0.016540727950725934,0.09943948500213104,0.07786064923812733,-0.012669025060273186,-0.03170561778638634,-0.03414796597015563,0.04090922994622862,0.057699327746975046,0.025420347922080016
CCL23,,,,-0.01697047090526608,,-0.030151620916451145,,,,
PLAT,0.00829429071347892,0.06455251689070356,0.06795704330928962,0.06917872144300267,-0.02988795894482745,0.07541489323197358,0.04267464522427597,0.036418302967646025,0.10304500217583874,-0.043978371605630014
NTF3,,,,,,,,0.005802170407764114,0.0966328086998666,0.026071842051167454
LTA,,,,,-0.01965827724744072,,,,,
CKLF,0.023245258869650818,0.065170720275376,0.10811371543519337,0.08165190087403297,-0.031514220002240016,0.04346277704447935,-0.03030886960185171,0.048376336714597915,0.046338216046178216,-0.0318164096731732
CD24,-0.023799393491970314,0.06065080567539984,0.0780364144236244,0.041033109214797796,-0.008599715112724369,0.06081820550565298,-0.07875757410165668,-0.0297565176952837,0.023034515686882705,0.03398296741175488
HSP90AA1,-0.03658876639907907,-0.03429577196338753,-0.11359542546531726,-0.09663051853263602,0.027382117415574878,-0.09768650182991265,-0.006749203705779958,-0.12461971668503573,-0.10483851686304628,0.033944201853277234
BMP4,-0.03463956759902928,0.05863576317609866,0.14556265923582007,-0.009251292954568113,-0.01675088260869073,0.018593755202478506,-0.03929193114251831,0.023304017123591127,0.015268219761934345,0.028100524842435873
SCGB3A1,0.015289799434609046,0.056431258679340957,-0.023217477189129015,,-0.013717285893420177,0.08618628221966626,-0.0642791912758811,-0.002535937152378243,0.10770392840661604,-0.007893967178011082
IGFBP4,-0.04503450657296143,0.047076312566735404,0.07656775171306558,-0.02752470673721701,-0.02249087043029018,0.019570978737201948,-0.06739159277698428,0.04405691146322621,-0.034153643288987755,-0.12476417146560577
RSPO4,,,,,0.010807735567380452,,,,,-0.021756739516166582
LEFTY2,0.014458103432215022,0.005099083893048231,0.1470205058217264,0.08134307776228779,0.005044357810747107,0.013754116495781362,0.03893184303680679,-0.006317834826845736,0.020982572207694585,0.010782050483118269
PF4,-0.02057260507021589,,,,,,,,-0.01575105691204308,
ANGPTL2,0.028058980144388915,0.08155107060827535,0.12642801481192334,0.05330643550242769,-0.038694153200588076,0.06579075417542796,-0.018569038359457588,0.12563653177958,0.06453368658889536,0.04401567127053933
LRIG2,-0.029656046402423874,-0.06281063053624542,0.05415254273839106,-0.010502046557442602,0.004361585483501815,-0.034498403364517274,-0.06664766030528298,0.040225025837674955,0.07196979418857685,0.00460931160022669
ICOSLG,0.006150099160477825,0.02435875525616713,0.07880114063379752,0.025048043129572033,0.018817957646783106,-0.04873392384522035,-0.009048079625015488,0.05231746752068242,0.03231498703260811,0.0025283409110002856
WIF1,-0.017256997537286104,-0.0412020207863845,-0.07271662257419878,-0.07851843434842277,0.0784138106650614,,,,,0.01670838851316065
NPPC,0.003824786782078939,-0.03187647648209023,0.01660419199712667,-0.030123627704584335,-0.013918287117180957,-0.026639991899071284,-0.06567222508573647,0.017513860347951198,-0.002005757813682608,-0.03530457466809543
LYZ,0.010968212597457646,0.0100208955167828,0.019865026840770184,0.023469140688241963,-0.013404226069197129,-0.011726738106281106,-0.057371649287340995,-0.004726118329791545,0.047743148459483235,-0.04241461007275112
EREG,,-0.03204052526017819,,,,,,0.025146158777235104,-0.00013689025496340794,-0.027098385887547132
SPTAN1,-0.06748210182897563,0.04694771959857695,-0.0145136899867031,0.005576544447782848,-0.001308435228573106,-0.07955179642787331,0.028326716224205052,-0.02298017833748448,0.03507156603342749,0.04672193432391363
PTH2,,,,,,,,,,-0.0011798899104313424
LIPC,-0.011768381590851558,,0.027892779715083003,0.002035711198646317,0.11860627024139385,0.02281705374600075,-0.05789545666149072,,,
COL8A1,0.036693714358078014,0.044255378840369335,-0.0008224015684880655,0.021621833925112875,0.015989341211129743,-0.02937382051854091,-0.04945771292887853,0.03882182203589105,0.045440176350798576,-0.04758166739003712
GSTM2,-0.043088136576141516,-0.0096460738333132,-0.015380518004446054,0.01869807049927196,-0.028727687464623983,0.036440094909322436,0.02387217285346426,-0.003298642803241975,0.05003490860015472,-0.029421692449362078
IL4,,,,,,,-0.055342531135798095,,,
SPX,0.004023394669938972,,-0.03195537919703167,-0.028278729466785602,0.05731197113199544,-0.035316419540865306,,-0.029286045325012878,-0.019556950434141167,0.061436890415491996
MFGE8,-0.009965337566145583,-0.005373125823763139,0.035629001032643166,0.010134990274819537,0.04541140049297135,0.08413556957882029,-0.0236531496800441,0.021710545556565545,0.043175496935983375,0.037441025092010013
TGFA,0.0023366249015660786,0.07900035666691056,0.09506130302864357,0.037090458913787705,0.055242996443758484,-0.03524769290999893,0.030277237971495504,0.054389552846704985,0.06951143475708138,0.005964796486338555
