,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.029348599787247798,,,,,,,,,,,0.011880364221277098,,
BMP1,0.027188444817840506,0.04652499097175734,0.03475953176194944,0.0027849779489471185,-0.01772477836442629,0.1724895355806427,-0.22488979362667408,-0.059532230983578585,0.047432068504747245,-0.11172729218283295,0.0003889764368896128,-0.13851050331013667,0.025455908040141244,0.08488978874508545,0.0015810471023145372,-0.07502664354848916,0.03530710204132271,0.0037408192817216974,0.04046927128935625,-0.05044802512182234
NDP,0.08727040811767929,0.03946939835498757,0.04815093499666411,0.033679141599675576,0.017643796133593893,-0.017225142361469315,-0.05358362090314344,0.0025378406609263913,0.0022285433866915593,-0.0022900047121226594,-0.07823507813312731,-0.033821643932548946,0.020168390373484155,0.10073305741648617,0.02836186133389446,0.03686457186778317,-0.027459007063162743,0.03504816720228094,0.055442500038057244,0.07002384448117335
TNFSF18,-0.020160119400465307,0.02937896822627921,0.030201076950127838,,,0.017716435656749248,-0.043581789614953396,-0.012224651320672963,,,,,-0.04487573057260627,,,,,0.08292928221295129,0.014216113992494507,
IL36G,,,,,,,,,,,,-0.018081038938660438,,,,,,,,
RTN4,-0.09250934716368912,0.0032661955878110793,-0.04963660493193456,0.08385060381591558,-0.01751015186876717,-0.3396376084792236,0.27658589680767354,0.025656852614507765,0.0031097481110328035,0.25122344920082,0.05626307507358543,0.17047621893851492,-0.012094456632244932,-0.09881090867958607,0.039940788948380525,-0.009491949337488478,0.05586742652144603,-0.012261019724573143,-0.05826039847971562,0.05083313662804705
HEBP1,-0.06327700674179076,0.04802757287305005,0.051047232682207816,0.002253189930521829,0.02096257764282126,0.13285874845136428,-0.13681081293100006,-0.019238416095635487,-0.06139436571526907,-0.15429375018993835,0.020975325847627672,0.004032498794017772,-0.03891669003557286,0.012339345793449748,-0.017482140187735494,0.0956006397103212,0.03887051002256194,0.0794459649085541,-0.015733283822482014,0.04079861214838141
WNT7B,-0.04705394278395729,0.011367616083067066,-0.004347023127896485,0.12466881108105031,-0.041633047644433985,-0.03229470256258886,0.11062723103842774,0.0011688671292924885,0.024068346901807116,,0.09622609414548901,-0.019873145477819258,,0.050068613724605374,5.26668821095236e-05,0.053179435848823134,-0.007629940311945668,0.05697675893267676,0.03580482945701484,0.06326208571580104
PTMA,-0.05018655046592653,0.04898760087027189,0.07507108365669675,0.0591725243334159,-0.06024095439468663,0.46963258461269836,0.057454829630114154,0.07590600579673067,0.009564548401815793,-0.3712081803232402,-0.13485056327973022,-0.17414442659330337,0.007921066269428434,-0.1190514671975341,0.03995038908638693,0.04031555806069504,0.056043805384031864,-0.061408565638090405,0.04162112909919363,-0.11179762685808518
FASLG,,,,,,,,,,,,,,,,,,0.10820404971968857,,
